・このSSは,静・ジョースターの奇妙な日常
メイ,教えてよ……ねえ？……チェスタ……！
チェスタ,……
ウォーケン,……クク……
メイ,血が……生命が足りないのよ……！……どんどん私の身体から、力が失われていくのがわかる。生命を吸わなければ、この身体はもろくも崩れ去ってしまうのよ……！
チェスタ,……
メイ,何故……食事を、させてくれないの……？チェスタ？
チェスタ,……。……本当に、済まないと思っている
メイ,……
チェスタ,しかし、あのイタリア人だ。二人組の……彼らは周到に俺を付け狙っている。食事を用意しようとも、彼らが先回りしてそれを――
メイ,そんな事は聞いていないの！！
チェスタ,……
メイ,違うの……そうじゃあない。でしょう？……本当にほんとうに、ホントォ――ッにっ私に忠誠を誓っているのなら……どんな困難があろうとも、私のために動いてくれる……でしょう？そうじゃあないの？ン？
チェスタ,……
メイ,ねえ？……チェスタ？
ウォーケン,……
メイ,ねえ……貴方の忠誠は、その程度のものなの？……私、貴方の事がわからない……全然まったくわからないわ。……私がこんなに苦しんでるのに、何故貴方は平気なの？ねえ……チェスタ？
チェスタ,……平気では無いさ
メイ,嘘。……うそ、ウソ、嘘よッ！大嘘ッ！！貴方はきっと喜んでるんだわッ！私が日に日に衰弱していくのを楽しんで見ているんだわッ！！ああ、嗚呼……チェスタ、何故……？。何故……貴方が吸血鬼にならなかったの……？何故、私に押し付けたの……？
チェスタ,……
ウォーケン,フフ……追われる恐怖と、死の実感……二つに挟まれて疑心暗鬼って所か。忠実なイヌであるチェスタを疑うなんてな。……悲しいもんだ
チェスタ,……
メイ,……
ウォーケン,まあ～～……そこがまた可愛らしい所でもあるんだが、な……フフフ……！
チェスタ,……
メイ,答えてよ、チェスタ……貴方は今でも、私と天国を待ってくれるっていうの……？
チェスタ,……。一つ、訂正しておこう
メイ,……
チェスタ,今、君は俺に様々な事を聞いたが……その中からたった一つだけだ。しかも、質問に答えるんじゃあなく、訂正するだけだ。……だが、大切な事なんでな。訂正させてくれ
メイ,……
チェスタ,……俺は君に対して、忠誠なんて持っていない……
メイ,！！
チェスタ,何故なら、俺は君の信頼できる友であるからだ
ウォーケン,……
メイ,……何？
チェスタ,もし君が、今はそう思っていなくとも……いつかは君の友となる。いつわりの友達なんかじゃあない。唯一無二の信頼できる友だ。……俺はそれになる
メイ,……？……？？……
チェスタ,……本当の友ならば……忠誠なんていうものは無いはずだ。それは、目下の者が目上の者に対して誓うものだからな。だから、俺は君に対して忠誠なんて持ってない。……しかし、君をこの世の誰よりも愛している
メイ,……
チェスタ,だから……メイ。……これを……
メイ,！
ウォーケン,ナッ！……ナイフッ！？
チェスタ,……
メイ,なッ……なあに？チェスタ……そのチンケなものは？……それで、私を殺す……って、いうの？……いくら私が弱っていようとも、私は……わ、私は……！！
チェスタ,……メイ
メイ,……はッ……
チェスタ,……受け取ってくれ
メイ,……
ウォーケン,！……なッ……！？
チェスタ,……ぐッ……！
メイ,あ、あああ……ああっ！チェスタッ！？どうして……なんでッ！？
チェスタ,……め、メイ……！
メイ,どうして……自分の手を刺したのッ！！？
チェスタ,受け取ってくれ
メイ,！！
チェスタ,……君は生きなければならない。少なくとも……天国へ到達するまでは、君は生きなければならないんだ。そのためならば、他の全てを犠牲にしなくてはならない……
メイ,……
チェスタ,……そう俺は思っている。だから……だ。時には……俺も犠牲にしなくてはならないんだ……
メイ,……
チェスタ,今はこれで、命をつないでくれ。……また食料を調達してくる。もしも、それが出来なかったら……いつでも俺を食ってくれ。覚悟は出来ている。……今はこれで、君は生きてくれ……
メイ,ちぇ……すた……う……ううう……！！
ウォーケン,……この世は全て作り物。……だから、ネェ、仕方ないさ。……フン！
東方家,新築
康一,仗助くーん……アレ、いないのかな？オーイ！。車はあるし、今日はお仕事休みって聞いてたんだけどなァ。仗助くーん！スイカ……おすそ分けに来たんだけどォ～～……。？……アレッ、玄関の扉は開いてるぞっ。不用心だなァ……まあ、誰もいないなら書き置きでもして、家の中にスイカ置かせてもらおうかな。お邪魔しまー……。！？。この声は……静ちゃん？……リビングの方から聞こえたぞ……？。あ、あの～～……？
仗助,……
静,……ううう～～ッ……！
康一,うッ！す……スゴイ表情で、二人が睨み合ってるぞ。どうしたんだろう……？
仗助,オメーが納得しなくともよォー。おれは何度でも言うぜ。……お前を連れて行く事は出来ない……！
静,……それが意味わかんないって言ってんのよ、兄さん……どういう事？なんで……兄さんに決められなきゃあなんないの……！？
仗助,静。オメーは妹でおれは兄だぜ。兄のいう事は聞かなきゃあなんねえ……だろッ？
静,ふざけた事ばっか言ってんじゃあねえわよ。あたしにだって意見を言う権利くらいあるわ……！
康一,も、もしかして……仗助くん、言っちゃったの？……つまり、吸血鬼・有栖川メイ退治に、静ちゃんを関わらせたくないって……そうハッキリ言っちゃったんじゃあ……！？
仗助,……
静,……兄さん……！
康一,ちょ、ちょっと二人ともっ！落ち着いて――……
静,なんっで海なんかに行かなきゃあなんねェ――のよォ――ッ！！普通山だろッ！！ゼッテェー山ァァ～～ッ！！
仗助,山なんか連れて行けっかよォーッ！ダンゼン海ッ！こりゃあ決定だぜェ～～ッ！！
康一,……。ちょ……っと待って。二人とも。ストップ。いいかな？
静,え？……あ、康一さん。こんにちは
仗助,おう康一。どうかしたかよォ～～？
康一,エット、どうかしたかっていうのはぼくの台詞なんだけど……二人して言い争ったりして、どうかしたの？
仗助,ああ、その事なんだがよ～～。ちょっと言ってやってくれよ。コイツかなりのゴージョーッパリで……
静,康一さん聞いてよッ！兄さんったらイジワルばっか言うのよっ！？あたしに死ね！っつってるよーなモンよッマジでェェ～～ッ！！
康一,……えーっと、その前に……
静,？……何？
康一,……何で二人とも、水着着てるの？
仗助,……
静,……
仗助,……康一、これにゃあ深ーいふか～～い訳があるんだよ……
康一,絶対ウソだ……
仗助,おれもよぉー、世間は夏休みだが普通に仕事あったからよ。最近は遺跡の発掘作業とかで中々忙しくって、静をどこにも連れてってやれなかった訳だよ
康一,うん
仗助,で！今日はおれ休みだったんだが、静のヤロー夏休みだからどっか行きたい！ってダダこねてな
静,ダダじゃあねーわよ。ガクセーとして当然の事言っただけよ
仗助,おれは家でゆっくりしたかったからよォ～～。……仕方ねえから家で水着来てパンケーキ食って、気分だけハワイ旅行してたんだ
康一,……ハワイ……
仗助,そしたら違う……そうじゃあない……絶対違う……ってブツブツ言い始めて
康一,まあそうだろうね。ぼくも親にハワイ連れてってあげる！って言われて家でパンケーキだったら怒るよ
仗助,あんまりにもうるせーんで、仕方ねえからどっか旅行連れて行く事なったんだけどよォ～～……
静,あたしは山がいいのよッ！絶対山！キャンプとかしてみたいわ。炭火でバーベQッ！とかしてみたりしてッ！
仗助,だからよォ～～ッ、嫌って言ってんじゃあねーか
静,何でよッ！？
仗助,山とか発掘作業思い出すんだよッ！休日くれぇー土の臭いがしない所がいいぜッ！だから海だッ！ムフフ♪な出会いがあるかもしんねえしなァ～～
静,あたしが海嫌いって知ってて言ってんのかッコラァーッ！！海とかマジ無理ッ！ジンマシン出る！溺れ死んだらどうするんだってのーっ！！
康一,まあまあ仗助くん、落ち着きなよ……ここはさ、静ちゃんの行きたい所に連れてってあげようよ？
仗助,なッ！？……康一、オメー静の肩持つのかよぉ～～
静,やったぁっ♪康一さんはやっぱりわかってるわよねぇ～～ッ！好き♪
康一,とりあえずさ。由花子さんの実家からスイカ頂いたんだけど……食べながら話さない？
仗助,おっ！悪いな。いつも何かもらっちゃってよォ～～。静、皿と包丁とまな板と塩だ
静,スイカに塩かけて食うと早死にするわよ？あたし普通に食うもんねーっ。うンまぁぁ～～ッ！！ヤバッコレッ！マジヤバッ！
仗助,塩かけて食うと甘さがより際立つんだよなァ～～
静,かけすぎだっての。兄さんもうダメね。塩没収。自然の甘みで十分だから。……プッ！
仗助,タネ床に落とすんじゃあねーぞ。掃除面倒だからな～～
康一,ああ本当、甘いねこのスイカ……うん。いやあ、ぼくの所はまだ二人暮らしだから、こういうのいっぱいもらっちゃうと少し困るんだよね。ホント助かるよ二人とも
仗助,こちらこそありがとうだぜ。……それで、康一。……オメーマジで言ってんのかよ？その……おれに静を山に連れてけってよ
康一,うん。静ちゃん海嫌いって言ってたし……それに、ホラ……杜王町で暮らす初めての夏でしょう？
仗助,！……
康一,杜王町はスッゴク綺麗ですばらしい町だって、ぼく思うんだ。そんな町で暮らす初めての夏だから……自分の行きたくない所じゃあなく、自分の行きたい、すごしたい所で夏を感じてほしいって思うな
仗助,……けどなァ～～……
静,何よ兄さん。そんっなに不満？まさかムシがイヤとか言うんじゃあねーでしょうね？
仗助,……おめーキャンプっつったよな？
静,うん。夏！山！キャンプ！……でしょっ？
仗助,……おれキャンプとかやった事ねえぞ。林間学校くらいだ
静,……はァ～～っ？。なんでよ、兄さんいっつも発掘だー遺跡だーとか言ってんじゃん
仗助,付近のビジネスホテル泊まってるんだよ。海外の山奥ならともかく、現代日本にゃあいくらでも宿があるぜ
静,うっげェ～～幻滅したッ！昔おじいちゃんが女装して人の目を欺いたっていうエピソード聞いた時くらい幻滅したッ！
仗助,女装と同じレベルにすんじゃあねーッ！オメーはどうなんだよ。アメリカでじじいと一緒にキャンプ……とかッ？
静,炭に火をつけた事すらないっての
仗助,……
静,日本で言う平成生まれに何期待してんのよ
仗助,……康一は？
康一,ぼく？あまり無いかなあ……子供のころに家族と一緒に行ったくらい
仗助,……静、諦めようぜ。パンケェ――キィィッ食うか？
静,やだ！絶対やだもんねーっ！山でキャンプ！んでバーベQ！これ決定よ。もう胃袋は肉の受け入れ準備してるってのーっ！
仗助,そもそもキャンプしようにもッ！テントが無ェだろ～～がよ～～ッ！肉焼くグリルも炭もねーッ！ついでに寝袋もッ！キャンプするには道具が必要なんだぜ～～！
静,？……持ってるじゃん？
仗助,……何？
静,ほら。兄さんの実家……朋子さん家。ガレージの奥の物置で見かけたわよ、キャンプグッズ
仗助,？……？？……
静,あたしがこっち越してきて色々荷物とかもらったり置いたりした時に見たけど……アレって兄さんのじゃあないの？
