幼女,ねぇ、お姉ちゃん
娘,………
幼,お姉ちゃんってばっ！
娘,…お姉ちゃんとは、私のことですか
幼,ほかにだれがいるの？
娘,誰も居ませんね
幼,でしょ
娘,…ところでなんでしょうか
幼,お姉ちゃんはなにをしてるの？
娘,待っているんですよ
幼,まってる？
娘,はい、鈍感で、馬鹿で、どうしようもない人を待ってます
幼,？？
娘,ふふっわからないって顔をしていますね
幼,ええと……どうしようもないひとをまってるの？
娘,そうですよ
幼,それってボクのおとうさん？
娘,コラコラ、違いますよ
幼,それじゃあだれ？
娘,それは、秘密ですよ
幼,えぇ～！教えてよ！
娘,ふふっ……好奇心が猫を殺すって知ってますか？
幼,…ごめんなさい……
娘,まったく、乙女に秘密の一つや二つは持たせてください
幼,でも、おねえちゃんなんでおこったの？
娘,怒った……いえ、怒ってませんよ
幼,うそだぁ、ぜったいおこったもん！
娘,そんなわけないでしょう
幼,……わかった！おねえちゃんのまちびとってこいびとさんだ！
娘,なにいってやがりますか
幼,そうでしょ？
娘,違いますよ
幼,ぜったいそうだよ！そうでしょ！？
娘,……好奇心は…
幼,ごめんなさい
娘,はい、まったく……。私のことよりも貴女です
幼,ボク？
娘,はい、何か御ありですか？
幼,なにって、なにが？
娘,……いえ、なんでもありませんでした
幼,えぇ！なにそれ、きになるよっ！
娘,それより、甘いはちみつパンなんて如何ですか
幼,たべるっ！！
娘,はい、でしたら準備いたしますね
幼,ありがとう、おねえちゃん！
娘,いえいえ、どう致しまして
幼,んーっ！おいひぃ！！
娘,それはよかったですよ
幼,はむはむっ
娘,そんなに急いで食べますと詰まってしまいますよ、お茶です
幼,はひはほー！
娘,口に物をいれて喋らないでくださいよ、まったく……
幼,んくっ、んくっ……ふー、もういっこちょうだいっ！
娘,それで御夕食が食べられるならよろしいですよ
幼,……ん～っ…たべるっ！
娘,いえ、その顔は食べられないけど魅力に負けそうな顔です
幼,だ、だいじょうぶだよっ！
娘,それでは、もし食べられなかったらハリ千本飲みますか？
幼,うっ……ええ～と…
娘,まったく……ふふっ♪。そろそろ日が落ちますか……さてと……
幼,ん、どうしたの？
娘,待ち人さんが来ないので今日は帰ろうと思います
幼,そっかぁ～
娘,貴女は帰らないのですか？
幼,う～ん、もう少しここにいるよ
娘,そうですか、それではお先に失礼しますね
幼,うん！おねえちゃん、またね～！！
娘,はい、また会いましょう
幼,……ひとりになっちゃったな…。……ただいま…。おかあさん、ねぇおかあさんっ
母,………
幼,おとうさんはどこ？
母,……知らない
幼,まだかえってこないの？
