いいや、ちがう。わたしはこんなことしたくなかった。わたしはただ、,みんなを愛したい
ぼんやりと、そう告げると、男の子は子どもらしく目をまあるくして、,どうして
男の子は、また、,どうして
けれども、わたしの、誰かに打ち明けたいという気持ちは、やっぱり意地が悪く、わたしはまごつきました。わたしは、,お父さん
父は、社会の落伍者です。献身的な妻と、文香のことなど、まるで考えもしないで、ある時,会社がいやになった
たとえば…、たとえば、あの女衒に基地でのコンサアトをもちかけて、お国のために身を粉してはたらく兵隊さんたちの前で歌を歌うのです。そして、コンサアトがたけなわになった頃、急にわたしは静かになって、,万歳
ただ、ゆかいなこともありました。わたしのお知り合いに、木村さん、多田さんというお二人がおりまして、その多田さんが、忌まわしい小事件のあと、木村さんに,カァト・コバァンは、どうして死んだのかな
それでも、多田さんがしつこく、,なつきちは、カアトをどう思う？
それから、ほとぼりが冷めるまで、わたしはいいかげんに仕事をし、また時々、ごっこをしていました。雨がふってもいないのに、レエン・コオトを着て、東京のまちを歩いたり、檸檬を買って、いたづらに鬱が治ったような気持ちになってみたり、わりあい、たのしく過ごしました。騒ぎの元凶をおとづれて、口先ではあの人をなぐさめて、心中では、大ばか、意気地なし、弱虫、と憤ってみたりもしました。あの人が、キザに,生きてみるよ……君のために
また、わたしは、自殺志望者が集まるサイトをおとずれるようになりました。そこで、神経衰弱者たちをなじったり、小粋な死に方がないものか、さがしてみたりしました。ぼんやりとではなく、確固とした意志で死のう、そんなお方はいらっしゃらないのだろうか、と、なかば失望し、なかば優越感をもって、さまよっておりますと、,今年の6月13日、ぼくは玉川で入水自殺する。きっとする
わたしは、そのお方に、,わたしが山崎富江になってあげる
ですが、明後日、わたしに、あるお仕事がまい込んできました。あの、何もかも見透かしたような目をした女衒が、,文香、きみに、おあつらえむきの仕事がある
わたしは、ぎくり、としました。この男は、すべてを知っているのではないだろうか。わたしの生き方をねじまげ、今度は、わたしの死もねじまげてしまうのではないか。恐怖と戸惑いが、胸の中を、ひたひたになるまで充しました。わたしがだんまりしていると、女衒は、,この仕事はいやか
話が,黄桃
司会のお方は、しつこく、,テレビの前のお父さんに、なにか言ってみたら
だから、自分の言葉が、父にとどくとはおもわず、わたしは、,…お父さんの…おかげで…私は…立派なアイドルに…なることが…できました…。お父さん…ありがとう
そして、次に、,太宰の孫
遅れて、ぱたぱたと、橘さんがやってきました。ちいさな腕に、,ドッキリ大成功！
スタヂオからはなれていくと、わたしは、きっと死のう、気持ちになりました。きっと、あのお方が待っている。待っていてほしい、と思いつつ、わたしは、太宰の石碑の前に、たどりつきました。そこには、1人の男の方が、たたずんでいました。彼は、わたしにきづくと、愛想のよい笑顔をうかべ、近づいてきました。,きっとくると、信じていたよ
わたしは、一歩もうごけず、,…どうして…こんなひどいことを…
わたしは震えるカッタァの刃先を、女衒にむけました。彼はいたって、余裕綽々と、,その殺意は誰のものなんだ？
はいずるように女衒にちかづいて、わたしはカッタアを虚空に振りまわしました。女衒は、わたしを冷たく見下ろしながら、,おまえは死にたがっていた。だが、おれが邪魔をしたから、死に損ねた。そうやって、すべておれのせいにして、生き続ければいい
わたしは、ふれられている場所が、熱くなるのを感じました。このひと、わたしと一緒に、死のうとしている。水音が大きくなっても、なお感じる、あたたかさに、わたしは,待っていました
6月19日、木村はつまらなそうに、新聞の夕刊を眺めていた。そうして、,大ばか野郎ども
