ゼロ少佐,ジャック…よく聞いてくれ
スネーク,なんだ？
少佐,壁殴り代行社に入って身体を鍛えてくるんだ
スネーク,身体なら既に鍛えてある、必要ない。
ボス,そんな筋肉で鍛えたつもりなのかしらジャック？
スネーク,ザ・ボス！？
ボス,そんな筋肉ではレオパレスの壁ですら壊せないわよ
スネーク,……。だが、壁殴り代行社とはなんだ？
少佐,ふむ…知らないのも無理はないだろう…。最近できた会社だからな
ボス,これを見なさい
スネーク,ん…。訳が分からん。なんだこれは
ボス,あなた文字も読めないの？
スネーク,そういう意味ではない。なぜ壁を殴る必要がある？
少佐,そこに壁があるからだろう
スネーク,……。…。わかった。……。だがボス。俺のタキシード姿似合ってるだろう？。似合ってない？。俺は似合ってると思うんだがな…。……似合ってないのか…？。あ…切られた…。失礼する！スタッフ募集のチラシをみて来た
(´・ω・｀),ほう…
スネーク,あんたは？
(´・ω・｀),俺はこの会社の社長だ。
スネーク,この会社はあんたしかいないのか？
(´・ω・｀),いや、俺以外にはあと６人いる。いまは６人とも代行中だ
スネーク,…それで面接をして欲しいのだが
(´・ω・｀),面接など必要ない
スネーク,そうなのか？
(´・ω・｀),ああ…だが入社試験がある
スネーク,入社試験？
(´・ω・｀),うむ…このレオパレス製の壁の２枚重ねた奴を壊せ。
スネーク,それだけか？
(´・ω・｀),あぁ…しかしそんな筋肉で大丈夫か？
スネーク,やってみる
(´・ω・｀),ふっ…おもしろい構えだな
スネーク,CQCだ
(´・ω・｀),ではやってみろ
スネーク,ふん！
(´・ω・｀),ほう…やるではないか
スネーク,どうだ？
(´・ω・｀),いいだろう…明日から来たまえ
スネーク,了解した
(´・ω・｀),遅刻するなよ
スネーク,あぁ…では失礼する。………。……。壁を殴った時に骨が折れた
(´・ω・｀),今日からこの会社で働く事になったスネークだ。
スネーク,スネークだ！よろしく頼む！
(´・ω・｀),うむ、ではわが社の社員を紹介しよう
ペイン,顧客が望むのは素手で壁を殴ることで痛みを感じることだ！
(´・ω・｀),彼はザ・ペイン
フィア―,壁を殴る時の恐怖をしっているか？
(´・ω・｀),彼はザ・フィア―
エンド,…ｚｚZ
(´・ω・｀),そこで眠っている爺さんはジ・エンド
フューリー,怒りだ！怒りを壁にぶつけるのだ！
(´・ω・｀),彼はザ・フューリー
ヴォルギン,くわばら…くわばら…
(´・ω・｀),彼はヴォルギン…そして最後に…
オセロット,ゲッツ！
(´・ω・｀),オセロットだ…覚えたか？
スネーク,あぁ…
(´・ω・｀),では君達…代行に行こうか
オセロット,俺の壁殴りはレボリューションだ！！
スネーク,依頼は来てるのか？
(´・ω・｀),妹スレに一件依頼があった
スネーク,妹スレ?…なんだそれは？
(´・ω・｀),君は気にしなくていい
スネーク,……
(´・ω・｀),では行こうか…。ここの壁を全部こわすぞ
スネーク,おい…ベルリンの壁ではないか
(´・ω・｀),そうだな…まさかこんなに早くでかい依頼が来るとは…
スネーク,これを壊すのはまずいだろう
(´・ω・｀),依頼が来たんだ。なんだってやってやるさ
スネーク,……
(´・ω・｀),ではいくぞお前達！。ふん！…ふん！
ヴォルギン,くそぅ…この壁…全然こわれないではないか
オセロット,社長！
(´・ω・｀),どうした？
オセロット,ザ・ペインが死にました！！
(´・ω・｀),なに？…なぜだ？
オセロット,壁を殴る痛みに耐えられなくなったみたいです！
ヴォルギン,くそう…あいつとは最高の飲み仲間だったのに…
(´・ω・｀),くっ…ペインがやられるとは…ベルリンの壁…手強いな…
スネーク,RPG7を使えばすぐにすむんじゃないか？
(´・ω・｀),バカ野郎！！
スネーク,！
(´・ω・｀),道具を使えば誰だって壁は壊せる！
スネーク,まぁ…そうだが…
(´・ω・｀),顧客が望んでいるのはただ壁を破壊することではないのだ
スネーク,……
オセロット,社長！今度はザ・フィアーが死にました！
(´・ω・｀),なに？フィアーまでもがやられたというのか？
オセロット,壁を殴る恐怖に耐えられなくなったみたいです
ヴォルギン,くそ！！……やつとは最高のカラオケ仲間だったのに…
(´・ω・｀),ペインとフィアーの為にもこの壁、絶対壊すぞ！
スネーク,…
オセロット,社長！
(´・ω・｀),なんだ？……まさか！？
オセロット,フューリーまでもやられました。死因は怒りすぎによる脳内出血です
ヴォルギン,くそぅ！あいつとは宇宙にいく約束をしていたのに…
スネーク,なんだその約束…
オセロット,社長！もうやめましょう！３人を失った今この壁を壊すのは不可能です！
(´・ω・｀),やめるわけにはいかない
オセロット,なぜ！？
(´・ω・｀),みんなが待っているのだ！
オセロット,しかし…これ以上仲間を失う訳には…
(´・ω・｀),そうだな…、生き残った奴らはもう帰れ！…後は俺一人がやる！
ヴォルギン,……やめはせん…
(´・ω・｀),ヴォルギン！お前の拳はもう限界に近い！しぬぞ！俺に任せろ
ヴォルギン,ここでやめたら筋肉がなくてイライラをぶつけられない奴はどうなるのだ？。そんな奴らを見殺しにはせんぞ
(´・ω・｀),ヴォルギン…
オセロット,ふ…俺はどうかしていたようです…みんなが俺達を必要としているのに仲間を失ったくらいでやめてはいけませんよね
(´・ω・｀),オセロット…
エンド,ふん…若者達が無理をするでない！
(´・ω・｀),ジ・エンド！あんたは寝てなきゃだめだ！
エンド,いいんだ。社長…わしは一世紀いきた、これからは若者たちの時代だ。あとはわしに任せるんじゃ。ふん！！
スネーク,爺さんの身体が！？
(´・ω・｀),やめろ！！しぬぞ！！
エンド,いくぞベルリンの壁よ…うおおおおおおおおおおおおお
三人,ジ・エンドおおおおおおおおおおおおおおおお
スネーク,……
少佐,ジャック…どうだ？少しは鍛えられたか？
スネーク,いや……無駄に疲れた……
少佐,そうか…しかしあのベルリンの壁を壊すとは壁殴り代行とはすごいものだな
スネーク,ただ熱い連中なだけだ…
少佐,そうなのか？
スネーク,ああ…しばらくああいうのはごめんだ…
少佐,FOX部隊でも壁殴り代行を始めようと思うのだが
スネーク,やめてくれ
少佐,実はもうCIA長官から許可がおりた
スネーク,……
