遊佐こずえ,くぅ、くぅ……
こずえ,……んぅ……？。ふわぁ……？。……？
神谷奈緒,いやぁ、まさかこのOPのビッグオーが観られるなんて思ってなかったよ！
荒木比奈,やっぱりビッグオーと言えばこのOPっスからねぇ
こずえ,うぃっごー……？
比奈,うおっ、居たんスかこずえちゃん
こずえ,うんー、ねてたのー……
比奈,ああ、なるほど。で……どうしまス？こずえちゃんも一緒に観まスか？
こずえ,みるー……。おぉー……
奈緒,やっぱりビッグオーの格好よさは伝わるんだなぁ
比奈,そりゃもう、ロマンっすから
こずえ,しょーたーいむー……。あのめがでうす、おててにせんぷうきついてるねー
奈緒,あれであいつは飛ぶんだよ
こずえ,せんぷうきもとぶのー……？
比奈,扇風機は飛ばないっスねぇ
こずえ,そうなのー……。うんー……？
奈緒,あー！やっぱり最後だけはよく分からねぇ！面白かったけど！
比奈,最後のは……あー、今度二人だけの時にゆっくり話しまスよ
こずえ,うぃっぐおー……おおきかったねー……
比奈,ウィッグオーじゃなくてビッグオーっスよ、こずえちゃん
こずえ,そうなのー……？
奈緒,ウィッグだと飛鳥になっちゃうからなぁ……あれはエクステだけど
こずえ,あすかも、めがでうすー……？
二宮飛鳥,おはよう――って、誰も居ないのかな？
こずえ,いるよー……？
飛鳥,うおっ……驚いたな。おはよう、こずえ
こずえ,おはよー……あすかもめがでうすー……？
飛鳥,メガデウス……？
こずえ,しょーたいむで……ねごしえいたーなのー……
飛鳥,……ああ、ビッグオーの事かな？
こずえ,そうー、うぃっぐおー……
飛鳥,ウィッグ……ボクのはエクステだけど、だからボクなのか。そういうことなら話が早い、メガデウスを呼んでごらん
こずえ,うぃっぐおー、しょーたーいむー……
飛鳥,てーってー、てーってー、てー、てってー、ってってててん！
こずえ,おぉー……、やっぱりうぃっぐおーはおおきいのー……
飛鳥,良い眺めかい？今のボクは君のメガデウスだ。好きに命令してくれていいんだよ
こずえ,じむしょをあるくのー……
飛鳥,お安い御用さ。ビコーン、ビコーン、ビコーン、ビコーン……
こずえ,うおー……
渋谷凛,おはよう――あれ、珍しいね。飛鳥がこずえを肩車してるなんて
飛鳥,ほらこずえ、あんなところに蒼いメガデウスがいるよ
こずえ,あすかー、あーくしょんー
飛鳥,ビコーン、ビコーン、ビコーン、ビコーン……
凛,あいたっ
こずえ,なかまでもえんりょすることはないのー……いけー……
凛,どうしたの？いきなりエクステなんて叩きつけてきて
こずえ,つかまっちゃったー……
飛鳥,えっと、つまりね――
凛,なるほど、こずえのごっこ遊びに付き合ってるんだ
飛鳥,まあ、そういうところかな
こずえ,ねごしえいしょんにあたいしないのー……
凛,諦める前にまずは話し合おうね
こずえ,はなしあうことはー、だいじなのー……？
飛鳥,ああ、とっても重要さ
こずえ,おはなしは……だいじー……
凛,じゃあそろそろ私はリハがあるから
飛鳥,うん、行ってらっしゃい
こずえ,いってらっしゃーい……
飛鳥,さあ、次は何をしたいかな？
こずえ,こうえんにいくのー……
飛鳥,公園だね、早速行こうか。ビコーン、ビコーン、ビコーン、ビコーン……
こずえ,こずえはねー……こずえだよー……
飛鳥,うん？
こずえ,たくさんのひとにー……ひつようなおしごとをしてるのー……
飛鳥,そうだね。ファンのみんなを笑顔にするという必要なお仕事をしているよ
こずえ,こずえー……あいどるだもんねー……
飛鳥,うん。こずえは立派なアイドルだよ
こずえ,えへへー、がんばるー……
