・蛭谷さん,遊戯王
恋鐘,オニギリ2つ。固形栄養食2つ。冷めたコンビニ弁当１つ……。これはゆゆしき事態たい
咲耶,それはまさかプロデューサーの……？
恋鐘,一昨日、昨日、今日の夕御飯たい
咲耶,……なるほど、けして健康的とは言えないね
凛世,私も、心配でございます
咲耶,凛世
凛世,健康は、良い食事の上に成り立つもの。あの方には、いついかなる時も、元気で居て欲しいのです……
咲耶,なるほど。二人の言いたいことは良く分かったよ。それなら、みんなのオフの日を確認しようか。数日のうちに、重なる日があったはずだ
恋鐘,咲耶、それはつまり……
咲耶,ああ。この三人なら、この事態に対してやるべき事は１つ……。283プロ、女子寮鍋パーティーさ
P,えっ、社長命令ですか？
はづき,はい。今日は残業はせずに、この場所に迎えとの事らしいです。これが、住所のメモです。どうぞ
P,ありがとうございます
はづき,ついでに、夕食を取らずに行けとも言ってましたよ
P,夕食を？変な話ですね
はづき,そうですね～。社長も何だかんだ複雑そうでしたよ～。あ、今日だけは仕事の一部を社長に押し付けてもいいらしいそうですから。気兼ねなく楽しんできて下さいね～
P,この口ぶり、何か知ってるんだろうな。聞いても、はぐらかされそうだけど。分かりました。それじゃあ今日は早めに上がらせてもらいますね
はづき,まぁ、定時は過ぎてるんですけどね。お疲れ様でした～
P,お疲れ様でした。この住所、どこで見た覚えがあるんだよな。さていつのことだったか……。……って、283プロの女子寮じゃねーか！。普段は縁がないから完全に忘れてたぞ。しかし、女子寮って俺が近づいていい場所じゃないだろ。社長は何を考えて……ん？メモの裏に文字が。社長、本当にどうしちゃったんですか……！。……考えてても仕方ないか。取り敢えずインターホンを押そう。話を聞かないとな。部屋番号は住所の欄にあるな。◯◯◯っと……。283プロダクションのPという者ですが……。その声は、咲耶か？。社長からの命令でな。咲耶、これは一体どういう……。……まじか。それはそうと、アイドルの住所書いてあるコレは後でシュレッダーだな
恋鐘,よく来たばい！いらっしゃい、プロデューサー！
咲耶,いらっしゃい、プロデューサー。カバン預かるよ
凛世,こんばんは、でございます。プロデューサーさま
P,こんばんは、だな。恋鐘と凛世もいるのか。咲耶、恋鐘、凛世で女子寮住まいの三人組みが揃い踏みだな
凛世,……このような時でも、おはようございますの方が、良いのでしょうか？
P,どっちでも良いんじゃないかな。三人はオフの時間なわけだし。それに身内同士みたいなものだし、そういう所で気を使わなくても大丈夫だと思うぞ
凛世,身内……！。まこと、良き響きでございますね……身内……
P,それで咲耶。改めて、これは一体どういう要件なんだ？。奥からする食欲をそそる匂いと、夕食抜きの件で、何となく分かって来てはいるんだが……
咲耶,たぶん思ってる通りだよ。さ、奥までどうぞ
恋鐘,たーんと食べていくばい、プロデューサー！
P,鍋だな
咲耶,鍋パーティーだからね
恋鐘,温めなおすけん。煮立ったらすぐ食べられるたい
P,どうして俺を？
咲耶,オニギリ2つ。固形栄養食2つ。そしてコンビニ弁当……だっかな、恋鐘
恋鐘,あっとるよ
P,う、それは……。なるほど、大体わかった。心配かけてたみたいだな
咲耶,たまにはゆっくりと食事を楽しんで、体を休めて欲しい。それが三人の総意だよ。だから、この鍋パーティーに招待させてもらったわけさ。事務所で食事会でも良かったんだけど、それだと仕事のことを忘れてくれそうに無かったから
P,それは、否定できないな。……ありがとうな、三人とも。プロデューサー冥利につきる
咲耶,そこまで言って貰えるなら、準備した甲斐があったよ
恋鐘,ふふふ～、もっと褒めるたい！
凛世,凛世には、勿体無きお言葉です
咲耶,……あ、煮立ったみたいね。そろそろ食べ始めようか
恋鐘,それじゃあ蓋とるよ。当たらんように注意しとってね、熱くなっとるけん。おーぷんたい！
P,おお、魚の鍋か！
恋鐘,うちらの自信作たい！気に入ってくれると嬉しかよ
P,もちろんだ。魚介は大好物だしな。ああ、本当に美味そうだ……
恋鐘,プロデューサー、顔がにやけるとるたい。見てると、こっちまで嬉しくなってくるばい。せっかく家に呼んだんやもん。しっかり元気になってから帰って貰わんと。そう、家に……家に？。プ、プロデューサーが家におる！？
P,今更何を言ってるんだ、恋鐘
恋鐘,ぜんぜん考えとらんかったばい！男の人を自宅に招いとるよ、これ！？。し、しかもよりによってプロデューサーを！そりゃ、1対1じゃなかばってん……。はしたない、とか思われたりせんやろか？。で、でも、呼んでしまった事は今更しょんなかたい！開き直って、当初の目的を完遂するんよ！。そして、ついでにうちのことを気に入ってもらうばい！ついでに！。プロ……！
咲耶,プロデューサー、鍋をつぎ分けるよ。何か欲しいのはあるかい？
P,え？じゃあ最初は野菜多めにして貰おうかな
凛世,お酌を、プロデューサーさま。お酒の方はありませんが……
P,ああ、任せるよ。何というか至れり尽くせりだな……ははは
恋鐘,で、出遅れたばい……！。二人とも、なんてスピード！恐ろしかぁ……
咲耶,恋鐘が青くなったり赤くなったりしてただけだよ
恋鐘,うちも何かせんといかんばい！何か……何か……。……！。プ、プロデューサー！
P,ん、何だ？こが……恋鐘さん？
恋鐘,はい、あーん♪
P,……
恋鐘,……プロデューサー？
