如月千早,以下、千早
千早,それに、歌詞の区切り方にもこだわりを感じる……ふふ。～～♪
望月杏奈,以下、杏奈
千早,望月さん、お疲れ様。……ふらついてるけれど、具合でも悪いの？
杏奈,違い、ます……。レッスン……いつもより、厳しくて
千早,あら……それは、大変だったわね。ほら、こっちに座ったらどう？
杏奈,…………。杏奈……なんだか、眠くなってきちゃった
千早,望月さん、次の仕事は大丈夫なの？
杏奈,うん……今日はもう、おやすみ……
千早,そう……
杏奈,…………
千早,望月さん？
杏奈,ん……
千早,いつもなら、帰ってゲームしてるのに……。今日はよっぽど疲れたのね……。……そうだわ、子守歌でも歌おうかしら。……ぼうや～よい子だねんねしな～♪
杏奈,あの、千早さん……
千早,ごめんなさい、起こしちゃった？
杏奈,それは大丈夫、だけど……。杏奈、そんなに子供じゃない、です……
千早,ご、ごめんなさい！
星井美希,以下、美希
美希,ちょっとお昼寝を……。……あれ、千早さん？。千早さん、久しぶりに会えたの……！。そーだ！折角だし久々にいーっぱいお喋りをするの！。ねぇねぇ、千早さ――
千早,…………
杏奈,ん…………
美希,あれ、杏奈？。千早さん、膝枕してあげてるの……。……せっかく千早さんがやってるのに、ジャマしたらダメだよね！。むぅ……。むぅ……
伊吹翼,以下、翼
翼,どうかしたんですか？
美希,……なんでもないの、それより次のレッスンっていつから？
翼,んー……後一時間くらいです！
美希,それは好都合なの……ミキ、お昼寝するから離れて――
翼,えーっ！一緒に寝ましょうよー！
美希,ミキ、翼と寝ると疲れるからヤなの……
翼,良いじゃないですか、スキンシップって奴ですよ！スキンシップ！
美希,……はぁ、仕方ないの。翼、暴れたりしないでね……
翼,りょーかいでーっす！
美希,……もう最初から不安しかないの
翼,そんな事ないですよ！。おやすみなさい、みきせんぱーい！
美希,……おやすみなさいなの
翼,せんぱーい……いっしょにかいものしましょーよー……
美希,……落ち着いて眠れないの。時間は……。……もうすぐ時間なの、もう少しお昼寝したかったのにな
翼,みきせんぱい……
美希,ほーら翼、早く起きるの
翼,いやですー……みきせんぱいとねるんだもーん……
美希,ワガママ言わないの！。もう、そんなんだと律子、さんに怒られるよ？
翼,…………
美希,……寝たの。むぅ、これで遅れたらミキが怒られるのに……。……仕方ないの、翼ゴメンね？
翼,んむぅ……
美希,もう、今日はミキの誕生日なのに……
千早,今日の美希へのプレゼント、どんなものにしようかしら……。アクセサリー……は、美希が選んだ方が良い物だろうし。難しいわね……？
美希,……翼、いい加減起きて欲しいの
翼,…………
美希,レッスン前なのに、疲れてきたの……
千早,美希……伊吹さんをおんぶしてる。……昔はあんなに子供っぽかったのに。……美希も、お姉さんになったのね。……さて、それなら何をあげようかしら
翼,きょ、今日のレッスン……しんどかった、ですねー……？
美希,翼をおんぶしてきた方がよっぽど疲れたの……
翼,美希先輩の背中、とっても居心地よかったですよ！
美希,別に嬉しくな……あれ？って事は翼、最初から起きてたんじゃ
翼,…………さぁ？
美希,……翼？
翼,そ、そんな事よりですね！美希先輩、ぜーんぜん疲れてないんですね！。美希先輩、身体動かすのあんまり得意じゃないって言ってませんでしたっけ？
美希,ふふん……そんな欠点はとっくにコクフクしたの
翼,流石です、美希先輩！私も体力付けなきゃな～
美希,それこそ、普段からレッスン頑張れば良いのに……。それじゃ、ミキ帰るね……バイバイ、翼
翼,えー！？それじゃ、お誕生日会はどうするんですかー！？
