モバP(以下、P),四十八手・・・
P,何だっけそれ
あやめ,ですから秘伝忍法です！
P,いやいや、どっかで聞いた事あるんだよ
あやめ,そんなはずはありません！わたくしの実家の蔵から出てきたんですから！
P,それ俺に話しちゃダメなんじゃないか？
あやめ,あっ・・・！。と、とにかく！その時の父の焦り方を見てあやめは秘伝の術であると確信したんですっ！
P,う～ん、でもやっぱどこかで聞いた事ある気がするんだよな。ちょっとパソコンで調べてみるか
あやめ,出てくるはずがありません！
P,えっと、四十八手っと・・・。・・・・・お、ほら出てきたぞ
あやめ,えぇ！？
P,四十八手とは・・・あぁー、そうそう！相撲の決まり手だ、思い出した！
あやめ,み、見せて下さい！
P,古い書物で二人で組み合ってる絵っていうのも相撲だったら説明がつくな
あやめ,そ、そんな・・・
P,まぁ元気出せって。ケーキでも食べ行くか？
あやめ,・・・・・・・・あれ？
P,どうした？
あやめ,ちょっと待って下さい！・・・・・・・・あっ！
P,なんだよ、どうしたんだ？
あやめ,これはわたくしが蔵で見たものと違います！
P,はい～・・・？
あやめ,絵の下に技名のようなものが一緒に書かれていたのですが、その名前が一つも載っていないんです
P,それはあやめが間違えて覚えてるとかさ・・・
あやめ,いいえ、間違えるような名前ではありません
P,えらい自信があるじゃないか
あやめ,はい。その技名の中にこんな物がありました・・・・その名も千鳥
P,千鳥って・・・まさか！？
あやめ,それともう一つ、鳴門
P,！？
あやめ,千鳥と鳴門、この二つの名でP殿も気づかれたのでは・・・？
P,そ、そんな馬鹿な・・・！もう一度調べてみるぞ！。！。会社のパソコンで使われている検索エンジンは晶葉とマキノが作ったものなんだ！調べられない物なんてあるはずが無いのに・・・！
あやめ,だから秘伝なんですよ
P,ひ、秘伝・・・
仁奈,パソコンかたかたするですよー♪
みりあ,みりあもやりたーい！
千枝,そんなに乱暴にやったら変なページ開いちゃうんじゃ・・・
ありす,会社のパソコンは不適切なサイトを完全に遮断するフィルターがかかってるので大丈夫ですよ
P,晶葉たちの技術をもってしても検索できない、そして鳴門と千鳥という名前。これはまさか本当に本当なのか・・・？。待てよ、という事はあの漫画の作者も・・・
あやめ,えぇ。忍者の末裔かと
P,マジかよ・・・
あやめ,人々を引き込むような漫画が描けるのも忍術の一つなのかもしれませんね
P,知らない内に俺も忍術にかかっていたという事か・・・。これは俺達の想像以上に大きな問題なのかもしれないな・・・あやめ、この話俺以外の誰かに話したりはしたか？
あやめ,いえ、P殿だけです
P,そうか・・・よし、乗りかかった船だ。俺も協力するよ
あやめ,本当ですか！？
P,あぁ。そうなるとやっぱ重要なのがあやめの見つけた巻物だよな
あやめ,ですがあれは父が持っていってしまったので
P,こうなったら実家に行って直談判するしかないか
あやめ,しかし素直に見せてくれるかどうか・・・
P,今日あった事全てをお父様に話そう。俺達の誠意を示せばきっと分かってくれるはずだ
あやめ,そうですね！分かりました、ではわたくしから父に連絡しておきます
P,頼んだぞ
あやめ,はいっ！
ちひろ,あら、お二人とも・・・時間は大丈夫なんですか？確か取材が入ってるんですよね？
P・あやめ,え・・・・・・あぁっ！？
P,あやめ！早く支度をっ！！！！
あやめ,は、はい～っ！
男記者(以下、男),今日は浜口あやめちゃんの取材っすよね？
女記者(以下、女),えぇ、346さんはウチのお得意様だから失礼な事しないように。分かったわね？
男,うーっす
P,す、すみません。お待たせしました！
あやめ,すみませんでした！
女,いえいえ、私達もさっき着いたばかりですので
男,20分くらい待ちましたけどね――女。～～～～ッ！！！
P,えっと・・・そちらの方は？
女,私の後輩です。本日はご一緒させて頂いても構いませんでしょうか？
P,え、えぇ・・・それは全然構いませんけど
女,では始めましょうか♪
あやめ,本日はよろしくお願いします！
女,あやめさんは忍者アイドル、忍ドルとして活躍されていますがアイドルになろうと思ったきっかけは何でしょうか？
あやめ,元々お色気お銀くノ一選考オーディションを受けようと上京したのですが、間違えてアイドルオーディションを受けてしまったんです。でもせっかく来たので何かやってみようと特技の手裏剣投げを披露したところ面接官であるP殿から合格を頂きアイドルとして活動する事となりました！
女,なるほど、それではアイドルになる前から忍者が好きだったという訳ですね
あやめ,はいっ！
女,忍者アイドルという事は何か忍者っぽい事とかができたりするんですか？
あやめ,先ほどお話した手裏剣投げに加え、隠れ身の術に水遁の術。この前は煙玉を作ったりもしました！
P,煙が多過ぎて事務所が軽くパニックになったけどな
あやめ,す、すみません・・・
女,では今注目していたり、練習したりしている忍術とかはあったりしますか？
あやめ,四十八手です！
女,
男,ヒュ～
女,し、四十八手・・・ですか？
P,！？こ、コラッ！あやめ！
あやめ,はっ！？そうでした、これは極秘の・・・
女,・・・
P,い、いえ四十八手というのはアレですよ！？相撲の決まり手の事でして！
あやめ,そ、そうです！もちろん相撲のですよ！？
女,。な、なるほど！あやめさんはお相撲にも関心があるという事ですね！？
P,はい！
あやめ,その通りです！
男,男性プロデューサーと夜な夜な四十八手の練習・・・
女,
男,ッ！！！
P,まったく、あやめは
あやめ,申し訳ありませんでした
P,上手く誤魔化せたから良かったものの、もし詮索されてたら面倒なことになってたぞ
あやめ,一般の方を巻き込むわけにはいきませんからね・・・
P,あぁ、そうだ。まぁバレなかったし今度からは気を付けような
あやめ,・・・。本当にすみませんでした
