モバＰ(以下Ｐ),……ふぅ
ちひろ,まだかかりますか？
Ｐ,えぇ、年越しまでにはまとまりそうですが
ちひろ,元日もお仕事ですから、無理しないでくださいね
Ｐ,この業界に正月休みはない、もう慣れっこですよ
ちひろ,特番やニューイヤーイベントも多いですからね
Ｐ,忙しいのはいいことです。ちひろさんは終わりました？
ちひろ,はい、私の分は。なにかお手伝いできることありますか？
Ｐ,いいですよ。いまからでもゆっくり年越ししてください
ちひろ,ありがとうございます。じゃあお言葉に甘えますね
Ｐ,外まで送りますよ
ちひろ,あら、優しいですね
Ｐ,座りっぱなしで体動かしたいので
ちひろ,つまり私はついでですか
Ｐ,あーそういうわけでは……
ちひろ,正直な所もプロデューサーさんらしいですよ
Ｐ,精一杯エスコートさせていただきます
ちひろ,お願いします。さ、行きましょうか
Ｐ,あれ、レッスンルームに明かりが……予定ないですよね？
ちひろ,はい。トレーナーの皆さんも、もうお休みですから
Ｐ,じゃあ誰が？
茄子,5,6,7,8……はい止まってください
歌鈴,はぁはぁ……や、やっぱり最後のステップで遅れちゃいますね
P,茄子に歌鈴じゃないか
茄子,Ｐさん、それにちひろさんも
歌鈴,おつかれ様です！
ちひろ,自主レッスンですか？大晦日くらいお休みしてもいいんじゃ
歌鈴,実家にいたころはお手伝いだったので、ゆっくりしてるのが落ち着かなくて
茄子,年明けすぐにニューイヤーライブもありますし、せっかくですから私も歌鈴ちゃんと練習しようかなって
Ｐ,自主レッスンは良い事だが、あまり遅くなり過ぎないようにな
歌鈴,ふぇ……え、もうこんな時間！
茄子,もう日も落ちてる時間ですね。気が付きませんでした
Ｐ,その様子じゃ結構長い事やってたのか
ちひろ,私はもう帰るところなので、よければ送っていきますよ？
茄子,Ｐさんはまだお帰りにならないのですか？
Ｐ,俺はもう少し仕事してから帰るよ
歌鈴,そうですか……なら私も、もう少しだけ残りますっ
Ｐ,む、そうか。茄子はどうする？
茄子,やるなら2人の方がいいですから。歌鈴ちゃんがそう言うのでしたら私も頑張っちゃいます♪
ちひろ,わかりました。3人ともほどほどで切り上げて下さいね
Ｐ,俺も含まれてるんですか
ちひろ,当然です。なんだかんだで年越しまで残りそうですから
Ｐ,今夜くらいは流石にそこまでするつもりはありません
ちひろ,言質とりましたよ。茄子ちゃんと歌鈴ちゃんが証人です
歌鈴,わ、わかりましゅた！……あうぅ
茄子,はい、確かに聞きましたよ♪
Ｐ,いつもと立場が逆だなぁ
ちひろ,ふふっ、それじゃあお先に失礼します。みなさん、よいお年を
3人,おつかれ様でした、よいお年を
Ｐ,さて、帰る時には送ってくから終わったらデスクまで声掛けてくれ
茄子,了解です。歌鈴ちゃん、通してもう一回やってみましょう
歌鈴,あ、はい！よろしくお願いします！
Ｐ,あまり根つめすぎないようになー
P,うっし、こんなもんか。何とか年内にケリつけられたなぁ、あぁ腹減った。あいつら来なかったが……まだやってるのか？
茄子,5,6,7,8……うん、バッチリですね！
歌鈴,や、やりましたぁ！
茄子,はい、お水どうぞ
歌鈴,ありがとうございます。茄子さんに協力してもらえたおかげですっ
茄子,頑張ったのは歌鈴ちゃんですよ。ところで、ひとついいですか？
歌鈴,な、なんでしょうか？まだ悪いところありました……？
茄子,いえ、そうではなく……歌鈴ちゃんは、どうしてこんなに頑張れるんですか？。この時期は実家のお手伝いをしていたから。それは本当なんでしょうけど、なんだかそれ以上の気迫のようなものを感じました
歌鈴,気迫なんて、そんな大層なものじゃないですよ……私は他のみなさんのような個性もないし、歌も踊りも上手くないし、おまけにドジでおっちょこちょいで……だから、人一倍頑張らなきゃって
茄子,ふふっ
歌鈴,うぅ、こんなんじゃ笑われちゃいますよね……
