モバP(以下P),あなたを好き
美穂,え‥‥えっと、そ、それは‥‥
P,どう思う？
美穂,ど、どうと言われましても、そ、そのぉ‥‥あの‥‥///わ、私は‥‥///
P,俺は後者の方が日本語として好きだ
美穂,‥‥え？
P,じゃあここで参考資料を聴いて見るとするか
美穂,私の曲‥‥ですよね
P,ああ。では次。何が違うかわかるか？
美穂,(す、スレタイから想像してた流れと違う‥‥)
P,分からないようだな‥‥ではnakedromanceでは誰が誰を好きなんだと思う？
美穂,わ、私‥‥があなたを？
P,そうだ。文脈からはどう見ても美穂さんが俺を好きなはずなんだ‥‥
美穂,は、はい‥‥(あなたのすり替えが起こってるような‥‥)
P,だが！歌詞ではあなた“が”好きなんだ。主体は俺！これでは俺の！一方的な！片思いなんだ！
美穂,(なんだかすごく恥ずかしいこといわれてる気がします‥‥)
P,その点ラブレターは素晴らしい‥‥あなたのこと“を”大好きだからこれはどう考えても。“私”は“あなた”を好きなんだ！！
P美穂,あ
ちひろ,え、えーっと、その、おじゃましました‥‥
P,とりあえず今度から他の主格の助詞がない限り主格の助詞として使うことを推奨する
美穂,そんなの良いから誤解を解きましょうよ！。そんなことをやってたら結局誤解が広まっちゃって‥‥
p,それがぱぱとままの結婚したきっかけ‥‥なの？
P,そういうことに‥‥なるな
美穂,そんなの今は良いですけどね。だって‥‥。私が、好きですからねっ！
