テレビくん,346プロダクション所属のアイドル渋谷凛が担当Pにわいせつ行為をした疑いで片桐早苗にシメられました。調べによると容疑者は通勤途中の担当Pに近づき股間にモバコインカードがあるから取ってあげると鷲掴みにし、動くな、私は3代目シンデレラガールズだと言い放ち、わいせつ行為に至ったとされています。これに対し容疑者はムラムラしてやった、機会があればまたやりたいと前向きな供述をしており……
P,疲れたぁ
ちひろ,やっとマスコミ対応から解放されましたね、それにしてもCoPさんが気の毒でしたねぇ
P,凛はクンカー症候群を患っていましたからね、いつかやるとは思っていました……ん？
ちひろ,おっ、どうしました？
P,あの……これ見てください
ちひろ,どれどれ。あぁ、よく見る胡散臭い広告ですね、こんなぺったんこから3ヶ月でボインボインになるわけ……ん？
P,気づきましたか、このビフォーアフターの胸がアップされた画像……
ちひろ,……すごく既視感がありますね
P,ビフォーの写真……まごうことなき藍子だ、夏の野外ライブで薄着になった時の写真ですね
ちひろ,ちなみにアフターの写真は……
P,……雫です、346プロダクションで1番のたわわが強調された水着姿……
ちひろ,Oh…
P,なんてこと……しやがるんだ！。その後、問題の豊胸サプリのページを調べるとビフォーの画像は藍子の画像が多く使われており、アフターの写真にはバスト85cm以上のアイドルの画像が使われていた……。これは看過できないな
ちひろ,こんな胡散臭い広告出している所はマトモな会社じゃありませんよ
P,騒ぎになったら拠点を移し変えて同じ事をする厄介なヤツでしょうね…
未央,P、ちょっといいかな？
P,おや？未央じゃないか、どうしたんだ？
未央,最近、あーちゃんが変な薬をよく飲むようになって様子がおかしいんだよ
ちひろ,ん！？
P,まっまさか……
藍子,ﾊｲﾗｲﾄｵﾌ
P,まさか購入しているとは……
ちひろ,広告の画像を信じちゃいましたね……
未央,値段を聞いてみたら14万3千円だって
P,14万！？ぼったくりやろそれ！！
未央,あーちゃんだけじゃないんだ…
珠美,ﾊｲﾗｲﾄｵﾌ
若葉,ﾊｲﾗｲﾄｵﾌ
まゆ,ﾊｲﾗｲﾄｵﾌ
ありす,ﾊｲﾗｲﾄｵﾌ
ちひろ,ヒ、ヒェ～ッ！！
P,購入者がこんなにいるとは……はやくなんとかしないといけないな。という事でこの広告を出している輩の居場所を探してくれよしのん！
芳乃,お任せあれー
ちひろ,ところで芳乃ちゃん
芳乃,なんでしょー？
ちひろ,その手に持っているのは
豊胸サプリ,まだ未開封やで
芳乃,……決して同年代はおろか一部の年下にまで越されている敗北感からつい買ったわけではないのでしてーちょっと早口
ちひろ,そういうことにしておきましょう
芳乃,そなたたちが探している人物を見つけましたー
P,ありがとナス！
社長,言ったじゃないか！ちゃんとした広告を出してくれって！これじゃあ胡散臭いぞ！
社員,でも社長～、こんな起業したての貧乏な会社にそんなお金と時間がないっすよ～
社長,貧乏なんて言うな！まぁ、その通りなんだが……
P,おいゴラァ！！
ちひろ,許可もなくウチのアイドル達の画像使いやがって……
P,さぁ選べ…
ちひろ,今後のガシャが全て白封筒になるか、ホ○ビデオに出演するか……
社長,申し訳ございませんでしたぁーッ！！
P,おぅ、それで謝ってるつもりか？
ちひろ,とりあえず犬の真似しろよ、あくしろよ
社長,ワン、ワン！
P,14万もぼったくりやがって、そんなに稀少なものが入ってるのか？
社員,はっはい、胸の成長を飛躍的に促進させる効果があるものをふんだんに使っていて…
P,嘘で誤魔化す気か？悪いが藍子達が支払った全額を返して…
事務員,社長～戻りました～、なんかドアが壊れてたけどぉどうしたんですかぁ？
P,まだ仲間がいたのか…ファッ！？
ちひろ,とりあえず貴女もヨツンヴァインに…ファッ！？
事務員,100cm超
P,なんだこのたわわ驚愕
ちひろ,雫ちゃんクラスじゃないですか驚愕
社員,彼女は今年から勤めはじめたんです、それと我が社のサプリの愛飲者で…
P,は？
事務員,実はぁアタシかなりド貧乳だったんですよぉ～、ほらここで働きはじめた頃の写真～
ちひろ,この写真、合成ではなさそうですね
事務員,ここのサプリ、飲み続けたらぁ3ヶ月目ぐらいからチョー大きくなったんですよぉ～
P,3ヶ月目で？
社員,はい、ウチのサプリはどういうわけか飲み続けて3ヶ月ぐらいから効果が表れるものなんですよ
ちひろ,ということはあの広告はあながち嘘ではないと…
社長,はっはい、胡散臭い広告で誤解をさせてしまって申し訳ございません！！
社員,最近、最初の期間が効果が全然ないんで勘違いしたお客様が飲む量を増やしちゃうんじゃないかと話してたんですけど…
P,……
ちひろ,……
P,あっ俺の電話から…。今すぐ止めさせろ未央ォッ！！大変なことになるぞォッ！！
かな子は注意しないと揚げ物が水になる広告のダイエットサプリ買いそう,小並感
