志希Ｐ,以下Ｐ
Ｐ,年末年始の仕事にも限りがある。事務所内での割り振りも考慮し、俺とその担当アイドルは年末年始をオフにした。盆も暮れも関係ない芸能界。だからこそ、貴重な機会である今年はゆっくりと年明けを迎えようとしたんだが……
志希,いやー、コタツはやっぱり良いねぇ……。あたしのラボにはなくってさ～
Ｐ,……
志希,アメリカにいた時も勿論コタツなんて無くってさ。日本に帰ってきてから改めて入ってみたら、まさかこんな良い物だとはね……
Ｐ,……
志希,え？設置すればいいだろって？それも考えたんだけど買う手間やら置く手間やら考えたら、めんどくさくなっちゃってね～
Ｐ,……
志希,というか実験器具が沢山あって置くスペースないし。やっぱこうやって他人のコタツに入るのが一番だよね～
Ｐ,……おい
志希,ん？なに？
Ｐ,なにウチに来てんだよ、自宅に帰れよ
志希,えー
Ｐ,えーじゃない。うら若き女の子がほいほい独り暮らしの男の家に来るもんじゃありません
志希,えー？
Ｐ,大体なんでウチに帰ったら、中にお前がいて既にコタツ入ってんだよ？！カギはかけてあっただろ！？
志希,ん～……？そこはギフテッドの力でちょちょっと？
Ｐ,ギフテッドの力を悪用するんじゃありません。てか、お前の才能はピッキングじゃないだろ
志希,にゃはは～
Ｐ,笑って誤魔化すな！！
志希,まぁまぁいいじゃん♪ちょっとくらいはキミの部屋でキミの匂いに包まれるっていう贅沢をしてもさ～
Ｐ,……まぁ、お前のことだし諦めるとするよ……。どうせ事務所の誰かから合い鍵でも手に入れたんだろうし
志希,にゃはは～
Ｐ,遅くなる前に追い出すからな
志希,うんうん、わかってるよ
Ｐ,あ、これ絶対分かってない時の反応だ。てか折角大晦日をオフにしたのにウチに来てよかったのか？誰かと遊べばよかったのに
志希,それはそうかもしれないけどさ……
Ｐ,そうだろ？
志希,でも実はさ、ちょっと前に周子ちゃんから、去年はＰさんの所で年末を過ごしてめっちゃ楽しかったんだ！って聞いてさ
Ｐ,何してんだよ周子さん
志希,で、周子Ｐさんに実際どうだった？って聞いたら、ぶっちゃけ良かったから、志希さんも今年は乗り込んだら？って言われて
Ｐ,何言ってんだよ周子Ｐ
志希,だったらあたしも行って良いかなって
Ｐ,何がいいのかさっぱりだよ！
志希,まぁまぁ、いいじゃん、いいじゃん！
Ｐ,……。ここで追い出すことに貴重な休みの時間と労力を使うより、こいつが飽きるまで待ったほうが賢明か？どうせすぐに飽きるだろうし
志希,……ん～、どうしたの？
Ｐ,いや、何でもない。いいけど、遅くなる前に追い出すからな
志希,は～い
Ｐ,あ、これ、言うこと聞かないやつだ……
志希,ま、そんなこといってもさ
Ｐ,ん？
志希,──実は大晦日を一人で過ごすのは寂しかったんじゃない？
Ｐ,……
志希,……
Ｐ,……そんなことは、決して、ない
志希,え～、そうなの？まぁ、そういうことにしておこっか。それでさ、コタツと言えばやっぱミカンだよね！ということでキミ、ミカンとってくれない？
Ｐ,自分で取れ、自分で……ってコタツにあった籠の中のミカン全部なくなってんじゃねーか！
志希,だって最初から一つしかなかったし
Ｐ,……マジで？
志希,うん
Ｐ,仕方がないな……
志希,わーい！とってきて～
Ｐ,……
志希,……
Ｐ,…………
志希,……なんで取ってこないのさ！
Ｐ,だってコタツから出るの寒いし
志希,そうだよね～
Ｐ,納得するんかい！
志希,なんかもうミカンに興味がなくなっちゃってね～
Ｐ,早くない？いくら何でも早くない？コタツにはミカン！ってどの口で言ってたの？
志希,え～……。だって３分間しか興味が持たない志希ちゃんだし？
Ｐ,それを言い訳にするんじゃありません！
志希,あ、そうだ！良いこと思いついた！
Ｐ,今してる会話すら興味なくすんじゃねーよ！
志希,ちょっと待っててね
Ｐ,ん？いきなりコタツに潜り込んでどうしたんだ？
志希,……
Ｐ,志希が身体をコタツに潜り込んでこっちに来ている感じ……。これはまさか……！
志希,プパッ！侵入成功！
Ｐ,こっちにきて俺の前に来てんじゃないよ！しかも正面から寄りかかりやがって！
志希,ハスハス
Ｐ,そしてハスハスするんじゃねー！
志希,え？なんで？
Ｐ,え？
志希,え？
Ｐ,なんでって言ったって……。志希の良い匂いはするわ、柔らかい部分は当たるわ、見上げる上目遣いはカワイイわ、こんな美人と密着して二人っきりだわ……。どうあがいても理性が耐えられないんだよなぁ……。と、に、か、く！離れろ！
志希,ハスハスハスハス！うーん、やっぱキミの匂いは最高だね！
Ｐ,人の話を聞け！。結局背もたれにされる形で落ち着いた。……落ち着いた？いや依然、理性は緊急水域の前後を推移しております
志希,ふぅ～……。やっぱこの体勢は良いね～。キミの匂いは堪能できるし、コタツとキミの体温でポカポカになれるし
Ｐ,そいつは良かったでごぜーますね……
志希,なに能面みたいな顔しながら、仁奈ちゃんみたいなことを言ってるの？
Ｐ,こっちを見るな、こっちを。この体勢で振り替えられると顔が近いんだよ！！思わずキスしちゃいそうになるくらいにな！！
志希,ふーん、そういうことね
Ｐ,なんだ、なにかあるのか
志希,いや、なんでもないよ～。♪～Kissmechuchuchuchuchuchulip
