えりちは美人なんよ。それも超が付くほどの。この人がウチの親友って言ったらきっと皆んな羨ましがるだろうなってくらい,勿論、それが目的で友達付き合いをした訳じゃないんよ？ただ、それだけ整った容姿をしてるって事
絵里,希、そこの資料取ってくれない？
希,はい。どうぞ
絵里,ありがとう。さてと、次は…これは穂乃果の字かしら？。……。ぷっ…ふふっ…うふふ
希,え？急にどうしたん？
絵里,うん。これ、穂乃果の提案した企画なんだけど
希,どれ？おおっ…
絵里,よくこんな事が思い付くわよね。思わず圧倒されちゃった。これなら、もう古参は用無し。完全に任せちゃっても大丈夫そうね
えりちは賢いんよ。考え方も大人だし気が利くし。もちろん勉強も出来る。ウチだってμ'sのメンバーに勉強を教える事が出来るくらいの学力はあるつもりやけど…それでも、えりちには敵わない,ちなみに歳下やけど真姫ちゃんにも敵わない
絵里,真姫？そこ間違えてるわよ？
真姫,え？あっ…本当だ
絵里,ふふっ、真姫ちゃんでも間違える事あるのね
真姫,からかわないでよ
その真姫ちゃんにも勉強を教えてあげられるくらいえりちは賢い,本人曰く二歳も年上なんだからとの事らしいけどウチには無理や
希,えりちが居るとウチの出る幕ないなぁ。まあ、どっちにしろ真姫ちゃんに勉強を教えるのはウチは無理やけどなぁ
真姫,そんな事はないでしょ？にこちゃんじゃあるまいし
穂乃果,あれ？三人とも何してるの？
絵里,ん～？今、真姫に勉強を教えてるのよ
穂乃果,え？真姫ちゃんに？凄いね
真姫,そう言う事だから邪魔しないでよ
穂乃果,は～い
絵里,あら？穂乃果…
穂乃果,ん？何？
絵里,その手にぶら下げてるのは…？
穂乃果,あぁ…これ？カップラーメンだけど？今日は生徒会の仕事が長引きそうだからさぁ。海未ちゃんに隠れて部室で食べようと思って
絵里,カップラーメン？
穂乃果,うん。カップラーメン。絵里ちゃん好きなの？
絵里,えっと…食べた事なくて
穂乃果,え？カップラーメンを？嘘でしょ？
絵里,存在は知ってたんだけど。食べる機会がないのよ
穂乃果,え～そんな人居るんだ。じゃあ、絵里ちゃんにあげるよ。実は何個か持って来てるからさ。はい
絵里,あ、ありがとう
穂乃果,どういたしまして。あっ、でも海未ちゃんには内緒だからね？さ～てと、そしたらお湯を用意して来ようかな
希,良かったな、えりち
絵里,うん。それじゃあ、早速
穂乃果,え？絵里ちゃん何してるの？
絵里,食べようと…
穂乃果,お湯も入れないで？
絵里,あっ…お湯を入れないと食べられないの？
穂乃果,そりゃあね。麺硬いでしょ？
絵里,確かに
真姫,本当だ
穂乃果,お湯を入れて三分間待つの
絵里,分かったわ
穂乃果,はい！出来たよ！召し上がれ～
絵里,頂きます。ハラショー！美味しい！。希！カップラーメン美味しいわよ？
希,うん。じゃあ、一口頂戴？
絵里,ねえねえ、聞いて？この間、新発売のカップラーメンを見つけたんだけど一緒に食べない？。海未？ちょっといいかしら？
海未,何でしょう？何かありましたか？
