・亜美真美→エミリーの呼称は、,なでしこ
亜美,ねーねー、なでしこー、あそぼー
真美,真美たち、おもしろいゲームを思いついちゃった
エミリー,おもしろい遊戯ですか？
星梨花,はい。ルールを聞いたんですけど、勉強にもなりそうですし、私もやってみたいです
エミリー,そうですか……わかりました。是非ともよろしくお願いいたします
亜美,やった！
真美,はい、なでしこ。これをどーぞ！
エミリー,はい……えっと？この札はいったい？
亜美,んっふっふ～。そのカードには、カタカナの言葉がいっぱい書いてるっしょ
真美,それを、カタカナを使わずに相手に伝えるゲームなのだよ
エミリー,この親を私がやる、ということですね
星梨花,はい！私たちがやると、どうしても説明するのにカタカナを使っちゃって……上手くいかなかったんです
亜美,それでなでしこにシュラバヤをたてたってこと
エミリー,白羽の矢ですね。わかりました、やってみます
真美,それじゃあ、なでしこのタイミングで、よろよろ～
エミリー,はい……それでは……
真美,かき氷！
エミリー,いいえ、違います
亜美,真美、それカタカナじゃないよ
真美,あっ、そっかー
星梨花,冷製盛り菓子……なんでしょう？
亜美,ん～、ヒントちょうだい
エミリー,そうですね……その中には果物も入っています
亜美,あっ。パフェ？
エミリー,正解です！
星梨花,なるほど！アイスはあるかと思ったんですけど、パフェなんですね！
真美,さっすがなでしこ。真美だとヒントの時にアイスが……とか言っちゃいそう
亜美,よしよし、まずは亜美が1ポイントだねぃ。次の準備はいいかい？
エミリー,大丈夫ですよ。それでは……
亜美,……千早お姉ちゃん関連かな？
星梨花,機能……ですか……
真美,ん～、ヒントちょうだい
エミリー,えっと……千早さんとは直接関係ないです
亜美,あ、そうなんだ
エミリー,携帯等の最新電子機械系を使います
星梨花,最新電子機械……わたし、あまり詳しくないです
真美,なんとなく、これってのはあるんだけど……青い鳥……
エミリー,……あっ
亜美,どったの？
エミリー,鳥の色は白で、背景が……
真美,わかった！ツイッター！
エミリー,正解です
亜美,なるほどー。ツイッターかー
エミリー,申し訳ありません。間違えてしまって……
真美,んー、いや、どっちもあった気がする。青というより水色っぽいけど
亜美,うんうん、でも伝わったから問題なし！
エミリー,それなら良かったです
星梨花,Twitter……わたしには難しかったです
亜美,んっふっふ～。真剣に考えてるせりかっち、かわいかったよん
星梨花,そうですか？……わたし、照れちゃいます
真美,ささ、次お願い
エミリー,わかりました。では……
亜美,ふでじょう……
真美,はくしょくやさい……
星梨花,うーん……
エミリー,これは難しいかもしれませんね
亜美,くしゃみって関係ある？
エミリー,え？くしゃみは……関係ないと思いますが
亜美,だって、筆でハクション……
真美,違うよー、はくしょく
星梨花,もしかして……。ホワイトアスパラですか？
エミリー,正解です！
亜美,おお、せりかっちやるぅ
真美,はくしょくって、もしかして白ってこと？
エミリー,その通りです
亜美,なるほど、ハクションじゃなかったのか
星梨花,ふふふっ
真美,よーし、つぎつぎ～
エミリー,はい、いきますよ……
亜美,長くない？
真美,もう1回言って？
エミリー,しゅうきゅうしゅびせんもんしょくにん、です
亜美,……後半はなんとなくわかった
真美,たしかに。何か守る人っぽい
星梨花,わかりました！ゴールキーパーですよね！
エミリー,その通り！大正解です！
真美,え！？真美ついていけてないよ
星梨花,しゅうきゅうって、蹴る球って書くんですよ
亜美,おお、だからサッカーで、守備……なるほど！
真美,せりかっちもすごいけど、それ知ってるなでしこもすごい
エミリー,一流の大和撫子を目指してますから……ほんの嗜みですよ
亜美,なでしこ、おかわり！
エミリー,はい、それでは……
真美,長い！
亜美,それ、合ってる？
エミリー,はい、忠実な日本語にしました
真美,カタカナも日本語っちゃ日本語って気も……
星梨花,あ、これ聞いたことあります
亜美,マジで？
星梨花,たしか……ジェットバスですよね？
エミリー,正解です！
星梨花,以前、エミリーちゃんに英語の宿題を教えてもらった時に、そう訳してくれた気がします
エミリー,流石星梨花さん。よく覚えてましたね
亜美,ほえ～すげ～
真美,この2人の記憶力、はんぱねぇ
星梨花,えへへ
亜美,今のところ、せりかっちが3ポイントでリードか
真美,追いつかないとねぃ……なでしこ、次ちょーだい
エミリー,は、い……ぁぅ……
亜美,ん？どーしたの？
エミリー,その……足が……痺れて……
真美,え？なでしこ、ずっと正座してたの？
エミリー,はい……大和撫子たるもの、床に座るときは正座を通すものと……決めて……ぅぅ
星梨花,エミリーちゃん、無理しないでください
エミリー,すみません……崩させていただきます！
真美,いいってことよ……あ、そうだ
亜美,何？ツンツンする？
エミリー,ひぃっ。真美さん、それだけはご勘弁を……
真美,違うっしょ。なでしこ、正座やめたついでに、体育座りやってみ？
エミリー,こう……ぁぅ……ですか？
真美,んで、そのままキープね
エミリー,は、はいぃ……
真美,…………ツンツン
エミリー,ひぁぁっ……？
亜美,あー、真美、ずるいー
真美,いやいや、違うから。なでしこ、痺れてないっしょ
星梨花,え？
エミリー,……確かに、痺れてないです
