ｶﾞｺﾝ,自販機の音
奈緒,…で、加蓮と一緒だとついポテト食べ過ぎちゃうんだよな
凛,押し付けられるのもあるけど、美味しそうに食べるからね加蓮って
奈緒,それなんだよ…おかげでつい許しちゃうっていうか…あぁいや、別に押し付けられるのは許してないからな？
凛,やっぱチョロいよね奈緒って…
奈緒,顔に書いてあるぞ誰がチョロいんだ誰が
凛,ふぉれはなおがわかりひゃすいからぁ
美嘉,あ、2人ともお疲れ～
凛,美嘉、今帰り？
美嘉,うん、ちょっと撮影の予定詰まっちゃっててさ、最近バタバタしてたんだよねー。たまには早く帰って、莉嘉とも遊んであげたいし？
凛,そういう気配り、美嘉らしい
奈緒,アレ、じゃあ加蓮はどうしたんだ？今日って確か…
美嘉,あぁ、それなら…さっき廊下でトレーナーさんベテトレ
奈緒,加蓮の事か？まさかまたアイツ何か…
凛,流石にトレーナーさんの前じゃ何もしないでしょ、加蓮アレでアイドルには真剣なんだしさ
奈緒,あぁ…確かに。じゃあ、なんだって？
美嘉,うん、加蓮ったらポテト食べすぎてトレーナーさんから禁止令食らったって
奈緒,なんだそんな事かぁ
凛,心配して損しちゃったね
奈緒,確かに加蓮はポテト食べすぎてるし少しくらい減らしても……。………え？
凛,……？
美嘉,奈緒？
奈緒,えええええええええ！！？？？加蓮がポテト禁止令だってええええ！？
美嘉,今頃！？
凛,あ、そっか、確かにマズイかもね、これ
奈緒,マズイなんてもんじゃない！下手をすれば加蓮のやつ……死ぬぞ！！？
美嘉,そんなに！？？
凛,いやいや、流石にそれは言いすぎだよ
美嘉,だ、だよね、いくらなんでもそんな簡単に…
凛,せいぜい息の根が止まるか心臓が破裂するかだよ
美嘉,それ結局同じだからね！？？
凛,あるいはアイダホ畑のじゃがバタコーンさんに転職するか
美嘉,誰
奈緒,と、とにかく急いで患者の容態を確かめないとヤバいぞ
凛,急患だしね
美嘉,むしろアンタ達二人のが心配なんだけどアタシ…
奈緒,とにかくさ、加蓮は？
凛,会って様子見ないとだしね…で、美嘉、場所わかる？
美嘉,ハァ……今日は早めに帰れると思ったのになぁ…
凛,美嘉？
美嘉,ハイハイ、場所ね…それなら確か…
凛,ここ？
美嘉,撮影から戻ってきて、トレーナーさんと話したときにね。加蓮にはレッスン後に言い渡したからって
奈緒,ショック死してなきゃいいけど…
凛,扉を開けたら爆発とかしないよね…？
美嘉,アンタ達いい加減にしないとアタシ怒るよ？
奈緒,失礼しまーす…
凛,奈緒、加蓮は……
奈緒,あ、あれは！
美嘉,な、なに、何かあったの！？
