橘ありす,おはようございます
五十嵐響子,あ！ありすちゃん、おはようございます
ありす,響子さん。手にハタキ……ということは、お掃除中ですか？。ご苦労様です。何かお手伝いしましょうか？
響子,いえいえ、もうほとんど終わってるので、大丈夫ですよ
ありす,そうですか。何だか申し訳ないです……
響子,ふふっ。気持ちだけで十分です。……あ、でも
ありす,？
響子,あの棚の上の方、私じゃちょっと届かなくて……
ありす,ああ、ですが、それは私では解決できませんね……
響子,でも、大丈夫です！お手伝いとして、真奈美さんを呼んであるので
ありす,なるほど、真奈美さんなら余裕でしょうね
響子,そろそろ来てくださるはずなんですが……
ありす,あ、噂をすれば、でしょうか
宮本フレデリカ,お掃除、木場に代わりまして～！宮本～！
ありす＆響子,！？
フレデリカ,こーんにーちはー！
ありす,ふ、フレデリカさん！？
響子,木場さんに代わりましてって、どういうことなんですか……？
フレデリカ,さっき電話があったの！なんか、インドで虎を狩りに行くロケが入ってしまって……だって！
ありす,なんて仕事をアイドルに持ってきてるんですか！？
フレデリカ,二つ返事でOKしたって！
響子,悩みましょうよ！？
フレデリカ,だから、フレちゃんが来たんだよー！
響子,ま、まあ、手伝ってくださるなら嬉しいんですけど……
フレデリカ,ハタキ借りるねーっ。えいっ！えいっ！
響子,……
フレデリカ,えいっ！えいっ！
ありす,……
フレデリカ,えいっ！えいっ！。ふー……！
ありす＆響子,……
フレデリカ,届かないね！
ありす＆響子,ですよね！！！
ありす,なんで1回目で諦めなかったんですか！
フレデリカ,もしかしたらこのタイミングで、ググーンと背が伸びるかも……
響子,いや、流石に、それはちょっと……
ありす,ありえませんよ！バカじゃないですか！
響子,あ、ありすちゃん、それは当たりが強いんじゃ……
フレデリカ,わかんないよ～？ありすちゃんだって、明日にはナイスバディーかもよ～？
響子,その返しもちょっと……
ありす,それは……まあ、ありえますが……
響子,ありすちゃん！？あまり言いたくないですけどありえないですからね！？
ありす,はっ！と、とにかく、掃除できてないじゃないですか
フレデリカ,おっかしいね～？
響子,まあ、真奈美さん(172cm)でギリギリですからね……
フレデリカ,フレちゃん(164mm)じゃムリだったよ……
