優花里,私のところへそんな連絡は…。え？グループLINE…？。私そんなの招待されてないのですが……。というか皆さんLINEしてたんですね…。私がアカウント聞いても皆インストールしてないって……。あっ、いえどうぞ私にはお構いなく西住殿は行ってください。いえ、泣いてないですよ、大丈夫です。早く行ってあげてください、はい。この袋ですか？これは戦車のプラモデルです。毎年クリスマスはプラモデルを組み立てながら過ごすのが決まりなんです。まあそれ以外に過ごす方法がないのですが…。西住殿のその手の箱は……？プレゼント交換ですか？へ、へぇ……それは楽しそうですね。私結構早い歳からクリスマスのプレゼント貰えなくなっちゃって…それで思い切って自分で自分に贈り物してるんです。このプラモデルがそれなんですよー、結構レア物で自分へのご褒美っていうか。でもやっぱり貰うなら一度でいいからお友達から心がこもったプレゼントを…。あ、ごめんなさいこんな話で足を止めさせてしまって……それではまた来年に……。えっ！？いやいやいいですよ！私招待されてないですもの…！。そんな場所に西住殿に連れられた私が乱入したら変な空気になりますって……。いいですって、私プレゼントも何も持ってませんし！。本当にお構いなく！西住殿はパーティーを楽しんで来てください！。私は戦車達とパーティーなので！それでは！。ただいまー……。お母さん、これ頼まれてたフライドチキン…。私は……いいや、今日はちょっと食欲なくて。部屋に戻るね…。……。うわわわっ！？。な、何ですかびっくりした……あれ！？。西住殿……！五十鈴殿に武部殿と冷泉殿も……！。どうして私の部屋に……？皆さんクリスマスパーティーをしていたのでは……その、私を除いて……。……えっ！？ど、ドッキリぃ！？。ど、ドッキリってどういうことですか、一体全体…。私が毎年寂しいクリスマスを過ごしてた噂を聞いてサプライズを………ですか？。私を最近避けてたのはこれを悟られない為で…。さっき西住殿と遭遇したのはアクシデントで……西住殿は嘘が苦手だから私に少し情報を流してしまったんですね。……って私の部屋にいるってことはお母さんもグルですか！？。……あっ、いや！大丈夫です、こらは悲しくてじゃなくて嬉しい涙で……！。うぅ……よ、良かったですぅ…！私てっきり皆から嫌われたかと……！。それにまさか友達とクリスマスを過ごせるなんて……！。あ、謝るなんてとんでもない！確かにちょっとびっくりはしましたけど、本当に嬉しいんですよ……！。あ……西住殿、それはさっきのプレゼント……。わ、私にだったんですか……！？あ、開けてもよろしいので…？。うわぁ！これは…ボコのマフラー……！それに西住殿の首に巻かれてるそれと色違い…！まさかこれは…！。ぺ、ペアルックですか……！？か、感激ですぅ……！。しかし私は交換用のプレゼントを用意しては……。い、いいのですか…？そんなサプライズだからって私だけ…。……わかりました。皆さんの気持ちとても嬉しいです！。今日は人生で一番幸せなクリスマスです！。お母さん、やっぱりフライドチキン食べる！人数分お願い！。あっ、いや…普段家ではこの話し方で……。もー、笑わないでくださいよー！！。はぁ……今年はあんこうチームの皆さんとクリスマスを過ごせるかと思ってましたが…。西住殿は熊本へ帰り…。冷泉殿はお祖母様と一緒に過ごし…。五十鈴殿は五十鈴流のクリスマス花道ショーなるイベント出演…。武部殿はクリスマスまでに彼氏作れなかったショックで寝込み…。今年も1人になってしまうとは…。例年通りプラモデルを組み立てながらチキンを頬張りましょうかね…。……ん？私をグデーリアンとソウルネームで呼ぶその声は……。エルヴィン殿！おお、しかもドイツ軍の冬仕様のコート着用です！。あ、あははメリークリスマスです……いえ私はその…。じつはあんこうチームの皆さんの都合が合わなくて…。その大量の食料はもしかしてパーティーの食材で…？。えっ、わ、私もですか……！？。い、いいのですか……カバさんチームのパーティーに私なんかが乱入しちゃって…。そう言って貰えれば嬉しいです…！それじゃあお言葉に甘えて…。そうだ、プラモ晩酌用にシャンメリ買ってたんです。皆で飲みましょう！。えっ、サンタコス……？これ私が着るんですかぁ！？。わ、分かりました……招待して頂きましたし、全力で仮装します…！。どうですか？えへへー、いやーなんだかんだ言って楽しいですね仮装は。私何度か潜入捜査で変装をしているので、結構癖になっているのかもしれませんねー。………いえ、どちらかと言うとオットースコルツェニーが連合軍の制服に変装したグライフ作戦ですね。ふふふ、それでは行きましょうか。カバさんチームのお家には初めてお伺いしますね、確か西住殿も一度訪れたことがあったとか…。私がドアを開けるのですか？えっ、サンタの乱入……？。なるほど、クリスマスだからサンタでサプライズですね！カエサル殿達の驚く顔が目に浮かぶようです！。では、不肖秋山サンタが失礼をして…！。メリークリスマース！。……ん？えっ、なぜ皆さん甲冑や火縄銃で臨戦態勢……っていうか驚いてない……？。うわわわわっ！？いたっ！いたたっ！やめてください！サンタにこんな狼藉ー。痛い！プラスチックでも刀は痛いです左衛門佐殿！。助けてエルヴィン殿…、ちょっ、何でモデルガンを……？。うわーー！ひー！四面楚歌ですー！。ふ、ふん縛られてしまいました……何なんですか一体…。一度サンタを捕獲してみたかった……？。サンタだってローマ兵と騎馬兵と海援隊とドイツ兵士に襲われるなんて想定してませんよ！。まさかエルヴィン殿、サンタコスを着せたのは自分がこの役目をするのが嫌だったからで……？。はっはっはっはー！じゃないですよ！！サンタにこんなことしたらプレゼント貰えませんよ！。もうコスチューム脱ぎますからね…、ん？いえ、物を貰ったって私の機嫌は……。こ、これは自衛隊の戦闘糧食……！？。私も申し込みしたのに惜しくも抽選筈てしまった代物です…。いいのですか、こんな貴重なもの……！？。し、仕方ないですねぇ！今回だけですよー！。まさかこんな形でコレクションが増えるとは…！。それにしても部屋の中はなかなか個性的な飾り付けですね…。日独伊の文化が混ざりまくってます……これクリスマスと言えるのでしょうか。というか、結構意外ですね、皆さんがクリスマスを祝うなんて。ほら、ローマ時代や戦国時代や幕末にクリスマスは……？。……えっ？あ、そうですねエルヴィン殿。自分の人生は自分で演出する……。確かに！戦車道と同じで、自分がこうだと思った物がクリスマスになるのですね！。そしてこちらの一角は随分とボロボロですね……地図の裏に書いた聖母を飾って……。もしやこれは…！エルヴィン殿！。やはりですね！では歌いましょうか、ドイツ兵士の気分で！。あれっ？おりょう殿達はご存知ないですか？。これぞスターリングラードの聖母ですよ！流石はエルヴィン殿！。本来3番の歌詞はロシア兵士が歌ってくれるのですが流石にプラウダ高校の方々が乱入するなんて展開は…。ん……？あっ、ま、窓を見てください！。雪が降ってますよ！うわぁ綺麗です…！。ホワイトクリスマスなんて……ロマンチックですねぇ…！。本当に綺麗です……！。……。……それだ！！。え、えへへー、私もどうやら皆さんのノリが伝染っちゃったみたいですね！。それでは皆さん、せっかくのホワイトクリスマスです、楽しみましょう！！。あんこうチームの皆さんもこの同じ雪を見ていればいいのですが…。来年こそはあんこうチームと…。いえ、カバさんチームもカメさんもウサギさんも、戦車道受講者皆で…。皆でクリスマスパーティーをしましょう……！
ダージリン,ねぇ、こんな格言を知ってる？クリスマスとは、普段よりもう少し誰かのために何かしてあげること。さらにこんな格言を知ってる？クリスマスは、意義深い日、伝統的な日、あたたかい家族や友人に囲まれて過ごす特別な日。あら？皆何故そんなにだんまりとしているの……？なに？オレンジペコ？。今年は実家に帰るからクリスマスパーティーに出られない……？。え……うそ…？え？。そ、そ、そう。それは仕方ないわね、実家の都合なら……。ぜ、全然震えてなんかいないわよ、私が紅茶を零すなんてありえる訳がないでしょう…？。仕方ないわね今年はオレンジペコの分までクリスマスを祝って……アッサム？。あなたも出られないの……？そ、そう、予定が立て込んでいるのね…。……ルクリリ、ローズヒップ。何か言いたそうな顔ね。……そう、あなた達も。え？それどころか、戦車道受講者全員出られない？。……。こ、こんな格言を知ってる2度あることは3度ある……私には何となく予想は出来て…。……ごめんなさい、いいのよ拭かなくて、私が片付けておくから、割れたティーカップもぶち撒けた紅茶も。ほら、気を使わなくてもいいのよ。実家に戻るならそろそろ定期船の出る時間でしょ。平気よ、私も高校生にもなって心からクリスマスを楽しむような女の子じゃないもの。全然残念なんかじゃないわ。……それ以上はダメよオレンジペコ。私のこのサンタコスとかチャーチルに施したイルミネーションを指摘しないで……。むしろごめんなさい、2週間も前からクリスマスパーティーの飾り付けをして。気を使わせてごめんなさい。あっ、そろそろ時間なのね……ええ、御機嫌よう。そうね…来年こそはね……。……。流石にコンビニのチキンを買い食いは優雅とは言えませんね……。いえ、いいのよどうせ隊員達は皆帰ってるのだから気を張る必要はありませんわ。はふっはむっ……もぐだ……。なかなかイケるわね…！。そしてこれを午後ティーで、むぐっごくごく……。ぷはーっ。……もうヤケクソというやつですわ。独りきりのクリスマスを心いっぱいエンジョイよ。むぐっ、歯の間に筋が……爪楊枝付いてないのですの？。これと、これとこれ……、あとこれください。ふー大量ね。少しくらい太ろうが構うもんですか。とにかく聖夜の晩餐よ。奮発して自分用のプレゼント、高級茶葉も買っちゃったし…。クラッカーやタンバリンなど場を賑やかす物もたくさん。これなら独りでも、ちっとも寂しくなんか……。寂しくなんか……！。うぅ……！。部屋に戻った訳だけど。これでもかというくらいの飾り付けが心に突き刺さるわね…まるで私を嘲笑っているような……用意してた時はあんなにウキウキしてたのに…。いいのよ、今日は普段と違って独りだからこそ出来る優雅でゴージャスなパーティーにするのだから……！。まずはダージリンの1人パリコレならぬロンドンコレクションよ！。最初はこのテンプレートなサンタコス！ヒゲまで完備。次は脇役トナカイコス！結構ツノが硬いのねこれ。お次は雪だるま！あ、歩きにくいわね…きゃっ！？。さらにはオレンジペコに無理やり着せるつもりだった際どいサンタビキニ！。秋に美食に負けず頑張って痩せた甲斐があったわね。我ながら素晴らしいですわ、このくびれ。来年からはクールだけでなくセクシー路線も世間に売り込みましょうか。……。む、むなしい……。……料理食べてしまいましょうか。そう、1人だからこそ出来ない豪勢な食べ方で……！。フライドチキンを両手で持ってまるでバイキングのように頬張り…！。シャンメリーを瓶でラッパ飲み…！。ホールケーキも切り分けずにド真ん中からトンネルを掘るように食べ進める……！。こんな下品な食べ方普段は出来ませんわね！1人だからこそ出来る贅沢！。さらにクラッカー！砲手、発射！！。流石です、ダージリン様！ペコ真似。データ以上の戦果です！アッサム真似。パないですわ～！ローズ真似。あらあら大声ではしゃいじゃって、聖グロリアーナの生徒がはしたないわよ
ダレンジペコ,すいません、あまりに素晴らしかったもので
ダージヒップ,流石は聖グロのサッチャーですわー！！
ダッサム,ねぇ、そろそろあれをしない？
ダレンジペコ,そうですね！
ダージリン,あら、何かしらその包みは…
ダレンジペコ,いつもお世話になっているダージリン様に…私達からクリスマスプレゼントです！
ダージリン,まあ……！これは私のお気に入りの高級茶葉さっき買ったやつ
ダッサム,皆で出し合ったのです
ダージヒップ,私達の気持ちですわー！
