イベント,昏き星、遠い月
エドガー,なあ、クリス
クリスティーナ,……なんですか？
エドガー,……この"血が飲みたい"って感じ、ホントにどうにもならないのかな
クリスティーナ,……どうしてそれが気になるのか、教えて下さいますか？
エドガー,だって、これさえなければ、オレ達ヴァンパイアが普通の人間と暮らすのも全然可能なはずじゃないか
クリスティーナ,……なぜヴァンパイアが血を求めるのかは、恐らく誰も知らないでしょう。けれど、私も吸血鬼として数百年しか生きていませんが、こればかりは生き血を喰らう以外ではどうしようもないと思います。………ずっと昔、貴方のようなヴァンパイアが、人間以外からも含めて、完全に吸血を断ったことがありました。元々穏やかな性格であったその者も、始めのうちはなんとか衝動を抑えられたのですが…
エドガー,…
クリスティーナ,一週間ほど経った日の夜、ついに"暴走"し、人間を手当たり次第に襲いました。その時被害にあった村の様子は、同族ですら目を背けるぐらい酷いもので、私も思い出したくはありませんね
エドガー,………
クリスティーナ,吸血を断ったヴァンパイアは他にもいましたが、結果は同じように暴れ回るか、干からびて砂になるかのどちらかです。……貴方が人間の代わりに、鶏や馬の血を吸うことをもあまり好ましく思っていないのは知っています。……本来ならば、貴方には縁のない苦痛を背負わせてしまって、本当に申し訳な…
エドガー,ち、違う違う！そういうつもりで聞いたんじゃないって！
クリスティーナ,？
エドガー,オレがヴァンパイアになるずっと前から、クリスはこの苦しみと向き合ってきたんだろ？。オレのため……も正直あるけど、クリスの負担が少しでも軽くできる方法があるなら、何だってやろうと思って聞いてみただけなんだ！
クリスティーナ,……………
エドガー,……………な、何だよ、なんか言えよ///
クリスティーナ,……いえ、健気で可愛らしいなあと思っただけですよ
エドガー,なっ。う、うるせー！オレとそんな年変わらないクセに！
クリスティーナ,うふふ。…エドガー、貴方は純粋で、いつも優しさに溢れている。吸血鬼の苦しみよりも他者への配慮を。時には貴方を吸血鬼にした私の方を優先してしまうほどに。そしてそんな貴方だからこそ、私は……
エドガー,…ってそうだ。見た目は同じくらいでも中身はうん百歳のおばあ
クリスティーナ,何か言いましたかぁ？
エドガー,ヒッ……な、なんでもないです。……あれ？………あー！クリス！！
クリスティーナ,今度はどうしたんですか？
エドガー,すっごい解決法思い付いちゃったよ！どうして今までやらなかったんだろ！
クリスティーナ,……ちょっと待って下さいエドガー、嫌な予感がします。まず何をするか先に
エドガー,人間も鶏も必要ないんだよ！こうすればさーーー
クリスティーナ,！！待って、エドガー！"それ"は駄目ーーーー
エドガー,……………………ヴぉえぇぇえ"～～～
クリスティーナ,あー、だから駄目って言ったのに
エドガー,な、なにこれ…ゲ◯マズ……いや、◯ロのほうがまだまし…おェ。クリス……オレをヴァンパイアにした時、よくこんなクソマズい汁を飲めたね……うぇえ
クリスティーナ,失礼なこと言わないで下さいよ、まったく。言葉遣いも汚な過ぎます。だいたい私が吸ったのは人間だった貴方の血です。今とは違いますよ
エドガー,それもそっか……あ～～後からもジワジワどころかゴリゴリに攻めてくるよオレの血……ガッデム！◯ァック！あー！！
クリスティーナ,ようやく落ち着きましたね
エドガー,向こう百年分の水を飲んだ気がする…
クリスティーナ,聞く必要もないとは思いますが、もしもう一度自分の血を飲むとなったらどうしますか？
エドガー,……えーと…あれだ、死んだ方がマシだ！！！
クリスティーナ,吸血鬼になっても味の好みは基本的に変わらないんですが、なぜか自分の血を飲むと皆同じことを言うんですよね
エドガー,いや実際シャレにならないでしょこれ
クリスティーナ,気絶しなかっただけよく頑張った方ですよ。強い力をもつ者ほど不味さも強烈になるらしいですが…真偽は定かではないです
エドガー,死ぬほどどーでもいいよ……。………あっ
クリスティーナ,今度はなんですか？どうせまたしょうもない案でしょうけど
エドガー,いやー、自分のが駄目なら他のヴァンパイアの……クリスの血ならまだ大丈夫なのかなーって
クリスティーナ,………は
エドガー,オレのよりは美味しそうじゃん？再生するから死ぬこともないだろうし
クリスティーナ,………自分の血よりは幾分かマシらしいですが、他の吸血鬼の血もやはり想像を絶するほど不味く感じるそうですよ。私は知りませんが
エドガー,あ、やっぱそうなの？。……っていうかそういうのはもう一旦おいといて、オレも一回くらいクリスの血を飲んでみたいよ！俺だけ吸われたことがあるのは不公平だ！
クリスティーナ,えぇ…？
エドガー,お願い！少しだけでいいから！
クリスティーナ,いえ、量の心配は全くしていませんが
エドガー,吸った分は残さず飲み込むからさ！
クリスティーナ,そんな苦手な野菜に挑むみたいに言われても。……例えば、貴方は今の自分の血を私に飲んで欲しいですか？
エドガー,はあ！？そんなの絶対嫌に決まってるじゃん！。クリスにあんなモノ飲ませるくらいなら、どんな手を使っても水か何かを……あ
クリスティーナ,つまりそういうことですよ、エドガー
エドガー,ぐぬぬ…。どうしても駄目？
クリスティーナ,………絶対ではないですが、嫌です
エドガー,オレのこと嫌い？
クリスティーナ,だからそういうことではありませんって
エドガー,じゃあ好き？
クリスティーナ,………………まあ、はい
エドガー,じゃあいいでしょ？
クリスティーナ,………
エドガー,後で何でも一ついうこと聞くから！お願い！
クリスティーナ,………
エドガー,………
クリスティーナ,…………はぁ。もう、そこまで言うならいいですよ。まったく
エドガー,っっやった！
クリスティーナ,ただし、不味かったらちゃんとペッてして下さいね？
エドガー,分かった！
クリスティーナ,まるで子どもですね……あ、子どもか
エドガー,それじゃあさっそく……えっと、どこから吸えばいいのかな
クリスティーナ,………どこからでも平気ですが、慣れないうちは首か手首辺りがいいと思いますよ
エドガー,じゃあ服とか汚さないように手首にする………い、いくよ？
クリスティーナ,どうぞ？それとも怖気づいたんですか？
エドガー,ば、馬鹿にするなよっ！気を遣っただけ！
クリスティーナ,ふふ、それはどうも。噛み跡の心配も要らないですよ
エドガー,お、おう………じゃあ、改めて。…こうして見ても、綺麗な肌だよな。傷跡は消えるとはいえ、ちょっと罪悪感
クリスティーナ,……そういえば、貴方の牙をちゃんと見るのは初めてですね。……綺麗に揃っていて、美しいとも思えます。………痛。けど、明らかに甘噛みですね。……本当、貴方という人はどこまでお人好しなんですか。………………あぁ。……もう、人ではないんでしたっけ。私も………貴方も。…………というよりエドガー、貴方いつまで吸うつもりですか
エドガー,んあ？…あっ、ごめんごめん！つい夢中になっちゃたよ、にゃはは
クリスティーナ,いくら飲んでも別に構いませんが、その、大丈夫だったのですか？。おもに、その……味とか
エドガー,んー、味は全然問題ないよ。ずっと飲んでられたし。………いや、問題あるのかな？
クリスティーナ,……要領を得ませんね。何か他の物に例えられませんか？
エドガー,例えかー。え～～～っとね……
クリスティーナ,………
エドガー,うん。クソ苦いコーヒーかな！
クリスティーナ,………
エドガー,確かに美味しいかって聞かれたらノーだけど、オレ貧乏でコーヒーは安い豆のどブラックしか飲んだことないから、全然イケたよ！。あれ、そういう意味では美味しかったって言ってもいいのかな……まあいいや！にゃはは！
クリスティーナ,……
エドガー,ありがとなクリス！これからは、よかったらクリスの血で吸血衝動を…
クリスティーナ,それは構いませんが、エドガー。貴方さっき何でも一ついうことを聞くと言いましたよね？
エドガー,え、うん。言ったけど……クリス、もう使っちゃうの？
クリスティーナ,ええ。まだとっておこうかと思っていましたが、気が変わりました
エドガー,それはいいんだけど、一体何を命令するの…？。あ、あんまり痛いのはやだな～……なんて
クリスティーナ,ふふ、そんなに心配しなくても大丈夫ですよ。さっきの貴方のお願いを私もするだけです
エドガー,ほ？
クリスティーナ,エドガー。今度は貴方の血を吸わせてもらいます………♪
エドガー,えっ……飲むの？あのめっちゃ不味いオレの血を？
クリスティーナ,私はまだ飲んでませんから分からないですね～
エドガー,ほ、ほんとだって！演技じゃないよ！
クリスティーナ,それは信じますが、私にとっては私の血も同じ感想でしたし、何が起こるか試してみましょうか～
エドガー,えっ、えっと、え～っと…
クリスティーナ,エドガー
エドガー,はっ、はい！
クリスティーナ,おいで
エドガー,………ハイ
クリスティーナ,…いい子だ
エドガー,ずるい
クリスティーナ,傷はどうせ消えますけど、どこがいいですか？
エドガー,えーっと、じゃあオレを吸血鬼にしたとこらへんで……一度噛まれてるし
クリスティーナ,首筋ですね、分かりました。痛かったら遠慮なく言って下さい
エドガー,うん………優しくお願いします。…クリスの髪、いい匂いだ。…すごいや。噛まれてるし、吸われてる感じはするのに、全然痛くない。……当たり前だけど、オレより"手慣れてる"な。………つまり、"そういうこと"なんだろうけど。……ううん。余計な詮索はやめよう。いつか昔のことを、さっきみたいに、クリスから話してくれる日が来るって……信じてるから。……………っていうかねえクリス、君いつまで吸ってるの？
クリスティーナ,………
エドガー,いくら飲んでも死なないって言ったけど、いざずっと吸われてるとさすがに怖いって！ねー！
クリスティーナ,はっ！す、済みません。私ともあろうものが、普通に美味しくてつい夢中になってしまいました
エドガー,え、オレの血そんなに美味しいの？ウッソだあ
クリスティーナ,私もさっきの貴方の様子を見ていたので正直信じられませんが、とても甘かったです
エドガー,あ、甘いぃ？
クリスティーナ,……ごめんなさいエドガー、ちょっともう一度吸わせてもらいます。今度は別の場所から…
エドガー,ちょちょちょ待って待ってクリス！こっちにも心の準備ってものがーーーーあっ。………結局十回は吸われた。しかも全部別の場所から。うぅ、もうお嫁に行けない…
クリスティーナ,本当に済みません、エドガー。後半は少し調子に乗ってしまいました
エドガー,前半はマジ吸血だったってこと！？ひぃーんガチヴァンパイア怖いよー！
クリスティーナ,よしよし、もう大丈夫ですからね～。…全て甘いジュースのようでした。それだけならまだしも、十ヶ所全て異なる味がしました。覚えてる限り、近い果物で例えるなら……苺、パイナップル、ミカン……チェリーや桃もあった気がします。……今エドガーにこれを言っても、到底信じてもらえないだろうな。ふふ
エドガー,……クリス、今笑っただろ
クリスティーナ,おや、私はいつでも笑顔ですよ～？
エドガー,そうじゃなくて！なんかオレに隠してるだろ！
クリスティーナ,………察しのいい子は、嫌いじゃないですよ………ん♪
エドガー,！………え？…………………！！！！！？？
クリスティーナ,なにはともあれ、これならこの先、吸血衝動で困ることはなさそうですね。偶然とはいえ、私も長年苦労してきたこれをなんとかして下さって有難うございます、エドガー。………今のはそのほんのお礼だよ
エドガー,……………………ハイ///
