未央卯月,さ～さ～の～は～さ～らさら♪
奈緖,……
未央,……あれ、この続きって何だっけ？
卯月,えーと、何でしたっけ？
未央,出だしだけは覚えてるんだけどね
卯月,……あ！私思い出しましたよ！
未央,う～ん、そのまま教えてもらうのも何か負けた気がするし……。ここまで来てるんだけど……。そうだね！じゃあしまむー、お願い！
卯月,はい！任せてください！
未央,じゃあいくよ！さ～さ～の～は～さ～らさら♪
卯月,や～ね～ま～で～と～ん～だ～♪
未央,！！。や～ね～ま～で～と～ん～で～♪
卯月,き～れ～い～だ～な～♪
奈緖,チューリップ！！
未央,うん？
卯月,はい？
奈緖,い、いや、何でも無い。続けてくれ
卯月,飾り付け、こんな感じで良いですかね？
未央,良いと思う！ってしまむー、それどうやったの？
卯月,頑張りました！
未央,あ、ダメだ。しまむー浮かれちゃってダメな時だコレ
加蓮,なーおっ♪
奈緖,どわぁ！？加蓮！？
加蓮,きゃっ、もう奈緖、そんなにびっくりしなくてもいいでしょ？
奈緖,ああ、いやすまん……。ちょっと集中して見てたから、な
加蓮,集中？ああ、卯月のアレ？
奈緖,あれ、どうなってんのかなって
加蓮,頑張ったんでしょ？
奈緖,それ、万能の言葉じゃ無いんだからな
凛,おはようございます、……七夕？
奈緖,おお、凛。おはよう
加蓮,おはよ。なんか未央と卯月が飾り付けしてるみたい
奈緖,凛は聞いてないのか？
凛,特に何も。多分未央の事だから、朝事務所に来て何も無いのを見て、七夕に飾り付けが無いのはダメだよ！とか言い出したんだと思う
加蓮,なるほど、それはあるかもね
奈緖,卯月も、あ、未央ちゃん飾り付けしてるんですか？私も手伝いますよ！とか言ったりしてな
加蓮,あ、奈緖の似てるけど似てない物真似だ
奈緖,う、うるさいなぁ！ほっといてくれ！
凛,……ンﾌｯ
奈緖,こっそり笑ってんじゃねぇ！
未央,何の話してたの？
奈緖,いや、何だ。未央が急に飾り付けを始めたのかなって話だよ
