真っ黒に染まった加蓮のお話,予定
奈緒,で、倒れたわけか
加蓮,面目次第もございません
奈緒,あのさぁ……アタシやPさんが何度も言ってるだろ？。どこまでが自分の限界か見極めてやるって……そこで止めないと
加蓮,わかってる……わかってるけど……
奈緒,はぁ……。んと。……凛を連れてPさんがこっちに来るってさ
加蓮,うぅ……
奈緒,何を今更乙女やってるんだ？！まったく……
加蓮,いいよね……奈緒は
奈緒,ん？何か含みがあるような言い方だが、加蓮とアタシじゃ違うものを追ってるから仕方がないんじゃないかな？
加蓮,違う……？
奈緒,じゃあ、逆に聞くが加蓮は人に遠慮されて生きたいのか？
加蓮,え……
奈緒,Pさんも、今では多少むちゃ……いや、それは無しにして。毎回、加蓮が倒れた、加蓮は大丈夫か……なんてうっとおしいぐらいだったのは覚えているよな
加蓮,あ……うん
奈緒,今じゃ、力加減を知らなかっただけなんだろうというのは知ってるが。アイツは実は……ここからの…生からのしがらみを抜け出したいんじゃないか。そう真剣に聞かれたことがある
加蓮,え……――――なにそれ
奈緒,一度目標を失ったヤツは自暴自棄に陥りやすい……Pさんは今までにそんな姿を見たんだろうな。そんなヤツとあの時の加蓮が重なったんじゃないのか……だから必死に、無自覚で加蓮に対して過保護になっちまったと。が、実際は今のそれというわけで……実はPさん、最近年少組や飲み助ばかりかまっているのはその反動だと思うぞ
加蓮,……そうなんだ
奈緒,話が逸れたな……。アタシは本来がかわいい物とかに憧れていたし、Pさんに凛や加蓮からいくら弄られていようとやめられないんだなぁ。これが
加蓮,弄られてる自覚はあるんだ
奈緒,それだけ夢中になってるわけだからな。……で、途中で気がつくわけだ。なら、もしアタシが……もっと素直に。肩肘張らないでみんなと接するならどうなっていたのかな……って
加蓮,ツンデレを止めるってこと？
奈緒,あっさりしてるなぁ……まぁだいたいはそうだ。アタシだって素直に言えたらいいなって日頃から思っているからな。で……その時、Pさんはアタシを……どう見てくれるのかな
加蓮,あ……。やだ……今の奈緒、すごく。キレイ……。嘘……奈緒もこんな……。……
奈緒,あ……。ご、ごめん。加蓮の気持ちも考えないで
加蓮,……
奈緒,好きなんだろ……恋に恋してるとかじゃなくて……アイドルなんか捨ててもいいってぐらい
加蓮,あ……その。ま、まぁ、感謝はしているよ。こんな世界を走ることができるようになった
奈緒,遠慮していない加蓮なんて、加蓮じゃないぞ
加蓮,うぐっ！。……なんか、今日の奈緒は奈緒じゃないみたい
奈緒,ま……説教ついでの。恋のライバル宣言なわけだし
加蓮,…………うん。負けないよ……。でもいいの？ライバル相手に喋り過ぎじゃない？
奈緒,……。人がいくら言ってもジャンクフードばかり食べたがる
加蓮,うぐっ！
奈緒,今日みたいにたまーに、無茶のブレーキはかからない
加蓮,ぐぐっ！！
奈緒,人をからかってばかりで、たまに自爆して赤面する
加蓮,ぐ……
奈緒,けど。全部許せるぐらいには加蓮は好きだな
加蓮,……私もだよ。あ、どうぞ
P,大丈夫か？もう起きていいのか？
加蓮,うぅ……ごめんなさい
奈緒,結局いつものパターンか
凛,それでも万が一ってのはあるからね。Pさん、茄子さんの写真を探して財布に入れたぐらいだから
奈緒,あぁ、御利益バツグンだからな
凛,で…………。恋のライバルはここにもいるからね
奈緒,………………え？
凛,聞こえてたよ。というより、Pさんも聞いていたよ
奈緒,嘘っ！！
P,だいたい、普段からポテトばかり食べているから！
加蓮,ダメ！それだけはダメ！
P,いーや、今度という今度は許さん
奈緒,本当だ……Pさん、耳が赤い
凛,でしょ。なんなら、三人でシェアしない？
奈緒,するか！馬鹿っ！！
