モバＰ,仲良し度が足りない？
菜帆,はい。Ｐさんが担当になってから、もうずいぶん経ちますけど。まだまだ、Ｐさんの態度が堅いと思うんです～
Ｐ,とは言われても、プロデューサーとして、ある程度の線引きは必要だろう
菜帆,それでも、もっと仲良くなれたら、と思うんですよ
Ｐ,ううむ……ちなみに、今はその仲良し度は、どれくらいなんだ？
菜帆,一緒にお茶をするくらいですから――五十くらいですかね～
Ｐ,ふむ、今が標準なのか
菜帆,千が限界値ですよ？
Ｐ,仲良しどころか嫌われてるだろ
菜帆,違いますよ～。目標は高く、ゆっくり目指したいんです
Ｐ,今も仲良しだが、より上の段階に行きたい、と
菜帆,はい～
Ｐ,まあ、プロデューサーとして、コミュニケーションも必要か
菜帆,ではさっそく、仲良くなりましょう～！
Ｐ,それはいいが、どうするんだ？
菜帆,今は対面に座ってますけど、これを。――はい。お隣に失礼しますね～
Ｐ,……少し、気恥ずかしいな
菜帆,これに慣れれば、仲良し度が上がりますよ
Ｐ,幾ら？
菜帆,五くらい？
Ｐ,本当に、気が長い話だ
菜帆,ふふ、のんびり行きましょう～。隣に座るのも、当たり前になってきましたね
Ｐ,そうえば、そうだな。意外と慣れるもんだ
菜帆,それじゃあ今度は、距離を詰めて……
Ｐ,おい、近すぎるんじゃないか。隙間もないぞ！？
菜帆,こうしなきゃ、仲良くなれませんから～
Ｐ,いや、しかしだな……いろいろ、気になるというか
菜帆,あら、Ｐさんは、どこが気になるんですか～
Ｐ,からかうな
菜帆,ごめんなさい～。Ｐさんの反応が、楽しくて
Ｐ,まったく……
菜帆,お詫びに、ぎゅってしますね
Ｐ,こ、こら！腕に抱き着くな
菜帆,お詫びですから、遠慮しないでください～
Ｐ,しなくていい、しなくていいからっ！
菜帆,でも、お詫びが
Ｐ,これもからかいの延長だろ！？
菜帆,あ、バレちゃいました～？。Ｐさ～ん、謝りますから、もっと近くに来ましょうよ～
Ｐ,またくっついてくるだろ。なら近寄らん
菜帆,仲良し度が減っちゃいます～
Ｐ,減ってしまえ、そんな逆セクハラメーター！
菜帆,また対面に戻っちゃいました……
Ｐ,隣に座ってると、気が気でないからな
菜帆,ふふ、私のどこが気になるんですか～
Ｐ,そんなことは一言も言ってない
菜帆,……ここ、だったりします？
Ｐ,襟を下げるな、こっちに見せるな
菜帆,今日は胸元の緩い服だから、対面だと、見えちゃうかも～
Ｐ,ああ、もう、隣に来ればいいだろ！
菜帆,はい～。せっかく隣合ってますから、なにかしたいですね～
Ｐ,隣合わせたのは、お前だ……
菜帆,そうでした～
Ｐ,いけしゃあしゃあと
菜帆,そうだ、Ｐさん
Ｐ,今度はなんだ
菜帆,横になってもらえますか～
Ｐ,なんで俺は、担当アイドルに膝枕をしてもらってるんだ？
菜帆,仲良し度を上げるためですよ～
Ｐ,恥ずかしいから、そろそろやめたいんだが
菜帆,ええ～
Ｐ,どうしてもって言うからやったが、さすがにまずいだろう。恥ずかしいのもあるけど、プロデューサーとして、ちょっとな……
菜帆,そうですか……なら、最後に
Ｐ,おい、なにを
菜帆,えいっ
Ｐ,むぐぐっ！
菜帆,ごめんなさい、Ｐさん。机のお菓子が、少し遠くて～。あ～、ちょっと取れないですね～。もうちょっと、前かがみになれば
Ｐ,殺す気か！
菜帆,私は、お菓子を取ろうと思っただけですよ～
Ｐ,自分のグラマラスさを自覚しろ
菜帆,感想とか、あります？
Ｐ,アホなことを聞くな
菜帆,私はちょっと、くすぐたかったですね～
Ｐ,恥じらいを持て、ちきしょー！
菜帆,Ｐさん、Ｐさん～！
Ｐ,どうした、菜帆
菜帆,あ～んしてください
Ｐ,そのケーキはなんだ
菜帆,かな子ちゃん特製、和風ケーキですよ。ほら、あ～ん
Ｐ,大人をからかうんじゃない
菜帆,そうですか……
Ｐ,……分かったよ。すればいいんだろ！
菜帆,はい～。ありがとうございます
Ｐ,ああ、恥ずかしかった
菜帆,ふふ、可愛かったですよ～。――さて、それじゃあ私も……あむ
Ｐ,ん、それは
菜帆,はい？
Ｐ,いや、なんでもない
菜帆,……直接、したいですか～
Ｐ,なんでもないってのっ！
菜帆,仲良し度も、なかなか上がってきましたよ～
Ｐ,へー、どれくらいなんだ？
菜帆,八十です～
Ｐ,あれだけやってかよ
菜帆,もっと上げたいですか
Ｐ,方法があるなら、一応聞いてやる
菜帆,私の、ぷにぷにで、温かい部分を、Ｐさんが触ってくれれば
Ｐ,一線を越えてるじゃねえか！
菜帆,ほっぺですよ～？
Ｐ,……あ、そう
菜帆,Ｐさんが想像したところでも
Ｐ,頬を触るんだよな！よし、触ろう
菜帆,はい、どうぞ～
Ｐ,――温かいし、柔らかいな
菜帆,Ｐさんの手も、温かいです
Ｐ,もう、いいか
菜帆,まだ、もう少しだけ、触っててください
Ｐ,分かった
菜帆,……ねえ、Ｐさん
Ｐ,どうした
菜帆,本当に、触ってもいいんですよ
Ｐ,可愛い反応を、したくないんでね
菜帆,茶化しちゃ……嫌です
Ｐ,俺はプロデューサーで、菜帆はアイドルだ
菜帆,Ｐさん
Ｐ,もういいだろう。俺は少し、頭を冷やしてくる。菜帆
菜帆,私は、Ｐさんと仲良くなりたいんです。もっと、ずっと、深い仲になりたくて。ねえ、Ｐさん……私じゃ、ダメですか
Ｐ,……菜帆っ！
菜帆,きゃ
Ｐ,やってしまったぁああ……
菜帆,ふふ、Ｐさんって、激しいんですね～
Ｐ,言うな、言うな！罪悪感で死にそうだぁ
菜帆,……やっぱり、嫌でしたか
Ｐ,ぐっ、違う。嫌なわけあるか！大好きだからこそ、立場上の罪悪感がな
菜帆,えへへ、私も大好きですよ～！
Ｐ,お前、へこんだフリをしやがって……！
菜帆,仲良し度も鰻登りです～
Ｐ,……どれくらいだよ
菜帆,今は二百くらいですね
Ｐ,それでも二百かよ
菜帆,大丈夫、これからもずっと、上がっていきますから。――そうですよね、Ｐさん～？
Ｐ,……ああ、そうだな。これからも、よろしく頼むよ
菜帆,はい～！
