石上,生徒会会計
かぐや,いいですよ
白銀,……。俺も四宮の制服を着てみたい！。……。しかし、直球で言った場合……。四宮！俺は四宮の制服を着たい！
かぐや,なるほど。私が石上くんに制服を貸して嫉妬していると？
白銀,ち、違う。そういう訳じゃなくて
かぐや,会長なぜそんなに焦っているのですか？。お可愛いこと
白銀,うわあああああああああ！ダメだ！直球勝負は無しだ！。というかそもそも女子の制服を借りようとか変態だろ！。前提条件が間違っていた！考え直さなければ！
かぐや,……
白銀,ん？どうかしたか？顔が真っ赤だぞ？
かぐや,あっ、いえ。ちょっと今日は暑いなーと。それよりコーヒーいかがですか？
白銀,ありがとう。頼む
かぐや,は、はい。淹れてきますね
白銀,はぁ……四宮の制服を着たいなー
かぐや,会長！さっきから考えが駄々洩れですよーーーーーーー//
白銀,そして欲を言うなら、俺の制服を四宮に着せてみたい！
かぐや,なっ！どれだけ強欲なんですかーーーーー//
白銀,ぐっ、学ラン姿の四宮を見てみたい！俺はどうすれば……
かぐや,なななななっななっーーーーーーーー//。はぁ……。まったく……。会長ったら、もうまったくもうっ。本当に困ったお方
白銀,ぐぐぐぐぐぐぐぐ
かぐや,それにしてもあんなに悩まれて。会長ったら私の事好きすぎでしょう！。本当に仕方がないので、私から体育祭の生徒会の挨拶の時に、会長と副会長の制服も交換してみましょうか？と話をふってさしあげましょう。手間がかかる旦那を持った気持ちだわ。って、誰が妻よ！！。会長
白銀,ん？なんだ？
かぐや,その……あの…………………………………………コーヒーが入りました
白銀,ありがとう。いい香りだ
かぐや,って、服を交換しましょうとか言える訳ないじゃないーーーー！！！！。どこの変態よ！制服を交換したのがバレたら変態生徒会って呼ばれるじゃない！。それにもし……
白銀,なに？体育祭で俺と制服を交換したいだと？
かぐや,はい
白銀,体育祭の日に交換という事は、登校中俺が着てた温もりや匂いが残っている……。その服が着たいという事だな
かぐや,あっ、いえ、それは……
白銀,まったく俺の温もりを感じたいとは……
かぐや,いやぁーーーーーーーーーーーーーーーーー！！！。そりゃあ、洗った後の服を着ても意味はありませんが……ってそうじゃなくて！。そもそも会長が私の服を着たいと言っているのが問題なんですよ！。そうです！私から言うのではなく、会長から言うべきです！。さあ、いつでも言ってください！会長が言ってくれれば私はいつでも
早坂,四宮家メイド
かぐや,会長の意気地なし！
早坂,思ったのですが、俺も四宮の制服を着てみたいと言った時にあらあら、そんなに私の事が好きなんですか？と言えば、会長を追い詰める事が出来たのでは？
かぐや,……。あっああああーーーーーーー！！！！
白銀,ふむ……。今日は思ったことを口に出したふりをして、四宮から制服を交換しましょうと言わせようと策を練っていたのだが……。……。四宮め！赤くなってニヤニヤしたり真っ赤でキョトンとした顔をしたり、色々な表情を見せやがって。可愛すぎて頭から策が全部飛んじまったじゃねーか！！！。まったく俺の事を好きすぎだろ！
圭,白銀妹
