ナレーション,双海亜美
律子,……小鳥さん？なんなんですか、いったいこのビデオは？
小鳥,み、見たんですか！？
律子,質問に答えてください
小鳥,うわ、律子さんマジだ……。それそ、それはその……プロデューサーさんが……
律子,プロデューサーが？
小鳥,律子さんを、もう一度アイドルに……って。それでその売り込みＶを作成しよう、って……
律子,ぷろでゅうさあああぁぁぁーーーっっっ！！！。それで？弁明があるなら、うかがいましょうか。亜美、ストップウォッチ！
亜美,サ→！イエッサ→！
律子,ただし弁明は10秒にまとめてください。ではスタート
Ｐ,あ、あのな、これはつまりその、あれだ。要するに……
亜美,時間であります。律子軍曹
Ｐ,いやいやいや、いくらなんでもまだ時間経ってないだろ？短くないか、亜美！？
亜美,さあ？イエッサ→！
律子,では裁判長、判決を
伊織,主文。被告人Ｐを有罪とする
Ｐ,横暴だ！こんな裁判はデタラメだ！！これじゃあまるで、スペイン宗教裁判だよ！！！
伊織,異議は却下よ。あのビデオ、律子の許可を取ってなかったなんて私達は聞いてなかったんだから
Ｐ,言ったら、協力してくれないだろ？
伊織,当たり前よ。だから有罪
Ｐ,律子さん、冤罪ですよ！冤罪！！
律子,うっさい！こんな恥ずかしい企画で、こんな無駄な予算を使って……
Ｐ,恥ずかしくないし、無駄じゃない！律子はアイドルとして十分やっていける！
律子,やりませんっ！
亜美,ねえねえ、あずさお姉ちゃん。りっちゃんがもしアイドルに戻ったら、竜宮小町のメンバ→になるのかな→？
あずさ,それはそうなんじゃないかしら～。なにしろ律子さんの担当ユニットなんだし
亜美,……亜美、それならりっちゃんがアイドルに戻ってくれてもいいな……
伊織,まあね。本音を言えば別に、悪いアイディアとは思わないけど
あずさ,本人があの調子ですもんねえ～
律子,これに懲りて、二度と馬鹿な企画を考えないように！
Ｐ,あ、あきらめない……俺はあきらめない……ぞ。なあ、やろうぜアイドル。絶対にイケるって！
律子,だからやりません
Ｐ,すごいもん見れるわよ
律子,やらないって言ったらやりません！
美希,ハニー、何を読んでるの？
Ｐ,これか？山田芳裕の漫画へうげものだ。これはみんなをプロデュースするのに参考になるなあ、うん
美希,ハニーのおすすめなら、ミキも読みたいのー☆
Ｐ,俺が、読み終わったらな。あ、でも最初の方で良かったら、ほら
春香,あ、私にも貸して下さいよ！
美希,春香はミキの後なのー！
Ｐ,おいおい、仲良くな
律子,プロデューサー。みんなまだ学生で、アイドル活動で忙しい身なんですから、あんまりマンガとかばっかり読ませないでください
Ｐ,まあまあ、そう言うなよ。息抜きも大事だぞ、息抜き
律子,プロデューサーは、抜いてばっかりじゃないですか！何かといえば、マンガのことばっかり！！
Ｐ,失礼な！
律子,なにか反論でも？
Ｐ,俺は、マンガだけじゃない！アニメもゲームもなんでもいけるぞ！！
律子,はあ、もういいです。私、何が言いたいんだろう？
伊織,どうしたの？なんか悩みごと？
律子,……ううん。大丈夫よ。そうよ！
伊織,なに？
律子,分析してもわからない、それはデータが不足しているからよ！
