スタッフ,それでは本番いきまーす
李衣菜,――皆さんこんにちは！日曜の夕方、ロックに過ごしてますか～？エバーリースのえばらじ！パーソナリティーの多田りい
加蓮,突然ですがっ！！！！
李衣菜,な゜っっ！？
泰葉,今週のえばらじ！はお休みして、緊急特別番組を放送します！
加蓮,多田李衣菜ちゃんお誕生日おめでああタイトル長いっ、李衣菜おめでと～～～～～！！
泰葉,おめでとう李衣菜！ぱぁん！ぱぱぁん！
李衣菜,えっちょ、さっきの打ち合わせと違うじゃん！？釣り台本の後にサプライズの流れでって話してたよね！？ってああもう釣りとかバラしちゃった！
加蓮,そんなの全部ウソに決まってるでしょ？釣り台本もフェイク！
李衣菜,まだ名乗りすらしてないのに！作家さんめちゃくちゃ手間だったでしょ！
加蓮,はいこれ、これが本物の今日の台本だよ
李衣菜,ウソだ、1枚って――北条さんと岡崎さんにお任せします……お任せします！？1行！？
加蓮,作家さんに手間なんて取らせないよ。ここから後は全部私と泰葉の自由にしまーす！
泰葉,リスナーの皆さん、あんまりメール読めなかったらごめんなさい♪ぱぱぱん！
李衣菜,ええ～！
加蓮,さぁさぁ巻いてこ！改めまして、RiinaTadaAnniversary委員会、略してRTA会長の北条加蓮だよ♪
泰葉,RTA第二会長の岡崎泰葉です。じゃんけんに負けて二番目になりました……ぱぱぁん
李衣菜,リアルタイムアタック……や、そこはあえてツッコみません。それよりなんでさっきから泰葉はぱんぱん言ってるの？
加蓮,ブース内、クラッカー禁止だって言われてね～
泰葉,ぱん
李衣菜,いやうんみたいに。かわいいけど
泰葉,ぱぁん！……ううん、違う。もっと……ぱァん、いや、ぱァン！ﾊﾟﾊﾟｧﾝ!
李衣菜,怖い怖い怖いどんどん本物に近づいてる！声帯模写ってここまで出来たっけ！？
泰葉,ﾊﾟｧﾝ!どうですか、ちゃんと出来てます？
李衣菜,出来てる、出来てるからもうやめて！喉ヘンにしちゃう！
泰葉,大丈夫、プロですから
加蓮,今食べたいものは？
泰葉,メロンﾊﾟｧﾝ!
李衣菜,言うと思った！
泰葉,まぁあるんだけど。はいどうぞ、ケーキの代わりに私のお気に入りメロンパン♪
李衣菜,うゎ、あ、えっ、ありがとう！？。んわぁ、なまくりーむがすごいはいってる
泰葉,ふふ、美味しい？
李衣菜,んむんむ
加蓮,じゃあ李衣菜が食べてる間にメール読むね。ラジオネームぴんきりさんから、だりやすかれんの皆さんこんにちは！こんにちは～♪違うよ～エバーリースだよ～
泰葉,こんにちは♪
李衣菜,わぁ～
加蓮,李衣菜ちゃんお誕生日おめでとうございます！！！！！！！！！！！。ビックリマーク多くない？
李衣菜,ぁりがとーございます！
加蓮,かっこ本当はビックリマークを69個付けようと思ったのですが凄まじく読みにくかったのでやめましたかっこ閉じ。やめて大正解だよ、既に目が滑るもん
李衣菜,ぴんきりさんいつも思うけどやり方が明後日の方向だよね
泰葉,ラジオネームはかわいいのにね
加蓮,え？
李衣菜,え？
泰葉,え？かわいいよね？語感が……ぴんきり、って。ぼんぼり、みたいな。ね？
