周囲,ｶﾞﾔｶﾞﾔｗｗｗｶﾞﾔｶﾞﾔｗｗｗ。ｳｪｲｳｪｰｲｗｗｗｗ
綾,…………。どうしよう、ぼっちになっちゃった…。けど、今からでも誰かに話しかければ……っ！。だめだ……恐い……1人で初対面の人に話しかけるなんて出来ないよ…。もう、ぼっちでいいや……。お弁当、どこで食べようかな……。学食はぼっちには難易度高いし、ベンチで1人で食べてたらぼっちだと思われそうで嫌だし…。…………。はぁ…ここなら人目を気にしなくていいわね……。もぐもぐ……。お母さんのお弁当、おいしいなぁ。午後も講義があるのか……。教室に早く着いても1人だとあれだし、ギリギリまでトイレにこもってよう…。講義中はぼっちであることを気にしなくていいから少し楽ね
教授,じゃあ今からグループディスカッションをしてもらうので、適当にグループをつくってください
綾,……ッ！？。どうしようどうしようどうしよう……！とりあえずだれかに声をかけてグループに入れてもらわなきゃ！。……ッ！…………
教授,組めてない人はいませんか？手を挙げてください
綾,そんなこと言われて手を挙げられる訳無いじゃない！
教授,小路さん？小路さんのグループは？
綾,えっ……と…わ、私まだグループを組めてなくて…
教授,はい？さっき余ってる人は手を挙げてって言いましたよね？どうして黙ってたんですか?
綾,そ、その、組もうとしてたんですけど、その……
教授,小路さん？ディスカッションに加わらないで黙ってたら、単位認められないよ？。この授業はディスカッション能力も評価するんだから
綾,はい……。死にたい……。今日はもう講義もないし、バイトも休みかぁ……。ブックオフでも行こうかな…
女,ねぇねぇ、小路さん…だっけ？この後、みんなでカラオケ行くんだけど、一緒に行かない？
綾,え……
女,あ、なんか予定とかあった？
綾,いや、そういうわけじゃないんですけど……その……今日は……
女,そっか、ダメなら無理しなくていいよ。いきなり誘ったりしてゴメンね
綾,あ……ぃえ…すみません。はぁ、なんで私ってこんなに初対面のひとと話すのが苦手なんだろう。せっかく友達になろうとしてくれるひとがいたのに…。これじゃあ友達なんてできるわけないじゃない……。高校の頃は、陽子とか忍みたいな友達がいたのに……。あ、そうか……今は陽子がいないから……。高校の頃は陽子がいたからみんなと仲良くなれた、みんな仲良くしてくれた。でも今は……。はぁ……ひまだなぁ…。ネットでもしようかしら。…………。…………。こんなのググって私なにやってんだろ……。ん……？大学で一人ぼっちの奴つらくないの？……ですって？。ちょっとみてみようかしら。これは……掲示板ってやつかしら？。なになに……ぼっちになるくらいだから、人間的に欠陥があるんだろう……。いくら高学歴でもコミュニケーション障害はゴミ……。な、なによこれ……私のこと馬鹿にしてるの？。そんなこと言わないで下さい、好きでひとりぼっちなんじゃないんです……と。よし、送信……。くっ……なによこれ！ふざけてるの？。どうして面識の無いひとにそんなひどいこと言うんですか！？……と、送信。……あああもうっ！また馬鹿にされた！悔しい！。私は一流大学に行っていて、あなたたちとは違うんです！……と、送信。え？証拠に学生証を見せろ？。よし、見せてやろうじゃない！私の大学名を見ればこいつらも黙るはずよ！。え……え、特定？え？……ど、どうしよう、私、大変なことしちゃったの……？。拡散って、え、え？……私、え、え、え、え？。学校、いけなくなっちゃった………
