・アニメの世界線＋独自設定です,＝デレステのコミュと違う
卯月,ええと、次は智絵里ちゃん、どうぞ！
智絵里,あ、あの…お、緒方…智絵里……高校2年…です………ぇ、えと、わ私は………
凛,メモ、用意してたんだ…
未央,智絵里ちゃんっ
智絵里,ふぁっ！？
未央,目線、こっちこっち♪
智絵里,あ、うん…
風,びゅごおおおおおおーーー
智絵里,ふゎ、あっ！あああああ、待ってええ
未央,あ、ちょ、まって
智絵里,…メモ、どこかにいっちゃった…
かな子,智絵里ちゃん、こんなときこそ、お菓子食べて、元気出そ、ね？
クローバー型のクッキー,ｽｯ
智絵里,…あ、クローバー！えへへ、いいことあるかも♪
未央,おお、智絵里ちゃんのいい笑顔、いただきましたぁ！
智絵里,えっ
かな子,(紹介動画)撮ってたんだね
智絵里,はううぅ…
加奈,やっぱりすごいなぁ、東京って！。フ○グランより大きい建物ばっかり。……迷子に、なっちゃわないようにっ、目印をメモメモ♪。ん？なにかな、あれ。…メモ？。クローバー……かわいいなあ♪。えっと、緒方智絵里…女の子かあ…。あっ！16歳だって、同い年♪えへへっ。特技が四葉のクローバー集め…すごいな～、幸せたくさんな女の子かな？。…精一杯頑張りますので、よろしくお願いします……？自己紹介？？。でも、なんで自己紹介のメモが、こんなところにあるんだろう。落し物かな？。だとしたら今頃この、緒方、智絵里ちゃん？きっと困ってるよね。おっまわっりさーん！
巡査,ん？おお、カナちゃんか
加奈,はいっ、おはようございます♪
巡査,おはよう、今日はお休みかい？
加奈,はいっ！東京に慣れようと、お散歩です♪
巡査,おおそうか、確かまだ…
加奈,2週間ですねっ
巡査,だよなあ、ずっと顔見知りみたいな気持ちだよ
加奈,えへへっ、私もですっ！
巡査,どうだい、東京は
加奈,今も迷子になりそうで、建物の特徴を一杯メモしています！
巡査,そうか、まだメモなしには歩けなさそうかな
加奈,です、ね…わたし、ものの憶えが悪いから…
巡査,いやいや、東京の人だって出かけるときに地図をメモするとか、普通だよ
加奈,そうなんですか！やっぱり東京って、迷路で出来てるんですね
巡査,カナちゃんは相変わらず、面白いところに目がいくねえ。…で、今日は何か用かな？これからちょっと交番をあけるんだが
加奈,あっ、そうだったんですか！ごめんなさい、ついお話しちゃって…
巡査,気にしなくていいよ、市民の声を聞くのも、おまわりさんの大事な仕事だ
加奈,ありがとうございますっ！それじゃ、気をつけてくださいね
巡査,ああ、ありがとう
加奈,……………
巡査,……どうしたんだい？何か顔についているかい
加奈,あ、いえっ、そうじゃなくて、その、何か、忘れているような気がして…
巡査,そういうときこそ、メモを見るといいんじゃないかな
加奈,あっ、言われてみればそうですねっ！。…………あーー！思い出したー！！
巡査,はははは、メモが役に立ったかい
加奈,はいっ♪これですっ
巡査,これです、って…え？
加奈,落とし物です、届けに来たんでしたっ
巡査,…おとし、もの？。なるほど事情はわかったけれど…紙切れ1枚で拾得物、は…ちょっと、ねえ
加奈,ちゃんと名前も書いてありますよ、調べたらきっと
巡査,緒方も智絵里も、ありふれてるからねえ…住所とか書いてあれば、まだ…
加奈,…………
巡査,一応は受け付けるけれど、おそらく2週間経ったら売却
加奈,ばいきゃく
巡査,で、買い手がつかなかったら処分かと
加奈,しょ…ぼん…
巡査,たぶんほぼ100%処分だろうね、なにしろ紙切れだから価値もない、とみなされそうだし
加奈,でも、でもっ！この智絵里ちゃんにとっては、きっと大事なものでっ！
巡査,ああわかってる、わかってるから、受理はするから、カナちゃん落ち着いて
加奈,見つかると、いいなー…………はい、住所と名前です
巡査,ありがとう…カナちゃんの願い通り、緒方さんのところに戻せるようにがんばるからね。探し物は、ひょっこり見つかることもよくあるものだから
加奈,はい、ぜひお願いしますっ！。今日は、ありがとうございました
巡査,こちらこそ
加奈,……………それと
巡査,ん？
加奈,無理言って、ごめんなさい…
巡査,…
加奈,東京の人って、みんな忙しくって、他の人のこと…気にする人なんて、殆どいない…。それは…なんとなく、わかってたんです、それでも！。困っている人がいると思ったら、ほっとけなくって！だから…っ
巡査,ああ、カナちゃんの気持ちはよーく伝わってる。それに、これはおまわりさんのれっきとしたお仕事の一つだ。気にせず、任せておきなさい
加奈,…あ…ありがとうございますっ
巡査,…とはいえなぁ…………ただの紙はただの紙、なんだよなぁ…
後輩,ただいま戻りゃしたー
巡査,おう、ご苦労
後輩,あ、センパイいたんスか
巡査,いて悪いか
後輩,ひでえなあ、んなこと…ってなんスかそれ？
巡査,ああこれか、カナちゃんが見つけた拾得物だ
後輩,あれっ、カナちゃん来てたんスか、会いたかったなぁ
巡査,適当なところで油売っとるようなヤツは会えんよ
後輩,ちゃんと仕事してたっスよお～。で……拾得物、って、まさかこの…
巡査,その、まさか、だ
後輩,ハハハ、カナちゃん面白いなやっぱり
巡査,気だてがいいから受理したが、拾った場所とメモの内容以外、まるで足取りなしだ
後輩,へえー…………ん？
巡査,どうした
後輩,緒方…智絵里…………緒方、智絵里………どっかで見たことある気が……
藍子,というわけで高森藍子のゆるふわタイム今日はいま話題のシンデレラプロジェクトから。デビュー間近のアイドルの卵、緒方智絵里ちゃん、三村かな子ちゃんを、お招きしていまーす
智絵里・かな子,よ、宜しくお願いしますっ！
藍子,次は、智絵里ちゃんのトークです、箱からお題を引いてね
智絵里,は、はいっ！
かな子,がんばってねっ
藍子,なにをがんばるんだろう…。じゃかじゃかじゃがじゃか～、じゃんっ♪
智絵里,えっと…最近うれしかったこと、です…
藍子,はいありがとう、では智絵里ちゃんの最近うれしかったこと教えてくださいねっ
智絵里,あ、はい、あの、えっと、うーん
かな子,…だいじょうぶ？お手伝いしようか？
智絵里,あわわあぅ…ごめんなさいごめんなさい…あのわぁぁどうしよぅ、はうぅ
藍子,落ち着きましょ、ねっ
かな子,最近あったことの中に、何かあるかもしれないよ
智絵里,ありが、とう…えと最近あった、こと、最近…最近……。…あ、PR動画…撮った、うん、撮りました
かな子,中庭でいっしょに撮ったんだよね、ピクニックみたいに
智絵里,はい…その、撮った、というか、撮られた…というか…
藍子,そのPR動画は、シンデレラプロジェクトのページから、ご覧になれますよ～
かな子,宣伝は基本
智絵里,きほん…。…えっと、そのとき………自己紹介を、メモに書いていたんです
かな子,ああ、書いてたねー
智絵里,なのに、急に風が吹いて……飛ばされちゃって、その…
藍子,あらー、たいへん
智絵里,…真っ白になって……落ち込んでたら、かな子ちゃんが…なぐさめてくれて…
かな子,クローバーのアイシングのクッキー、あげたんだよね
智絵里,うん、それで………なんとか、無事に、撮影……でき、ましたっ
藍子,よかったあ、予想外のことがあると、誰でも、慌てちゃいますからねっ
かな子,それが、うれしかったことかな
智絵里,あの………えと、まだ、その…続きが……
藍子,あるんですか？
智絵里,あのとき、風に飛ばされちゃった、メモなんですけれど。…さっき、警察から連絡があって……
かな子,えっ、その話、知らないよ
智絵里,ついさっき、だったから……ごめんなさい…
藍子,警察から、って…ひょっとして…
智絵里,はい、あのメモが…落とし物として、交番に届けられてる、って…
かな子,ええ！そんなことあるの！？
智絵里,信じられなかったんですけれど…Pさんから、柄とか書いてあることとか聞いて、間違いない、って
藍子,それは凄いですね！、メモなんて、なくしたらそれっきりのはずだし…
智絵里,それで、今度…拾ってくれた人にお会いして、御礼をすることになったんですっ
かな子,うわあ、なんて素敵なキセキ
藍子,本当によかったですね、拾って下さったのは、どんな方なんでしょうね
智絵里,えっと…聞いている限りは、私と同い年の女の子で…。上京したばっかりで…その……私のこと、なんにも知らない、らしいん、です…
かな子,そっか、やっぱり私たちまだまだ、知名度が…
智絵里,私に連絡が来たのも…たまたま交番にいたおまわりさんが、プロジェクトのページを。見たことがあったから、みたいで…
藍子,まさに綱渡りみたいに、智絵里ちゃんのところまで届いたんですね～
智絵里,それで…思ったん、です
藍子,はい
