スタッフ,お疲れ様でーす！
美嘉,さーて、プロデューサーに迎えに来てもらわなきゃ。プロデューサー？仕事終わったよー、迎えに来てほしいな♪
モバP,ああ美嘉、お疲れ様。すまんが立て込んでてな。タクシー拾って帰ってきてくれ
美嘉,ありゃ、、、わかった、そうする。誕生日なのに仕事かー、、、今日に限ってプロデューサーついててくれなかったしツイてないや。タクシー拾うって言っても、手持ちあんまりないし、、、。よし！…歩こうかな。莉嘉は仕事かなー、、、メール打ったのに返ってこないや。仕事だって、いつもならプロデューサーが見ててくれて、帰りどっか寄れたのに。今日は途中で帰っちゃって迎えにも来てくんない…。ま！ウジウジ考えてもしょーがない★早く事務所返ってプロデューサーにいたずらしてやろ♪。うっわ雨降ってきちゃったよ。傘買わなきゃじゃん。あ、チョコピッキーだ。買ってってあげようかな。新しい味出てたから買っちゃった。プロデューサー少しは喜ぶかな。お、莉嘉からメールだ★遅いよー。莉嘉も大変そうだねぇ。[そうなんだ。お疲れ様。]っと。
モバP,準備いいか～みんな。タクシー拾って来いって言ったからそろそろ帰ってくるぞ。
ちひろ,もちろんオッケーです！
莉嘉,おっけーだよPくん☆
唯,ゆいもいいよーっ！
麗奈,当然！
夕美,ちょっと緊張してきたっ…かも。
モバP,いいみたいだな、各自待機してろよ～。
美嘉,なーにやってんだかなー、雨降ってる中わざわざ歩いて帰るなんて。言われた通りタクシーで帰ればよかったかも★
莉嘉,…来ないよ？Pくん。
モバP,おっかしいなあ、20分も前にメール来たのに。
ちひろ,渋滞でもしてるんですかね？
唯,Pちゃん、美嘉来るまでアメ食べてていい？
麗奈,あ、アタシにもひとつ。
夕美,美嘉ちゃん喜んでくれるといいな～。
モバP,まさか乗ったタクシーが事故にあったなんてことはないですよねー
莉嘉,…
唯,Pちゃん、それチョー洒落になってないよ。
莉嘉,…っアタシ電話する！
麗奈,いいケド、それで何ともなかったらドッキリばれちゃうかもよ？
夕美,あのー、歩いて帰ってきてるって線は…。
ちひろ,この雨の中で歩いて来ますかねー…。
莉嘉,バレるバレないより、お姉ちゃんが無事どうかの方が大事だよっ！
モバP,あー、俺が電話してみる。余計なこと言いだしっぺだし。
ちひろ,そうですね、そうして下さい。私もちょっと心配です。
美嘉,ん？プロデューサーから？今事務所着いたとこなのに。もしもーし♪
モバP,おお美嘉か？今どこだ？
美嘉,どこって…。事務所、、、だけど、、、…何やってんの？みんな
夕美,あっ…
麗奈,ア、アレ？
ちひろ,あらら
唯,おかえりーっ！美嘉ちゃーんっ！
莉嘉,お姉ちゃああああああん！
美嘉,えっ？何、なんなの
モバP,あーあ、しっちゃかめっちゃかだな。
美嘉,ちょっ、プロデューサーどうしたのよ。莉嘉だって仕事行ってるってさっきメールで
モバP,うん、それ嘘。
美嘉,はあ？
ちひろ,美嘉ちゃん、今日何の日かわかってる～？
美嘉,何の日って、、、別に
唯,ホントに～？
夕美,唯ちゃん…
美嘉,何よ唯
モバP,まあまあ
美嘉,あ、アタシのって
モバP,ドッキリで祝おうと思ったんだけどな、なかなか帰ってこないもんだからみんな心配しだしちゃってさ。
莉嘉,ぞうだよ！Pグンがいぎなり不吉なごど言うがらーっ！
夕美,はい、莉嘉ちゃんティッシュ。
莉嘉,ありがど。
麗奈,ま、まあ、レイナサマは全く心配なんかしてなかったけどね！
唯,美嘉が無事かどうかより、ドッキリがバレるかバレないかの方を心配してたよねっ。
ちひろ,何事もなくてよかったですよ。
美嘉,仕事立て込んでるから迎えに来れないって電話で
モバP,準備してたんだよ、無駄になっちゃったけど。
美嘉,アタシもういい年齢だよ？誕生日祝ってもらってうれしい、、、なん、、、、
唯,おやおやぁ～？どうしたのかな美嘉～？
夕美,唯ちゃん…
麗奈,このレイナサマに祝ってもらってうれしくないだなんて言わせないよ！
ちひろ,あらあら
莉嘉,お姉ちゃん♪
美嘉,莉嘉？、、ちょっと待って、、、、雨でメイク落ちちゃってるから、コッチ見ないでー！
モバP,美嘉、誕生日おめでとう
莉嘉,あっPクンフライングずるいよ～！☆。おめでとう！お姉ちゃん♪
唯,おめでとっ！美嘉かわいいよぉ！
夕美,おめでとうっ！美嘉ちゃん
麗奈,おめでとうございます！…なんて素直にアタシが言うとでｍッゲホゲホ…ッ！
ちひろ,おめでとう！美嘉ちゃん。これで1○歳ねっ。
美嘉,みんな、、、、ありがとう♪
