若林智香,おはようございますっ
姫川友紀,あ！おはよー！
日野茜,おはようございます！！！
智香,もう２人とも来てたんですねっ
友紀,ううん！あたしたちもちょうど今
茜,30分くらい前には着いてましたけど全然大丈夫ですよ！！！
友紀,……
智香,……
友紀,……野球見てるとね、30分くらいあっという間に過ぎるからね、ホントに今来たと言っても過言ではなくて
智香,別に友紀さん悪くないですけどね！？。そ、それより、これからユニットとして、よろしくお願いしますね！
茜,はい！３人で頑張りましょう！よろしくお願いします！！！
友紀,そうだね！まあ、何回か組んだことあるし、改まって言うのも変だけどね
茜,でも挨拶は大事です！！！
友紀,うん、別に挨拶をおろそかにしたいわけじゃないけど
茜,挨拶しましょう！！！
友紀,う、うん……
智香,今日の友紀さんなんだか弱くないですか
茜,挨拶です！！！
智香,追い打ちやめよう！？
友紀,いやぁ……、最近、野球界に暗いニュースが多くってさ～、ちょっとネガティブになってるのかも
智香,ああ……、確かに、ファンには辛いかもしれないですね。そんな時こそ応援！って言いたいですけど、開幕もまだですからね……
友紀,そうなんだよね。この開幕を待つ時間が例年より辛くてさー
茜,でも野球と言えば“一球に賭ける”スポーツですよ！前を向いてないと！その一球も見逃してしまいますよ！！！
友紀,賭けるって使わないでほしいな
茜,は！友紀さんの表情が暗く！？よし！円陣組みましょう！！円陣！！！円陣は声出しに“懸かって”ますからね！！！
智香,わざと言ってないかな！？
友紀,でもまぁ、開幕さえすればこんな気持ちも吹っ飛ぶよね
智香,そうですよ！チームを応援して、自分も元気になっちゃいましょう！
茜,そうです！前向きに“駆けて”行きましょう！たとえ川が道を阻んでも、橋を“架けて”行きましょう！！！
友紀,はぁ～～～～…………
智香,友紀さーーーーん！！！！。あ、茜ちゃん！ダメだよっ！
茜,？
智香,心底わかっていない！？
友紀,生まれ変わったら東京ドームになりたい
智香,ほら友紀さんちょっと壊れてる！。と、とにかく！元気出していきましょう！
茜,はい！！！！！
友紀,……うん
智香,なんか元気が吸い取られてません！？
茜,そんなことないです！！！
智香,どうして加害者側が答えちゃうのかな？
友紀,生まれ変わったら神宮球場になりたい
智香,チームはブレちゃだめですって！！！
茜,友紀さんはどうして元気がないのでしょうか……。心配です……！
友紀,タチ悪いタイプのいい子だね
智香,悪意よりも刺さりますよね
茜,宝くじが当たれば元気になりますか！？
友紀,連想ゲームでの人殺しが趣味なのかな
智香,擁護が難しいレベルになってきましたね
茜,は！そうです！こんなこともあろうかと、志希さんから元気になれる薬をもらっているんです！
