細野かずえ,２０
テロップ,細野かずえ２０
かずえ,今日は待ちに待った初デートの日だ……
テレビ,おうし座のあなた……。今日は何をやっても絶好調！まさに、最高の運気の日です
かずえ,やった！私の星座のおうし座が、今日は絶好調で最高の運気だって！
彼氏,実は俺、どうしても言いたいことがあるんだ……
かずえ,ん……？何なの？
彼氏,俺とお前は、何から何まで価値観が違う。だから、このまま交際をしていてもうまくいかないと思う
かずえ,で、でも……。付き合いを続けていれば、お互いが分かりあえるはず……
彼氏,そんなことはあり得ない。だから、お互いが傷つかないうちに別れたほうがいいだろう
かずえ,え！？それじゃあ……
彼氏,もちろん、今日限りでお前と別れるってことさ。今までありがとな……
かずえ,そ、そんなぁ……！！。ウ……、ウウウ……。ウワアアアアアアア……
喪黒,お嬢さん、何か辛い出来事でもあったのですか？
かずえ,はい……
喪黒,何なら、私があなたの相談に乗りましょうか？
かずえ,ええ。実は……
喪黒,なるほど。突然の失恋……というわけですか。それはお気の毒ですなぁ
かずえ,はい。私としてはこれ以上なくショックですよ……
喪黒,まあまあ、細野さん。今日の失恋から立ち直ることは可能なはずです
かずえ,それができればいいんですけど……。まだ心の準備が……
喪黒,細野さんはまだ若いですから……。人生はこれからですよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
かずえ,ココロのスキマ、お埋めします！？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
かずえ,は、はあ……
喪黒,失恋も貴重な人生経験の一つなのです。それに、長い人生には波乱の出来事も当然含まれていますし……
かずえ,でも、今日がこんな日になるとは予想もしていなかったんですよ。何しろ、今日は最高の運気の日なのに……
喪黒,今日が最高の運気の日とは、一体どういうことです？
かずえ,ほら……。朝のテレビの占いのコーナーでは、私の星座の運気が最高だったんですよ
喪黒,そうですか……。ところで、細野さんの星座は？
かずえ,おうし座です
喪黒,ほう……。もしかするとあなた、占いを信じやすい性格でしょう？
かずえ,その通りです
喪黒,だとすると、血液型占いとかも……
かずえ,もちろん、信じていますね
喪黒,分かりました……。そんなあなたのために、ちょうどいいものがあるんですよ
かずえ,これは……
喪黒,タロットカードですよ。今から、あなたの近い未来を占おうと思っています
