今西部長,君もそろそろいい歳だ。考えても良い時期じゃないかね？
武内P,そう……ですね
部長,どうした？歯切れが悪いじゃないか
武内P,今は、仕事が恋人ですから
部長,そう考えると、君はとても恋人思いな男だねぇ
武内P,……
部長,まま、飲み給え。今日は私の奢りだ。しかし、いつまでも仕事だけが恋人という訳にもいくまい
武内P,それは……はい、そうですね
部長,誰かお相手はいないのかい？
武内P,出会いも有りませんし、その、私は‘こう’ですから
部長,アイドルに囲まれていながら女性に縁が無いとは……
武内P,……
部長,世の男達からしたら、君はよっぽど女性に縁があると思うんだがねぇ
武内P,そうは言いましても……
部長,何なら、ウチのアイドル達はお相手としてどうかな？
武内P,いえ、それは有り得ません
部長,？何故だね？
武内P,プロデューサーが、アイドルに手を出す等あってはなりませんから
部長,ハハハ！そう難しく考えるものではないさ！
武内P,しかし……
部長,仮にだよ。仮に
武内P,……
部長,もしも仮に、君がただの男で
武内P,……
部長,アイドルの彼女達が、ただの女だったら
武内P,……
部長,そう考えた時、君は誰を選ぶのか
武内P,それは……考えた事も有りませんでした
部長,そうかい？私は興味があるよ
武内P,興味、ですか？
部長,そう。一人の男として、君が誰を選ぶのかが
武内P,……
部長,なあに、酒の席の話だ。気楽にいこうじゃないか
武内P,……
部長,まずは、そうだね。君の受け持っている子達はどうだい？
武内P,と、言うと……CPの彼女達ですか？
部長,？今音がしたが
武内P,隣から聞こえましたね
部長,隣は盛り上がっているようだねぇ。まあ良い。話を戻そうか
武内P,……はぁ
部長,彼女達はどうなんだい？
武内P,担当のアイドルを女性として見たことは一度もありません
部長,君ならそう言うと思ったよ
武内P,……
部長,しかし、ここで今一度考えてみてみようか
武内P,彼女達を結婚相手として考えた場合……ですか
部長,その通り
武内P,……。……
部長,ふむ、困っているようなので聞き方を変えようか
武内P,？
部長,CPの中で、結婚するとしたら誰かな？。……隣は随分盛り上がっているみたいだねぇ
武内P,そう、ですね
部長,いやいや、私も君のそんな顔を肴に飲めて楽しいよ
武内P,……
部長,そろそろ考えはまとまったかな？
武内P,……はい、一応、ですが
部長,では、CPの中で、君が一番結婚したいと思う子は？
武内P,新田さんです
部長,……いや、隣は本当に盛り上がっているね
武内P,……そのようですね
部長,ちなみに、何故、新田くんなのかな？
武内P,……
部長,ハハハッ！恥ずかしがる事もあるまい！
武内P,……はぁ
部長,それとも、酒が足りないかな？ん？
武内P,あ、いえ、そんな事は
部長,まだ時間は早い、まだたっぷりと時間はある
武内P,……。新田さんを選んだ理由は……年齢ですね
部長,ふむ。続け給え
武内P,CPは、年齢的に若いアイドルの方達が多いです
部長,確かにそうだね
武内P,なので、候補として考えられるのが、その……
部長,新田美波くんだけだった、という訳か
武内P,……はい
部長,まあ、年齢が離れすぎているとね、厳しいものがある
武内P・部長,……
部長,優等生な回答だ、とても、君らしい
武内P,……
部長,だが、それで私が満足すると思ったかい？
武内P,……と、言いますと
部長,プロジェクト外のアイドルでは、どうかな？。……今度は、反対の部屋か
武内P,そのようですね
部長,まだこんな時間なのに、盛り上がっているねぇ
武内P,しかし……プロジェクト外のアイドルで、ですか
部長,うんうん。それなら、君も年齢を理由にする事もないだろう？
武内P,……
部長,ハッハッハ！君は、中々可愛げがある！
武内P,……はぁ
部長,難しく考える事は無いさ。ただの世間話のようなものさ
武内P,しかし……私には難しい問題です
部長,簡単な問題など、解いていていてもつまらんだろう？
武内P,……
部長,それに君、考えてもみたまえ
武内P,？
部長,CPの彼女達が、異性関係の問題でスッパ抜かれたとしてだ
武内P,待ってください！彼女達に限ってそれは！
部長,まあまあ、仮にだよ、仮に
武内P,……
部長,彼女達の年齢なら、それこそスキャンダルだ
