池袋晶葉,よし、実験開始！
Ｐ,……俺は今、晶葉と一緒にプールにいる
晶葉,そのまま……飛び込めっ！
Ｐ,うん。プールにいるんだけど……なんだろう、この気持ち
晶葉,ああっ、ウサちゃんロボが溺れている！助けてくれ、Ｐ！
Ｐ,はいはい。暑いな……もう九月なのに……。せっかくのオフだけど……することがないしなぁ……。電話だ……ん、晶葉か。もしもし。そうだけど、どうした？。？。ああ、分かったよ。少し待っててくれ。もしもし、晶葉？家の前に車停めたぞ。ん？ああ。……なんか持ってきてる
晶葉,やあ、Ｐ。後部座席にウサちゃんロボを積ませてくれ
Ｐ,いいけど……って、ウサちゃんロボが浮き輪持ってる
晶葉,ああ、今度のは水陸両用だぞ！
Ｐ,なるほどな。ちゃんとウサちゃんロボにもシートベルトしとけよ
晶葉,もちろんだ。では、助手席に失礼する。私が乗っても、助手席か。ふふん
Ｐ,どうした晶葉、楓さんみたいだぞ
晶葉,Ｐ、そこを左に曲がってくれ
Ｐ,おう、市民プールだろう？
晶葉,む……察しがいいな
Ｐ,水着持って来いって言ったろ？この方向は海じゃないからな
晶葉,まあ、そうだが
Ｐ,それに、ウサちゃんロボが浮き輪持ってるし
晶葉,い、言っておくがウサちゃんロボの耐久テストだからな！。……テストが終わったら、時間が余ってしまうからな。せっかくだからプールを楽しもうではないか。やあ、今日はよろしく頼むよ。こっちはじょ……いや、私のプロデューサーだ
Ｐ,どうも、Ｐです
晶葉,ああ、助かるよ。ありがとう
Ｐ,受付の人と知り合いだったのか？
晶葉,いや。電話で貸し切りにしたいと頼んだら、たまたま彼女が私のファンだったそうでな。貸し切りの料金はサービスらしいが……嬉しいものだな
Ｐ,……で、ウサちゃんロボを助けた訳だが
晶葉,むぅ……流石に水中では武装は必要ないか……
Ｐ,プールサイドで水着の上に白衣を羽織い、その場でロボをメンテナンスし始める少女
晶葉,だが……こいつを外せば浮くだろう。それに浮き輪も付いているしな
Ｐ,……どうなの、この14歳。ってか、武装ってなんだよ
晶葉,よし、もう一度実験だ
Ｐ,ここでメンテナンスして大丈夫なのか？
晶葉,防水と湿気対策はばっちりだ。これくらいで壊れなどしない
Ｐ,そうか、凄いな
晶葉,ははは、そう褒めるな。では行くぞ！。では、実験開始！。さあ、見せてみろっ！
Ｐ,おお……浮いてる
晶葉,はっはっは、ここからが本番だ！。しっぽをスクリューに換装したから、そこそこの速さで水面を……。ああっ、倒れてしまった！Ｐ、どうしよう、助けてくれ！
Ｐ,はいはい
晶葉,ふむ……スクリューの位置が悪かったか。重心をもっと気にしなくてはいけないな……
Ｐ,この熱意は凄いんだけどなー
晶葉,なにか言ったか？
Ｐ,いえいえ何も
晶葉,……そうだ、Ｐ。水中用ウサちゃんロボには何が足りないと思う？
Ｐ,水中との親和性
晶葉,ふむ。つまり、水中には水中用のロボを作った方がいい、ということだな？
Ｐ,ああ、そうだな
晶葉,……分かっていないな。そんなものはとうに先人たちが道を開いているんだ
Ｐ,分かっているよ。誰かの通った道よりも、晶葉は自分で道を開くほうが似合っている。何より晶葉は、ロボット技術者とアイドルの道を進んでいるんだからな。天才ロボな少女アイドルだなんて、晶葉以外にいないぞ？
晶葉,むっ……わ、分かっているならよろしい
Ｐ,それで、水中用ウサちゃんロボに足りないものだろう？
晶葉,ああ、そうだ。ちゃんとした君の意見を聞きたい
Ｐ,頭が水中から出てるし水面の部分は浮き輪があるんだから、無理してスクリューは付けなくていいんじゃないか
晶葉,ふむ……だが、それでは水中での機動性が落ちてしまう
Ｐ,そうだな、浮き輪にスクリューとか
晶葉,なるほど……それもいいな。考えておこう
Ｐ,いっそのこと、水中じゃなくて水上用にすりゃいいんじゃないか？
晶葉,水上用？
Ｐ,推進装置付きのサーフィンボードみたいなのに、防水のウサちゃんロボを乗っけて……
晶葉,それだ！やはり君は素晴らしい助手だな……！！
Ｐ,なみのりウサちゃんロボ……って、それでいいのかよ
晶葉,しかし……水面を移動できないのでは、この先の実験はできないな……
Ｐ,どうする？一度帰って直してくるか？
晶葉,いや、やめておくよ。熱中してしまいそうだからな
Ｐ,そうかい
晶葉,せっかくのオフなんだ、次にオフを合わせられるとも限らん。それに……
Ｐ,それに？
晶葉,……せっかく、二人で来たんだから……な、何を言わせるんだ！。ふん、もういい！私はウサちゃんロボを片付けてくる！Ｐは泳ぐ準備でもしているがいい！
Ｐ,はいはい
晶葉,Ｐ、準備ができたぞ
Ｐ,……そうか、やっぱりゴーグルなんだな
晶葉,ああ、これは度入りのゴーグルだが……どうした？こんな時でも眼鏡だと思ったのか？
Ｐ,……流石に眼鏡では泳げないよな
晶葉,そうだな。流石の私でも、水中ともあれば眼鏡は外すさ
Ｐ,だよな。水中なら誰だって眼鏡は外すよな
晶葉,どうしたＰよ？何か思い当たる節でも……ああ
Ｐ,どう思う？
晶葉,……外さないんじゃないか？
Ｐ,まさか
晶葉,いや、有り得ると思うぞ
Ｐ,そういや、晶葉はどれくらい泳げるんだ？
晶葉,……それを私に聞くのか？
Ｐ,もちろん
晶葉,……溺れない程度には、だな
Ｐ,そうか。まあ、俺もそこまで泳げるわけじゃないけどな
晶葉,こういうのは楽しむのが一番いいんだ。泳げなくても泳げないなりに楽しみはある
Ｐ,そうだな。……俺としては泳げる方が、来年困らないんだがなぁ
晶葉,ん？
Ｐ,いや、なんでもないさ
晶葉,……いいだろう。ではＰが教えてくれ
Ｐ,え？
晶葉,私が泳げるようになれば、来年困らずに済むんだろう？なら君が泳ぎを教えてくれ。何に困らないのかはわからないが……その方が君にとっても私にとっても、都合がよさそうだしな
Ｐ,そう、そうやって両手を交互に出して……
晶葉,……ぷはぁ……Ｐ、息が続かないんだが
Ｐ,息継ぎができるようになると、もっと長く泳げるぞ
晶葉,難しいな……どうすれば上手くできるんだ？
Ｐ,腕を上げる時にこう、上半身を捻ってだな……
晶葉,ふむ、ではもう一度やってみよう。……ぷはぁ、はぁ、はぁ……どうだ、Ｐ？
Ｐ,ああ、さっきよりもよくなった。上達したな
晶葉,ふふん、私は天才だからな……
Ｐ,……少し休もうか。疲れが見えるぞ
晶葉,もう少し練習を……いや、そうしよう。Ｐは私のことをよく見ているんだな
Ｐ,大事なうちのアイドルのことだ、そりゃあ常々気にかけているよ
晶葉,そういうことではなくてだな……
Ｐ,なんだ、そういう意味を込めたほうがよかったか？
晶葉,な、何を言っているんだ！なにを馬鹿なことを……
Ｐ,よしよし
晶葉,私は子供じゃないぞっ！
Ｐ,14歳は子供だ、子供。それじゃ、そろそろ再開するか
晶葉,うむ、よろしく頼む
Ｐ,……うん、いい泳ぎになったな。息継ぎもさっきよりできてる
晶葉,そうか？……それは、よかった
Ｐ,そうだ、25メートル泳いでみるか
晶葉,……へ？
Ｐ,いや、これだけできるんだから行けるんじゃないか？
晶葉,……分かった。やってみよう。Ｐ、もし私が溺れたら……
Ｐ,安心しろ、俺が付いているからな
晶葉,……頼むぞ。……では、いくぞ
Ｐ,おう、ゆっくりでいいからな。うんうん、上手に泳げている。少々ぎこちないが及第点だろう。いいぞ、もう少しだ！
晶葉,はぁ……はぁ……どうだ、Ｐ。泳ぎ切ったぞ
Ｐ,よくやったな、晶葉！
晶葉,ふふん……この天才に不可能など――っ
Ｐ,――晶葉っ！！
晶葉,……。……ん、あれ……
Ｐ,晶葉！大丈夫か！？
晶葉,Ｐ……わたし、一体……？
Ｐ,……晶葉が泳ぎ切った直後に、足を攣ったみたいに溺れだしたんだ
晶葉,そう、だったのか……
Ｐ,すまない、晶葉……俺が無茶をさせたばっかりに……！
晶葉,……やめてくれ、Ｐ。君が謝ることじゃない。泳ごうとしたのは私が進んでやったことなんだから
Ｐ,だが……！
晶葉,……分かった、今はこの話はやめにしよう。収集がつかん
Ｐ,……そうだな。……助けるのに必死だったので
晶葉,……ふふん、これくらいできないと私の助手は務まらん
Ｐ,ハードル高いな
晶葉,なに、ただの冗談さ。君が凄かっただけのことだ……ありがとう、Ｐ。……なんだって？
Ｐ,……仮にも晶葉はアイドルですので、そういうご冗談はちょっと
晶葉,な、なんだ……冗談だったのか
Ｐ,単に運が良かっただけでしょう。酸欠で危険な状態になってもおかしくなかったはずです。……ただ必死だっただけですよ
晶葉,Ｐ……。私自身が無事でよかったのだが……。私がここで迷惑をかけてしまったことには変わりないからな……おい、Ｐ
Ｐ,どうした？
晶葉,油性ペンはあるか
Ｐ,もちろん
晶葉,ちょっと待ってろ……。……これでよし。ああ、裏にサインも付けておいた。事務室にでも飾ってあげてくれ。……大切な、ファンにも、プロデューサーにも迷惑をかけてしまったからな。こんな事しかできないが……特別なファンサービスのひとつだと思ってくれ。それに……
Ｐ,それに？
晶葉,彼がここに居てくれると……水難事故から皆を守ってくれそうだからな。なっ、なにを言って……
Ｐ,ははは。そうだな
晶葉,な、撫でるんじゃない！。かっ、帰るぞＰ！……ありがとう、また、実験に来るよ。……改めて言うが、本当にありがとう、Ｐ
Ｐ,どうした、急に
晶葉,いや……泳ぎ切った後、私は溺れて気を失っていただろう？
Ｐ,ああ、そうだな……
晶葉,夢の様なものを少しだけ感じたのだが……誰かの温かい手を感じたよ
Ｐ,……そうか
晶葉,誰だったのかは……分からないがな
Ｐ,ははは、誰だろうな
晶葉,先程、少し話を聞いたが……私が気を失っている間、ずっと手を握っていたそうじゃないか
Ｐ,……それ、聞いたのかよ
晶葉,ああ……ありがとう、私を助けてくれて。君には感謝しきれないよ
Ｐ,よせ、俺が照れる
晶葉,ふん、いつものお返しだ。しかし、私がウサちゃんロボの親というのもな……
Ｐ,事実そうだけどな
晶葉,まあ、確かに製作者は親だといえるだろう
Ｐ,そしたら、俺はウサちゃんロボの……
晶葉,……はっ！？な、何を考えているんだ、Ｐ！！
Ｐ,なんだよ、親の上司的なところかなーとか考えていたのに
晶葉,嘘をつけ！君だって製作に関わっていただろう！！
Ｐ,材料の買い出しや最後のネジ止めを、製作と言うのならな。それより、晶葉は何を想像したんだ？
晶葉,う、うるさい！運転に集中しろっ！！。……最後のネジ止めは、Ｐにしかできないんだぞ。だって……共同製作、なんだから
Ｐ,おっ、嬉しいねぇ
晶葉,き、聞いてたのか！？わ、忘れろ忘れろっ！！えーと、記憶を消す光線銃はどこだ……っ！
Ｐ,ははは……流石にそれはやめてくれ。……そういえばウサちゃんロボ、よかったのか？
晶葉,ああ。きっと彼も喜んでいるだろう。……それに、浮き輪を外せばあのウサちゃんロボは泳げるからな。溺れた子供も助けられるぞ
Ｐ,……え？
晶葉,浮き輪があったほうが、可愛いだろう？
