友人はあたしの頭を冗談めかして,えらい、えらい
ここからはちゃんと聞いておかないと、と襟を正すも、残念ながら既に遅かったようで続く説明はなく、担任は,それじゃあ今日も一日、頑張ってね
あたしの抱えている悩みを察した友人は腕を組み,そっかぁ……
立ち上がり、財布を片手に教室を出る。隣を駆ける友人に、少し小さな声での,ありがとな
すぅ、と息を吸い込んで、心の中で,よし
母はそれを受け取ると、軽く眺めた上で,それでどうしたの
自分に言い聞かせるように胸の内で繰り返して,了解
冷蔵庫から買い置きのスポーツドリンクを一本取り出して、寝ている母を起こさぬように控えめに、誰に宛てるわけでもない,行ってきます
出発からしばらく走行したあとで、プロデューサーさんが,そういえばさ
車がゆっくりと減速して、やがて完全に停止すると同時にプロデューサーさんが,着いたよ
三人揃って,はい！
トレーナーさんのその号令を受け、,あー
なんとか息を整えて必死に,お疲れ様でした
突っ伏したまま動かない二人を,でもクールダウンはしないとー
その最中に、比奈さんの携帯電話がメッセージの受信を告げ、それを確認した比奈さんは,あ、もうお迎え来たみたいなんで、早いとこシャワー浴びて先上がるッス
今こそ質問を投げかける好機と踏んだあたしは、意を決し柔軟中の美優さんに,あの
車を運転しながら,というわけでご両親の好きな食べ物とかある？菓子折りも用意しないと
