金色のガッシュ!!,漫画版
時子,……
ちひろ,……ね、ねぇ時子さん？
時子,何
ちひろ,お茶飲要らない。……はい。……。気ｯｯｯ不味い……ｯ！。こういう時どうすればいいんですか？！私まだ入社二年目ですよ？！。そりゃＰさんは新人ですけど！でも私だって大差ないですからね？！。って言うか！あの人有能だからもう教えることないんですけどね！悔しいよぉぉぉぉぉぉぉ
時子,ちひろ
ちひろ,ひゃっ、ひゃいぃ？！
時子,惰性でうだうだやらないで休憩を挟みなさい。自己管理の出来ない子は嫌いよ
ちひろ,え、あ、すみません外の空気吸ってきますっ！
時子,……ﾁｯ。参考書も飽きたわね……。……ふん、この際退屈しのぎになるなら何でもいいわ。本棚は――少女漫画、詩集、ファッション誌……。ハァ、まったく……テレビ、は流石に無益だし。くだらない。あとは資料棚くらいかしら？。ﾁｯ、ここもスカスカじゃない……。……ん。何、この本……一瞬光ったような……？。表紙と裏表紙は全面緑色、題名はなし。随分なセンスのようね。……。へぇ、楽しめそうじゃない。ロールシャッハテストのような文字の羅列がどうして第一の術なんて読めるのか。退屈しのぎには丁度いいわ
ちひろ,すみません、留守にしてしまって……。電話とか来客とかありませんでしたか？
時子,アァン？。仕事を同僚へ勝手に丸投げしてどうでしたかとはどういう了見よ、ねぇ
ちひろ,ひぃっ！ごめんなさいごめんなさい！
時子,……まぁいいわ
ちひろ,へ
時子,ふん、お似合いの顔つきね。ところでちひろ、この本はアンタのかしら？
ちひろ,……い、いえ。色は好みですけど
時子,アンタの好みはどうでもいいわよ。見慣れた英単語は和訳しなくても理解出来る。それと同じで、知らずのうちにこれをどこかで見たのかも知れない。家に帰って私物の本と照合すれば判る話。単純ね。……ﾁｯ。大きいから嵩張る……むぅ。ん、と。これで明日まで暇潰しには困らないわね
美穂,た、ただいま戻りましたぁ
ちひろ,お帰りなさい、美穂ちゃん
時子,いいから仕事しなさい
ちひろ,はぅ……
美穂,こっ、こんにちは
時子,
美穂,ひぃっ！
時子,……くだらない
モバＰ,以下Ｐ
乃々,無理無理無理無理むぅーりぃー……！。もっ、もう帰りたいんですけどぉ……！
Ｐ,それはダメだ。ご両親から頼まれてる
乃々,むぇー……
時子,くだらない
ちひろ,あら、みんな揃いましたね
時子,アァン？。先ずちひろ、揃うのは当たり前でしょう。予定くらい無い頭でも覚えなさい
ちひろ,返す言葉もございません……
時子,次にそこのぐるぐる、家畜から下僕になりたいなら四の五の言わずに働きなさい
乃々,ぐ、ぐるぐるって……
時子,鞭
乃々,ひゃい
時子,それと美穂、そろそろまともに話しなさい
美穂,きっ、緊張して……
時子,……
美穂,
時子,目を逸らすな
美穂,ごごごごめんなさい！
Ｐ,で、オレは？
時子,レッスン行くわよ、付いて来なさいぐるぐる
乃々,うぅ……解りましたけど……
Ｐ,……。はい、これ例の企画書です
ちひろ,早っ……こほん、確かに受け取りました。Ｐさんはこの後何するんですか？
Ｐ,今日の分は終わったのでちひろさんの手伝いですね
美穂,あ、あの
Ｐ,ん？
美穂,わっ、私、帰るので、送ってもらえたらなぁ、って……その……だ、ダメですか？
Ｐ,……
ちひろ,あまり遅くならないなら
Ｐ,よし、じゃあ行こうか
美穂,は、はいっ///
ちひろ,ふふ、信頼関係も順調ね。……。このところ野犬が出るのは確かだけど……。……一緒にいるための口実、よね。ニブさまで人間離れしなくても……
美穂,え、と、質問して、いいですか？
Ｐ,オレが答えられるものならいいぞ
美穂,えっと……じゃあ、どうして最近犬を見かけるって話が出るんでしょう？
Ｐ,さあ、どこかに棲んでるんじゃないか？
美穂,だとしたらその……ほ、保健所、とか。住民の意見で多勢になれば動くかなぁ、って
Ｐ,――そうか、確かに妙だな。ならこんなのはどうだ？その犬が強過ぎる
美穂,ええっ？！う、うーん、でもそうかも……。実はついこの前も子犬を見かけたんです。事務所の中まで入ってきてたので警備員さんにお願いして……
Ｐ,オレがいない間にそんなことにまで……
美穂,子犬がいる、ってことは殖えて――
Ｐ,……
美穂,プロデューサーさん？
Ｐ,ん、ああ。これからも一緒にいないとな、ってさ
美穂,え、えへへー……///
Ｐ,――さ、駅に着いたぞ
時子,ﾁｯ……
犬,
時子,うざったい……。こんなことなら乃々にもう少し付き合ってやるんだったわ。しかも距離を保ったまま離れないし
犬,
時子,何考えてるのかしらこの駄犬は。ヒールで蹴り飛ばせば――いや、それは私の靴も経歴も汚れるわね。こんなにも蹴り潰したいのに
犬,！
時子,……アァン？
犬,ｸ､ｸｩｰﾝ
時子,…………
犬,
時子,……ふん
犬,……。
時子,――概論。これも違う。凡例集……資料集……期待出来ないわね。ネットの検索履歴……閲覧したＨＰの壁紙……。……。ふふ……ふふふ……エックセレント！。素晴らしいわ、何をしても正体が掴めない！読めるのは第一の術のみ！。アイドルなんてしなくても何週間かは暇が潰れそうねっ♪。くっくっく……アーッハッハッハッハ！。気分がいいしシャンパンでも空けようかしらっ♪。～～♪。……。私の家のインターホンを押した珍獣はどこのどいつだ。さっさと出て来いヘナチン野郎がァ！
犬,わふ？
時子,。私の調教はどうやら失敗したらしい。あの夜、足の爪に肉が挟まる程に蹴り潰したあの犬は
犬,
時子,一週間経っても未だに着いてくる……っ。いかに忠実でも無能な下僕は嫌いよ
乃々,
時子,……ぐるぐるｩ
乃々,ﾋｯ!
時子,アンタ今日も逃げるのかしら？。ん？何とか言ってみなさいよ。ねぇ
乃々,あ、あうあぅ、えっと、ええと、ううぅ……。その……もりくぼは、もうアイドル辞めたいんですけど……
時子,けど、何？
乃々,……きちく
時子,あァ？
乃々,ﾋｨｨｨｨｨｨｨｨｨ!
時子,逃げたわね……だから下僕未満のぐるぐるなのよ
美穂,こ、こんにちはー……
時子,……
美穂,あははは……
時子,こっちを見なさい
美穂,うぅ……あっ、犬っ。時子さん、もしかして懐かれちゃったんですか？
時子,言うことを聞きなさい豚ァ！
美穂,ごごごごめんなさいごめんなさい！。でも、だってその、困ってらしてるように見えたので……
時子,あァ？誰もそんなこと言ってないじゃない。被害妄想が高じて幻聴でも聞こえるようになったのかしら
美穂,え、じゃあ困ってないんですか？
時子,……ﾁｯ
美穂,ほらワンちゃん、時子さん困ってるから。ね？
犬,？
美穂,でも――どうしよう、そのまま追い払っても野良になるだけだし
犬,っ！
美穂,あ、あれ？
Ｐ,……おはよう……オレって臭いのかな……
時子,……
犬,
時子,……
犬,
時子,……。そう……理解したわ。この犬、野良に見えて実は飼われている。この私に何か言いたいどこぞの駄豚がいるのね。さっさと出て来たらどうかしら？
犬,……！
時子,フン……
犬,……
時子,あら、今ので足を止めるなんて気が利いてるじゃない。――飼い主がいるなら、人気のない所でなら姿を現すかしら。確か……山のふもとに廃工場があったわね。レッスンとやらの前にそっちに寄りましょう
犬,……。ｸｩｰﾝ
時子,――ここね
不良１,あん？誰だてめえは！
不良２,ここはオレ達のナワバリだぜ！
不良女,勝手に入ってくんじゃねーよ！
時子,あら、ここは猿山だったのね
不良２,ンだとおらァ！
時子,ナワバリって言ったのはあなたじゃない
不良１,くそっ、ぶっ殺す……！。……は？
不良女,え、それは――鞭？！。や、やめ、て……！
時子,……耳障りね
不良女,イヤっ、イヤァァァァァァァァァ！
時子,ぐぅ……っ！
