釣り人,おう、五郎ちゃん！今日は釣れたかい？
男,いや、全然ダメだったよ。魚なんかかかりゃしない！。あーあ、ただ待ってるだけでご飯にありつける方法、何かないかなぁ。ってあるわけねーか。ん？
ウサギA,……
男,切り株にウサギが激突して死んだ……。やったぜ！ウサギが手に入った！。焼くもよし、煮るもよし、今夜はご馳走だな。さて、帰るか。いや、待て待て。もしかしたら、また今みたいなことが起こるかも……。もうちょっと待ってみるか
ウサギB,……
男,よっしゃあ！まただ！今日はツイてる！。ウサギ二羽か……これで数日は暮らせそうだ。もうちょっと待ってみるか？いや、いくらなんでも――
ウサギC,……
男,またかよ！？
ウサギD,……
男,また来た！あいつも切り株めがけて走ってやがる！
ウサギD,……
男,おーい、危ねえぞ！ぶつかるぞ！。これで四回目……！一体なにが起こってるんだ！？
ウサギ,……
男,またウサギだ！。こいつら何がしたいんだ！？集団自殺でもしてるのか！？
ウサギ,と、止まらない……！
男,え！？
ウサギ,きゃああああっ！ぶつかるぅ！
男,ぐっ……！
ウサギ,……！。あなたが……体を張って止めて下さったのですか。ありがとうございます
男,あ、いや……。つい咄嗟にウサギを助けてしまった……。一回や二回ならいいけど、さすがにこう何度も続くと不気味だしな。放っておけなかった。とりあえず、これ以上ウサギは来ないようだな。これはなんなんだ？お前らウサギは何がしたいんだ？
ウサギ,それが……私にも分からないのです。ここ最近、私たちウサギの仲間が何羽も何羽もあの切り株にぶつかっては死んでいるのです
男,今日だけじゃないのか！
ウサギ,今日は私たちが調査に向かったのですが、あの切り株に近づいたとたん……
男,まるで自殺でもするようにぶつかっていってしまったわけか
ウサギ,はい……
男,あの切り株、何かあるな……。と、その前にこのぶつかった仲間たちを埋葬してやろう
ウサギ,ありがとうございます！
男,あーあ、晩飯にするはずが……何やってんだろ俺。うーん……
ウサギ,いかがです？
男,切り株自体におかしいところはないなぁ……
ウサギ,そうですか……
男,ちょっと掘ってみるか
ウサギ,え、掘る？
男,うん、この下にウサギを引き寄せる何かが埋まってるのかもしれないし。……
ウサギ,……どうでしょうか？
男,お？。なんか……骨が出てきたぞ
ウサギ,骨？
男,ああ……小さい動物の骨だ
ウサギ,まさか、ウサギの？
男,いや、ウサギじゃないな……なんだろ？どこかで見たことはあるんだが……。！
ウサギ,！
男,骨が勝手に動き出した……！
ウサギ,ひいいいい……！
男,これは……この骨格は……！。――タヌキ！。そうか、分かったぞ！お前はカチカチ山のタヌキか！
