剣の乙女,以下、乙女
火の四天王,以下、火王
乙女,……ああ、あの話ね
火王,おかげで、婚約を解消せずに済んだぞ。――やっぱり、嫁には行かせたくない。全く……パパは、子離れが出来なくて困る
乙女,私は、貴女がパパ呼びなのにも未だ戸惑ってるわ
火王,！？ち、父上！父上だ！
乙女,別にいいわよ、今更取り繕わなくたって
火王,だが……私にも、体面というものがある
乙女,ふぅん？。――婚約を解消しろ。そう言われて、半ベソかいてたのは誰かしら？
火王,あわっ、わ、忘れてくれ！///
乙女,それで？どう説得したの？
火王,お前の助言通り、マ……母上に協力を仰いだ
乙女,大喧嘩にでもなった？
火王,いや、そんな事はない。――今の、私の様な幸せをこの子にも。そう母上が言ったら、娘の前だと言うのに……全く！
乙女,……熱々じゃないの。でも、貴女の婚約者は行方知れずなのよね
火王,ああ、だが……奴なら必ず戻ってくる
乙女,ねえ、どうしてそこまで信じられるの？
火王,？何を言っている。――信じる力の強さ。それをよく知っているのは、お前達だろう
乙女,……呆れる位、真っ直ぐなのね
火王,奴も、私を信じてくれている
乙女,でなきゃ、書き置きだけ残して居なくならない、か
火王,ああ、そうだとも！
乙女,とっても素敵な人なのね
火王,うん！！(ﾎﾞﾜｯ)
乙女,熱い！。盛り上がるのは良いけど、ブレスはやめて頂戴！。でも……そんなに素敵な人なら、心配ね
火王,？何がだ？
乙女,浮気しないか、よ
火王,……。……！。……！
乙女,じょっ、冗談よ！。あああ、泣かないで頂戴！冗談だから！
火王,……すまない、想像したら悲しくなった
乙女,その人の事、本当に好きなのね
火王,……ああ！勿論だ！
乙女,他に、良い人が居るかも知れないのに？
火王,……私の顔が、今よりも鱗に覆われていた幼き頃。火龍王の娘だからと、誰もが愛想笑いを向ける中……。……奴だけが、私に言った。――ブス。……とな
乙女,……笑える台詞じゃないと思うけれどね。周囲の者達が、黙ってなかったでしょうに
火王,当然、怒り狂ったぞ！尤も、内心ではどうか知らんが！
乙女,火龍王は？
火王,なんと、あまりの怒りにひっくり返ってな！ははは！。それがおかしくて、思わず笑ってしまった私を見て……。……奴は――。――可愛い！。……と、言ったんだ！ﾎﾞﾜｯ
乙女,……物凄い手のひら返しよね
火王,……本当に、単純な奴なんだ
乙女,ねえ、この話もう何度も聞いてるんだけど
火王,それでな！(ﾎﾞﾜｯ)///それでな！(ﾎﾞﾜｯ)///
乙女,……続けるのね
火王,――この子の可愛さを引き出すとは、さすが火龍王！。――俺にも、そのひっくり返り方を教えて欲しいのだ！。……なんてな？(ﾎﾞﾜｯ)///なんてな？(ﾎﾞﾜｯ)///
乙女,……火龍王が親馬鹿で助かったのよね
火王,……奴のこの馬鹿さは、年月を重ねても変わらなかった
乙女,それを信じ続ける貴女も、馬鹿だと思うけどね
火王,む
乙女,でも、まあ……嫌いじゃないわよ、そういうの
火王,おっと、私に手を出そうとするなよ？。確かに、お前は良き友人ではある。だが、私は浮気は絶対にしない
乙女,……あのね、私の事を何だと思ってるわけ？。私は、運命の相手が女性だっただけよ
火王,運命か……なら、私と奴も運命で結ばれている
乙女,随分と自信ありげじゃない
火王,私は、案外ロマンチストなんだ
大地の魔女(以下、地女),剣の乙女よ、飲みに行くのだ！
乙女・火王,ん
地女,……
乙女・火王,……
地女,……！。ぬうう！何ということだ！。剣の乙女と、火の四天王が裏が繋がっていたとは！。勇者と聖女が二人で話すから……と。気を利かせて、飲みに出ようと思ったのが間違いであったか！。今は……今は、此処を離れねば！
乙女,の……飲みに行くって……その///
地女,！？いつの間に背後に！？
乙女,あ……あ、愛の力で///。――紹介するわ、この子が……
地女,……大地の魔女なのだ
火王,私は、魔王軍幹部の一人、火の四天王
乙女,……どう？私の、運命の相手は///
火王,そうだな……。見た所、かなりの使い手の様だ。私達、四天王にも勝るとも劣らない魔力を秘めている
地女,そ……そんなでもないぞ。せええええふ！せふせふせええええふ！！。魔王様と違い、魔眼が無いのでバレてはいない！。……。だが、いずれはボロが出るかも知れん！。俺が、地の四天王だと知られる前に……離脱せねば！。ええい！これが、運命の悪戯というやつか！。……それじゃ、あとは二人で。むう？
乙女,二人になるのは……三人で飲んでからでも、ね？///
火王,……あまり、見せつけてくれるなよ？
地女,……むおお！？。――光の勇者よ、まずい事になった！
光の勇者,以下、勇者
地女,あ、ファーストキスおめでとうと言っておこう
勇者,……お前、何で知ってんの！？
地女,酔って、朝起きたら火の四天王と剣の乙女がベッドに居たのだ！。恐らくだが、二人まとめてヤっちゃったのだ！
勇者,お前、何やってんの！？
地女,そりゃあお前、夜で人気が無いとは言え、なぁ
勇者,お前、広場の噴水の前……通ってたのか！？
地女,うむ！あそこがムードが良いと、助言したのは俺だ！
勇者,お前……なんっ、どこまで見てたんだ！？
地女,だが、光の勇者よ！見損なったぞ！。祝福の聖女が、不意打ちとは言えチュッとしてきたのだ！。男ならば、ガバッと抱きしめブチュッとすべきだろうが！
勇者,ほぼほぼ見てんじゃねえかあああああ！！
地女,不意打ちに対処出来なければ、この先はもっと危険だぞ
勇者,この野郎……！
地女,ふはは、既に歯車は動き始めた！
勇者,手を……手を出さないようにしてたのに！
地女,ふはは！無駄だが、気をつける事だな！。ふははははっ！はっははははは！。……だが、突然キスされたとはいえな？。呆けるだけというのは、さすがにいかんと思うぞ
勇者,……頼む、言うな
地女,……まあ、説教はこの位にするとしてだ！
勇者,そ、そうだ！お前、二人まとめてって……
地女,だが……不幸中の幸いだったぞ
勇者,……何がだよ
地女,二人は、まだ起きていなかったからな？。こう……俺が居た形跡を消し、コッソリ抜け出してきたのだ
勇者,……。……いや、お前それ――
火王,……ん……む……朝か。此処は、一体……それに……裸？。痛っ！？飲みすぎて、何も覚えて――
乙女,ん……う～ん
火王,……。！？
乙女,激し……むにゃむにゃ
火王,！！！？？？。つ……剣の乙女？
乙女,……ん～？
火王,お、起きろ！起きてくれ！
乙女,…………おはよう
火王,ではなく！昨晩、一体何があった！？。わ、わた……お前と！？
乙女,……まあ、良いわよ。運命って言うのは、どう転ぶかわからないものね
火王,さすがに爛れすぎだろう！
