漫画,バーテンダー
千川ちひろ,ふぅ、これで今日のお仕事も終了っと
ちひろ,プロデューサーさんは先に帰っちゃったし、私も帰ろうかな
川島瑞樹,あら、ちひろさん、お疲れさま。今日はもう帰るのかしら？
ちひろ,はい、そうです。川島さんも今からお帰りですか？
川島,えぇ、そのつもりだったのだけど……
ちひろ,？
川島,よかったら今から飲みに行かない？少し相談したいことがあるの
ちひろ,どこに行きましょうか？
川島,出来れば静かなところがいいわねぇ
ちひろ,BARシンデレラガールズ？こんなところにお店あったかしら……
川島,新しく出来たのかしら？入ってみましょう？
モバP,いらっしゃいませ
ちひろ,！？
川島,２人だけど大丈夫かしら？
モバP,どうぞ、こちらへ
ちひろ,あれ！？あれってプロデューサーですよね！？
川島,ちひろさん？どうかしたの？
ちひろ,い、いえ、なんでもないです……。川島さんは全く気づいてないみたいだ……
川島,いい雰囲気のお店ね……まずは軽めの一杯をもらえるかしら
ちひろ,あ、私も同じ物でお願いしますっ。それで今日はどうしたんですか？相談したいことって……
川島,最近悩んでいることがあってね……プロデューサーには心配をかけたくないし……
ちひろ,ふふっ、私で良ければ話を聞きますよ
川島,ありがとう、ちひろさん……。それでね、相談事なんだけど……。私って最近ネタキャラとしてみられてないかしら……。私が考えていたアイドルとしての姿と違う気がするのよ……
ちひろ,え、えーと……
川島,はじめの頃は思ってたのよ、まだまだ若い子には負けないわって。そのためにアンチエイジングだって頑張ったわ！。なのに全部ネタにされて…わかるわなんて一度しか言ってないのに…！。わからない、わからないわぁっ……
ちひろ,こういうところがウケるんだろうなぁ……
川島,ごめんなさいね、こんな話をしちゃって。ふふっ、今のは忘れてちょうだい。バーテンダーさん、最後に何か一杯いただけるかしら……
モバP,どうぞ
川島,ありがとう。！。あまり飲みなれていない味だけど、美味しいわ！これなんてお酒なの？
モバP,申し訳ございません、こちらにはまだ名前がないのです
ちひろ,？
モバP,あなたのために作りましたオリジナルカクテルですから……川島瑞樹様
川島,！私のことを知ってるの？
モバP,実はファンでして
ちひろ,というかプロデューサーですからね
川島,ありがとう、嬉しいわ。私のためにカクテルまで作ってくれて
モバP,失礼ながら先ほどのお話は聞かせていただきました。このカクテルはあなたをイメージして作った物です
川島,私をイメージして……？。舌がぴりっとするような独特な味わい……。でも喉をすっと通って体が熱くなるような、元気が湧いてきそうな味わいね……
モバP,お酒といってもその味わいは様々です。ですが、共通しているのはどのお酒もその味を愛してくださっている方が存在するということです。川島様、あなたにはあなただけの魅力があり、それを愛してくださっている方々がいるのです。私も、あなたの笑顔からいつも元気をいただいていますよ……
川島,えぇ、そうね……ファンの皆はいつも笑顔で声をかけれくれていたわ……。私には私の魅力がある。分かっていたはずなのに、忘れちゃっていたわね……
ちひろ,そういった川島さんの横顔にはもう落ち込んでいる様子はありませんでした
川島,バーテンダーさん、ありがとうね！。アイドルミズキ復活よ！これからも私のこと、応援してね！
モバP,はいっ！
ラジオ,ハートは嘘を、つけない♪わかる～わ～♪
