鮫島まもる,４０
テロップ,鮫島まもる４０
喪黒,あの……、鮫島まもるさん
鮫島,あなたは……？
喪黒,サインをお願いします
鮫島,ああ、ファンの方ですか……。ど、どうも……
喪黒,お疲れですか……？それとも、何かお悩みでもあるのですか……？
鮫島,い、いえ……。僕は大丈夫ですよ
喪黒,悩みを抱え込むのはよくないですよ。鮫島さん
マネージャー,くよくよするな、まもる。お前は演歌歌手としてよくやっているよ
鮫島,果たして、そう言えるでしょうか？一時期に比べると、CDの売り上げや僕の人気は陰りを見せていますから
マネージャー,まあ、昔に比べるとピークは過ぎたものの……だ
鮫島,確かに、僕は高齢者の女性層に人気がありますよ
マネージャー,大丈夫だ。お前にシルバー層の人気があるのは、喜ぶべきことではないか
鮫島,ですが……。むしろ、演歌冬の時代だから、今の僕の音楽の方向性に限界を感じているんです
マネージャー,いや……。お前の若々しくさわやかなイメージを、高齢者の女性層が好んでいるんだぞ
鮫島,そうですか……？
マネージャー,ああ。だから、心配することはない
喪黒,いやぁ、見事な歌いっぷりでしたよ。鮫島まもるさん
鮫島,あ、あなたは……！？
喪黒,思い出してください。ほら、この間のコンサートの後……。私は控室で、あなたからサインを貰いました
鮫島,ああ、あの時の……！！
喪黒,いやぁ、自己紹介が遅れました……。私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
鮫島,ココロのスキマ、お埋めします？
喪黒,実はですね……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
鮫島,へぇ……。珍しいお仕事ですね……
喪黒,控室の中で見た鮫島さんは、何かの悩みを抱えているようでした。よろしかったら、私が相談に乗りましょうか？
BAR,魔の巣
鮫島,確かに、今の僕は悩みを抱えています。演歌歌手として……、僕にとっては重大なものなんです
喪黒,なるほど。鮫島まもるさんの心のスキマとは……。おそらく、自らの音楽の方向性の限界でしょう！？
鮫島,そ、そうですよ！！よく見抜くことができましたね……！！
喪黒,さっき……。カラオケ店であなたの歌をいろいろ聞いて、分かったんですよ
鮫島,一体、どういうことなんですか！？
喪黒,鮫島さんは……。歌手としてのテクニックは、ずば抜けているんですよ
鮫島,うっ……！！
喪黒,歌唱力はずば抜けているものの、歌に心がこもっていないから……。何を聞いても同じに聞こえるんですよ！
鮫島,……ですよね。思い当たるところが多々あります。喪黒さんに指摘されてようやく理解できました
喪黒,それと、鮫島さんが感じている音楽の方向の限界性とは……
鮫島,おっしゃる通りです。僕ももう、40歳ですから……。やはり、年相応の重厚な曲を出したいですよね
喪黒,年相応で、なおかつ重厚な曲を出すとするならば……。今までの若々しくさわやかなイメージから……
鮫島,男気を打ち出したイメージですか……。悪くはないですね……
喪黒,演歌の世界で、男気を打ち出したイメージの曲といえば……。やはり、これでしょう！これ！
鮫島,海をイメージした曲ですか……。うーーーん……
喪黒,おや、何かご不満でも？
鮫島,実はですね、僕は北海道の漁師町で育ったんですよ。小さいころの僕は、虚弱体質で気が弱い性格でしたから……
喪黒,そうですか……
鮫島,それと、僕の父は漁師だったんですが……。僕が小学生のころ、父は海の事故で命を落としました
喪黒,なるほど……。鮫島さんも複雑な生い立ちを送っているようですなぁ……
鮫島,はい……。僕が海をイメージした曲を歌わなかったのは、今までの生い立ちのことがあるんですよ……
喪黒,ですがねぇ……、鮫島さん。あなたも40歳になったなら、生い立ちに対する葛藤をそろそろ乗り越えるべきです
鮫島,そうかもしれませんね……
喪黒,それなら決まりです！海をイメージした演歌を歌うために、実際に海に出てみましょうか？
鮫島,えっ！？
喪黒,鮫島さん……。マグロ漁船に乗って、遠洋漁業を体験してみるのはどうです？
鮫島,仕方ありませんね……。こうなったら乗り掛かった船であり……、やるしかないでしょう……
喪黒,そうです、その調子！
鮫島,ここが焼津ですか……。僕の地元も漁師町だけど、それ以上の規模ですよね。焼津は……
喪黒,そうです。焼津は日本を代表する遠洋漁業の港の一つですから……
鮫島,なるほど……。で、その焼津港からこの船に乗って出発するんですよね
喪黒,はい。私たちは第十八魔境丸に乗って、3ヶ月間、遠洋漁業を体験するんですよ
テロップ,横松勝典５８
横松,やぁ、君が鮫島まもる君か。実はな、俺の妻が君のファンなんだよ
鮫島,そうですか。ど、どうも……
横松,君がこの漁船に乗ったと知ったら、妻は大喜びするだろうな……
鮫島,も、喪黒さん……。船酔いがキツいですよ……。いきなり漁船に乗ったもんだから……
喪黒,大丈夫ですよ、鮫島さん。いずれ、船の上での生活も慣れますから
朝。洋上に浮かぶ第十八魔境丸。船の上に立つ漁師たちが、浮き延縄,はえなわ
無数の釣針のついた幹縄,みきなわ
鮫島,投縄とうなわ
喪黒,まあ、一応そうですが……。揚縄まであと4、5時間待つんですよ
鮫島,えっ……。4、5時間も待つんですか！？
横松,そうだよ。マグロ漁は時間との戦いなんだよ。何しろ、投縄を4、5時間くらいやって……
鮫島,気の遠くなるような話ですね……
横松,だから、大物が獲れた瞬間の感動は計り知れないものがあるんだよ。俺たちは、そのために生きていると言ってもいい……
鮫島,強い力を感じる……！幹縄に何かがかかったようだ……！
喪黒,これは大きいですよ……！
横松,鮫島君……。しっかり掴まっていろよ……！
鮫島,マグロだ……！生きたマグロが目の前にいる……！！
横松,鮫島君、よくやったな……
鮫島,せ、船長……。父さん……
数か月後。鮫島まもるの新曲,海の男
テレビの演歌番組で、新曲,海の男
カラオケ喫茶で、鮫島の,海の男
BAR,魔の巣
喪黒,鮫島さん。今度の新曲の海の男は、なかなか素晴らしい歌ですよ
鮫島,ありがとうございます、喪黒さん。実は、あの歌は……。第十八魔境丸に乗っている時に思いついたんです
喪黒,おそらく、鮫島さんは……。自らの生い立ちに対する葛藤を、乗り越えることができたのでしょうなぁ
鮫島,はい。第十八魔境丸に乗って、実際に漁師の仕事を経験したことにより……。僕の人生観は大きく変わりました
喪黒,鮫島さんが海に対して憧れを抱くのはいいことですよ。これが、あなたの音楽の方向性に役に立つのなら……
鮫島,は、はあ……
喪黒,だから、鮫島さん……。あなたは私とある約束をしていただきたいのですよ
鮫島,約束！？
喪黒,そうです。あなたがマグロ漁師としての体験をするのは、この間の航海の1度きりにすべきです
鮫島,わ、分かりました……。喪黒さん。このたびは貴重な経験、本当に感謝しています
12月31日――。JBCホールで、年末恒例の番組,JBC紅白歌合戦
司会者,今年の紅白歌合戦のトリを務めるのは、この曲です！鮫島まもる海の男……！
記者,ところで……。鮫島さんは最近、小型船舶の免許を取得したらしいですね
鮫島,はい。海の男を発表して以来、海に対する興味が高じたので……。そのおかげですよ
芸能事務所,長浜プロダクション
社長,まもる……。釣り番組からお前に出演の依頼が来ているぞ
鮫島,そうですか……。最近の僕が釣り好きであることを、番組関係者が嗅ぎつけたんでしょうね。おおっ、来たぞ！！。大物を釣ると血が騒ぐ……。でも、もっとデカいことをやってみたいと思っている……
芸能人A,そうだよな……。それが釣りのロマンだよな
鮫島,いや、もっとすごいことをしてみたい。漁師だった僕の父のように……
芸能人B,鮫島さん……。まさか、漁師になりたいとでも思っているんじゃないだろうな
乗組員,俺たちのマグロ漁は非合法なものだぞ……。鮫島さん、あんた一体何を考えているんだ！？
鮫島,僕はどうしても、海に出たいんですよ！大物のマグロを釣り上げる快感は、あなたたちなら分かるでしょう？。これだ……！この感覚こそが、僕が求めていたものだ……！。ふーーーっ、疲れた。これからゆっくり寝るか……、あ！！
喪黒,鮫島まもるさん……。あなた約束を破りましたね
鮫島,も、喪黒さん……！！
喪黒,私はあなたに忠告しました。マグロ漁師の体験をするのは、第十八魔境丸での航海の1度きりにしておけ……と
鮫島,す、すみません！どうしても我慢ができなかったんです！
喪黒,しかも、暴力団が関わった密漁船に乗るとは……。密漁は犯罪ですよ、鮫島さん
鮫島,許してください！！喪黒さん！！
喪黒,いいえ、ダメです。約束を破ったのだから、あなたにはペナルティーを受けて貰います！！。ドーーーーーーーーーーーン！！！
鮫島,ギャアアアアアアアアア！！！
鮫島のモノローグ,密漁船から帰って、しばらく経った後……。週刊誌の記者が僕の一連の行動を嗅ぎつけた。裏金を週刊誌の編集部に払い、その上、僕自身が芸能界を引退することで……。疑惑は表へ出ずに済んだ
テロップ,数年後――
記者,鮫島さん……。演歌歌手として復帰したいという気持ちはありますか？
鮫島,その気持ちは全くないです。僕は歌手としてけじめをつけましたから、思い残したことは何もありません
鮫島のモノローグ,僕は父の後を継いで、地元で海の男として生きることを決めた。これが、今後の僕の余生だ
喪黒,普段はなかなか気づきにくいですが……。人々は常に、何かと海の恵みの恩恵を受けながら暮らしてきました。とはいえ、海も大自然である以上……。時として、危険がつきものなのもまた事実ですから……
