双葉杏,最近、何か急に寒くなってきた気がする……
杏,まったく、季節なんてすぐに過ぎていくんだねえ……。……ちょっと今のはババ臭かったかな。えっと、たしかこの辺にひざ掛けが……
乃々,……
杏,あ、乃々、おつかれー
乃々,……
杏,あれ？どうしたの？
乃々,杏さん……
杏,？
乃々,私は……私は……おかしくなってしまったんです……
杏,うわあ！ち、ちょっと！どうしたのさ！？
海久保乃々,お仕事がしたくて……たまらないんです……！
杏,！？！？！？。えっ？えっ！？
海久保乃々,LIVEがしたいんです……イヤなのに……！
杏,どういう精神状態なのさ……
海久保乃々,写真撮影がしたい……、握手会がしたい……、サーフィンがしたい……
杏,の、乃々がそんなこと言うなんて……
海久保乃々,本当はオフなのに、事務所に来てしまいました……。今日は釣りがしたかったのにぃ……
杏,……
海久保乃々,レッスンがしたいです……、トレーニングがしたいです……、砂浜を走るなどして……
杏,ちょくちょく入ってくる海要素はなんなの！？
海久保乃々,まるで、もりくぼじゃないみたいです……
杏,実際、海久保だもんね
海久保乃々,た、助けてくださいぃ……
杏,そ、そんなこと言われても！
海久保乃々,見捨てるんですか……きちくです……
杏,杏には専門外というか……そもそも専門家なんているのかっていうか……
海久保乃々,ううぅ……
杏,あれ？なんか、アホ毛が出てるけど、いつもあったっけ？
海久保乃々,？そ、それのせいかもしれません……、ちょっと引っ張ってもらってもいいですか……？
杏,ひ、引っ張ってって……
海久保乃々,は、早くしないと、体がレッスン場の方へ……
杏,事務所的には別にいいんじゃ？。……じゃあ、引っ張るよ？
海久保乃々,は、はいぃ……
杏,ふんっ！
海久保乃々,！！！
杏,なんだ今の音
？久保乃々,……
杏,……お、おーい
山久保乃々,はい！レッスンに行ってきます！
杏,うわあ！！！悪化した！！！そしてもういない！！！。……し、知ーらない。というか、なんか今日も面倒なことになる予感が……！。なんか外から話し声が聴こえるし……。裕子とありすの声……、あの2人、また言い争ってるのか……。……んん？なんか違和感があったような……
林檎ありす,じ、実際にサイキックを見てから謝っても遅いですからね！
盛裕子,はいはい、ありすちゃんも、そろそろそういうのから卒業した方が……
杏,あれ！？！？！？
盛裕子,ああ、杏ちゃんですか、おはようございます
林檎ありす,杏さん！裕子さんが酷いんですよ！
杏,待って待って！頭が追い付いてないから！
盛裕子,杏ちゃんはお疲れのようですね
杏,堀の反対って盛でいいの！？
林檎ありす,お、お疲れですか？そんな時のために、疲労回復のサイキックがですね
杏,橘の反対が林檎じゃないってことはわかるからね！？
盛裕子,あれ？サイキックは調子が悪いのではなかったんですか？
林檎ありす,ぐぬぬ……
杏,こんな理詰めする裕子は見たくなかった！
林檎ありす,あんずさーん……
杏,弱っ
盛裕子,あ、ありすちゃん、ご、ごめんなさい、ちょっとからかいたくなってしまって……
林檎ありす,……サイキックはあります
盛裕子,そ、そうですよ！無いなんてだれも証明できませんし、今度、是非ありすちゃんのサイキック、見てみたいな！
杏,盛さんめっちゃ大人だ！！！
林檎ありす,そ、そうですかそうですか、仕方のない人ですね！
杏,ありすの方がよっぽど仕方ないからね！？
林檎ありす,なんかすごいびっくりさせてあげますからね！
杏,ふわっふわしてる
盛裕子,楽しみですね！ささ、一緒にご飯でも行きましょう？
杏,……
林檎ありす,こ、子ども扱いしないでください！
杏,そこはありすっぽいんだ……。め、面倒くさいな……、次は誰が来るんだ……。！
トヨタ未央,やっほー！トヨタ未央ちゃんの参上だよ！代表曲は"ミツビシ◇◇◆"！！！いやあ、この前の日産スタジアムのライブではスバルしいパフォーマンスができたねぇ！あんなに盛り上がれるなんて、ダイハッけんだったよ！
杏,このやろう詰め込んできたなぁ！！！！！
トヨタ未央,あれあれ？杏ちゃんはマツダ派？それともいすゞ派？
杏,派閥とかないから！
トヨタ未央,いやあ、まさか本当にミツビシがパッと弾けるとは！
杏,弾けてないし！謝れよ！
トヨタ未央,おやおや？そんなこと言っていいのかな？こっちにはヒノノニトンがいるんだよ？
杏,ユニットメンバーをトラックみたいに紹介するな！
フォード未央,つれないなぁー
杏,なんでこのタイミングでアメ車に手を出したの！？
フォード未央,ちょっとTPPの交渉に行ってくるね！じゃ！
杏,荷が重い。未央ちゃんは名前が変わっても騒がしかったね……。なんというか、もう少し静かな人はいないのかな……
鷲沢文香,……こんにちは
杏,お！文香！。しかも変わってない！ようやく普通の人が……、あれ？
鷲沢文香,……
杏,……違う！！！鷲沢だ！！！鷺沢じゃない！！！
鷲沢文香,電子書籍こそ至高
杏,そして発言は過激派だ！！！
鷲沢文香,……どうかしましたか、杏さん
杏,え？あ、いや、タブレットでどんな本を読んでるのかなーって……
鷲沢文香,進撃の巨人です
杏,ふ、文香がマンガ！？
鷲沢文香,漫画だからといって、蔑ろにしてはいけませんよ……？
杏,あー、そうじゃなくて、意外っていうか
鷲沢文香,意外……でしょうか……？昨日は"闇金ウシジマくん"を読んでましたが……
杏,意外性を高めていくのやめてくれない？
鷲沢文香,さて……
杏,あれ？どっか行くの？
鷹沢文香,少し、ホークスのファン感謝祭まで……
杏,そうやって変化してくの！？
燕沢文香,次は神宮球場ですね……
杏,もうわけわかんないよ……
鳥沢文香,そして夕食は焼き鳥です
杏,リアクションしにくいオチをつけないでよ！！！。まともに見えた文香が一番やばかった……。うわ！休ませてよもう……！
奏,……
杏,あー、奏か、どうしたの？
奏,……
杏,……
奏,……
杏,いや、そんなとこで立ってないで……
奏,……
杏,おーい？聞こえてる……？
奏,……
杏,……
遅水奏,……あら、お疲れ様、杏ちゃん、いたのね
杏,反応遅っそ！！！。ちょっと、と、とりあえず部屋に入りなって！
遅水奏,……
杏,いらいらするなぁ！！！
遅水奏,大丈夫、聞こえてるわ
杏,今その返事かよ！！！
遅水奏,……
杏,なんなんだ……、そんなんでレッスンできたの？
遅水奏,ありがとう、部屋に、入らせて、もらうわね
杏,なんで目の前にいるのに時差を感じなきゃいけないのさ！！！
遅水奏,"今その返事かよ"と言われても、私は、すぐに、反応しているつもり、なのだけど
杏,そんなこと言われても……
遅水奏,なんてね
杏,張っ倒すよ！？。まあいいや、今日はあまり誰かと喋らない方がいいって杏は思うけどね……
遅水奏,ええ、レッスンに、滞りは、なかったわ
杏,もう自分が何て話しかけたか忘れちゃったよ
速水奏,記憶喪失か
杏,急に！？！？
遅水奏,なぜ、誰かと喋らない方が、いいのかしら？
杏,遡って会話を続けるの！？
遅水奏,今日は、いつもより、元気なのね
杏,誰か助けて……
遅坂美玲,お、奏に杏
杏,詰んだ……
遅坂美玲,やっぱりオリンピックは盛り上がるなッ！
杏,遅さのベクトルが違うし！
遅坂美玲,次は4年後にロンドンか……
杏,北京五輪の話をしてたの！？
遅水奏,あら、美玲、レッスン、行きましょうか
遅坂美玲,あ、もうそんな時間？まだ朝の6時くらいかと思ってたぞ
遅水奏,そうね、オリンピックは、国同士が火花を散らす、熱狂的なイベントよね
遅坂美玲,あ！そういえばノノに借りた本を……あ、もう先月返したんだっけ？
遅水奏,あらあら、次のオリンピックはアテネよ？
杏,収集つかないな！！！会話のドッヂボールかよ！！！。流石に今の2人はマズいでしょ……。……よし、次は誰が来ても、大声は出さないようにしよう。これ以上ノドを使うわけにはいかない……。冷静に……冷静に……
ドロップスまゆ,こんにちはぁ、まゆですよぉ
杏,サクマの対義語がドロップスなわけないだろ！！！！！。ドロップスさんってなんだよ
輿火幸子,こんにちは
杏,うお、さ、幸子……。普段は自信満々だから、これまでの傾向的にはネガティブになってるはずだよね……
輿火幸子,？どうかしたんですか？
杏,いや、なんでもないけど……
輿火幸子,そうですか、ボクは宿題をやるので、無理に話そうとしなくても大丈夫ですからね
杏,……
輿火幸子,……ボクの顔になにか？
杏,い、いや、いつものセリフは言わないのかなーって……
輿火幸子,？
杏,ほ、ほら、"カワイイ"って
輿火幸子,ボクがカワイイのなんて、今さら言う必要があるんですか？
杏,え
輿火幸子,そんなものは周知の事実ですから。では、宿題に移らせていただきますね
杏,よかった……、幸子はむしろ自信が強くなって……
輿火幸子,……
