教師,ではそこまで。用紙を回収する
前川さん,ふぅ……
クラスメイトA,前川さん、今からカラオケいかない？
前川さん,あ、ごめんなさい……今日はちょっと
クラスメイトB,えぇ～行こうよぉ！ほんの二時間だけでいいからさぁ
前川さん,誘ってくれてありがとう。でも、ごめんなさい……ちょっと用事が
クラスメイトA,もぅ！付き合い悪いんだからぁ！
クラスメイトB,えいっ！こうしてやるっ！
前川さん,ひャッ！
クラスメイトA,あぁ～ずるい！前川さんのおっぱいおっきいから、前から揉んでみたかったんだぁ
クラスメイトB,いいでしょいいでしょ！
前川さん,はぁッ……ちょ、ちょっと……。はぁはぁ……。もう一週間近く行ってなかったんだな。えっとIDカードはどこかな
あかり,遅刻遅刻んごぉー――！
前川さん,あ、おはよう、あかりちゃ……
あかり,新人さんか誰かですんご？
前川さん,まってちがう。えっと……
あかり,それって……
みく,にゃんにゃにゃー！お待たせしました。みくにゃん参上だにゃ！
のあ,
アーニャ,ハラショー。ミク、見事な変身です
みく,見てたなら、助け船を出すにゃー！！。で、のあにゃんは何を録画してるにゃ？
のあ,私はおさんぽカメラ。のあではないわ
みく,藍子ちゃんの設定のパクリはよすにゃ
藍子,くしゅん！
未央,おや？あーちゃん、風邪？
茜,それとも花粉症ですか？！
藍子,うぅん、違うよ……誰か噂したみたい
智絵里,違うよー
未央,まだ何も言ってないよ！
茜,フライングタッチですな！
藍子,というより、いつから見てたのですか……
智絵里,それより、そっちは準備はどうかな？
未央,飾り付けは準備おーけーさ！
茜,苦しかったテストの後の楽しい誕生会は、皆楽しみにしてます！！
藍子,じゃあ、そろそろのあさんとアーニャちゃんに連絡を……
のあ,その必要はないわ。みくを通せばいいのね
茜,ややっ！のあさんも脳内に直接会話ですか？！
未央,……もう突っ込まないからね
智絵里,藍子ちゃんに突っ込むのは、藍子ちゃんのプロデューサーさんだけだよねっ！
藍子,セクハラですよっ！！
のあ,とりあえず、今度のライブの予約特典のお宝映像は撮れたし、ここを通ってもいいわ
みく,って、もうライブのあれが出るにゃ！
アーニャ,ダー！楽しみです
あかり,うわぁ……見てみたいんご
のあ,じゃあ、まずはみくに一番乗りの切符をあげるわ
みく,うわぁ……絶対に何か罠がしかけてあるにゃ
アーニャ,всевпорядке。ダイジョウブ、みくから入るなら私達には問題ありません
みく,にゃー――！！
