※艦隊これくしょんは(DMMアカウント的な意味で)18歳未満の人にはプレイできません。それをガヴリールがプレイしているのは,PCになぜか入っていて勝手に起動していたネトゲ
ヴィーネ,ガヴリール？居るの？。ガヴリールってばー。ガ、ガヴリール？扉開けっ放しなんて危ないわよ！。ガヴリール？
？？？,次に――――――時は…平――――――――な…
ヴィーネ,だ、誰！？
？？？,ダ――…――――ヨ…
ヴィーネ,ガヴリール！？。返事をして！
？？？,た、たすけてー
ガヴリール,？なんだ、ゲームですか…………艦隊……これくしょん？
PC,か・ん・こ・れ。いい事！暁の水平線に勝利を刻みなさい！
ガヴリール,！？暁？勝利を刻み？
PC,提督が鎮守府に着任しました！これより艦隊の指揮に入ります
ガヴリール,て、提督？鎮守府？
PC画面,提督の名前を決めてください。
ガヴリール,提督の名前を？……ああ、私の事ですね。ガヴリール、と
PC画面,好きな艦娘を選んでください。
ガヴリール,えっと、誰か一人を選べば良いんですね
カチッ,私がやっつけちゃうんだから！
ガヴリール,……で、ではいなづま？ちゃんにしましょう。えっと、今まで出てきた○○艦というのが船の種類で、その娘？を集めて育てるゲームなんですね。ふむ……ふむ…………
PC画面,工廠で艦娘を建造しよう！
ガヴリール,工廠……ここで建造をすればいいのですね
PC画面,残り時間1:00
ガヴリール,直ぐにできるものではないのですね。……？高速建造？。！？。そ、そんな事でいいんですか……
PC,艦隊のアイドル、那珂ちゃんだよー。よっろしくぅ～！
ガヴリール,軽巡洋艦……駆逐艦とは違う種類の艦娘さんなんですね。駆逐艦の電ちゃんよりもお姉さんって感じです。それから……
PC画面,編成で新しい艦娘を配置しよう！
ガヴリール,で、できました！
PC,お仕事ですね！
ガヴリール,今度は……
PC画面,艦隊を出撃で敵艦隊を邀撃しよう！
ガヴリール,？えっと……よ、ようげきですね邀撃
PC,第一艦隊、第一水雷戦隊。出撃です！
PC画面,出撃開始！
PC,ポーン……ポーン……キィーィンなのです！
PC画面,勝利S
PC,ゲームがつまらなくっても、那珂ちゃんのことは、キライにならないでください！
ガヴリール,よく分からないですが勝てたのですね
PC,皐月だよっ。よろしくな！
ガヴリール,わっ！建造以外でも艦娘さんは仲間になるのですね
PC,カラカラカラカラカラカラ……ポーン
