第10位,時をかけるアイドル
モバP,お、蓮実戻ってたか。レッスンお疲れ様
蓮実,あ！プロデューサーさんもお疲れ様です！
モバP,あー…俺は上でタバコ吸ってきただけだから
蓮実,働いて下さいね、最後くらい笑
モバP,努力してみるわ笑
蓮実,…
モバP,…どうした？
蓮実,思い出してました、私がプロデューサーにスカウトされた時のこと。もう最後なんですね
モバP,3月いっぱいまではいるけどな。お前をスカウトした時、あれは面白かったな
蓮実,あの話はやめて下さい
モバP,いいだろ、最後なんだから。俺にも少し思い出させろ
蓮実,もう…
第9位,島根天国
蓮実,ヘーイヘイヘイヘーイヘイ。ヘーイヘイヘイヘーイヘイ。ヘーイヘイヘイヘーイヘイ。ヘーイヘイヘイヘーイヘイ。ヘイ！。ヘイ！。ヘイ！
モバP,ヘイ！
蓮実,
第8位,年上の不審な男性
モバP,嬢ちゃん、古い歌知ってるね
蓮実,…
モバP,学園天国なんて、おじさんがまだ若い頃だもんな
蓮実,…
モバP,確かに嬢ちゃんみたいに学校からの帰り道に歌うにはぴったりだよなあ
蓮実,…。不審者！
モバP,は？…ああ違う違う！
蓮実,不審者不審者不審者不審者！というか急に私の歌に入って来ないでください！変態ですか！？
モバP,嬢ちゃんこそそんなデカイ声で道端で歌うなよ！気になってしょうがねえよ！
蓮実,鼻歌です！
モバP,だとしたらボリュームえげつねえなあ！
蓮実,いつもこんな所人なんて通らないから！
モバP,ああ…そういうことか…
蓮実,…貴方はここら辺の人じゃないですよね
モバP,…ああ
蓮実,不審者だ
モバP,島根県民短絡的だな。…そこの神社に用があるんだよ
蓮実,…ああ、縁結び。…その歳で独身ですか
モバP,別にそういうことじゃねえよ、独身だけども、ちゃんと理由あるよ、独身だけども
蓮実,はあ
モバP,…あそこで働いてる巫女さんに用があるんだ
蓮実,やっぱり不審者じゃないですか！
モバP,違ーーーーう！…わかったよ、証拠見せればいいんでしょ。…それに、嬢ちゃんもなかなか悪くないしな
蓮実,悪くないって何ですか…変態
モバP,一回落ち着けって、ほら
蓮実,…名刺だ。…プロデューサー？
第7位,少女K
茄子,…こちらの女の子は誰ですか？
モバP,途中で拾ってきた
茄子,！？。鷹富士茄子です、ここでバイトしてます、よろしくね！
モバP,まさか嬢ちゃんもアイドル志望だとはなあ、こんなおっさんにホイホイ付いてくるとは思わなかった
蓮実,あんなおじさんがアイドル事務所の人だとは思いませんでした
モバP,もっと背の高い若いイケメンとかかと思ったか？残念だったな。逆に色恋沙汰がなくて安心だよ
茄子,プロデューサーさんはダンディですよ
モバP,だはは
蓮実,お世辞じゃないですか？
モバP,うるさいやい
茄子,…それで、プロデューサーさん、わざわざこんな遠いところに来て頂いてありがとうございます、本当は私から伺わなければいけないのに
モバP,いいよいいよ、是非うちの事務所にってスカウトしたのはこっちの方なんだから。一回生で話しておきたかったし、縁結びしたかったし
茄子,ありがとうございます！…それで、私は大丈夫ですよ、この春から東京に行けます
モバP,そうか、安心したよ
蓮実,茄子さんも…アイドルになるんですか？
茄子,はい、この春からプロデューサーさんの事務所に
モバP,で、今までネットでしか連絡とってなかったから、その前に生で対面しとこうって思って来たんだよ
蓮実,そうだったんですか…
モバP,嬢ちゃんも運がいいよな、それで俺に偶然会えたんだから
