モバP,おはようございます！
ちひろ,おはようございます。今日はなんだかテンション高いですね
P,そりゃあそうですよ。なんたって今日は美世の誕生日ですからね。気合入れまくりです
ちひろ,いや～愛されちゃってますね～美世ちゃん。誕生日プレゼントはどんなもの用意したんですか？
P,ふっふっふ後のお楽しみですよ
美世,おはようございます
ちひろ,噂をすれば美世ちゃん来ましたね
P,美世おおおおおおおおおおおおお誕生日おめでとおおおおおおおおおおお！
ちひろ,うわっすごい勢い……
美世,あっPさんおはよP今日もかわいいよおおおおおおおおおお美世おおおおおおおおおおおおおおお。あはは…今日も朝からエンジン全開だねPさん♪
P,ちっちっち今日の俺はいつもとは一味違う特別仕様だぜ
美世,近いってPさん///
P,なんたって今日は美世の誕生日だからだ！おめでとう！
美世,あっありがとう///。いきなり肩掴んでくるなんてもうPさんったら///
ちひろ,おはよう美世ちゃんそして誕生日おめでとう
美世,ありがとうございますちひろさん！
ちひろ,プロデューサーさん何かプレゼント用意してるみたいよ
美世,ホント！？嬉しいな～どんなのだろう？
P,きっと美世も喜んでくれるはずだちょっと待っててくれ
美世,どんなものかな～順当にいけば車とかバイク関係の物かな？。もしかしたらアクセサリーとかかも……。あ、あたしだって女の子なんだからその……す、好きな人からそういうの貰って嬉しくないわけないし
P好きだよ美y美世,うわああああああああああああああ///
美世,何考えてるのあたしはっ！頭がオーバーヒートしちゃいそうだよぉ///
P,どうしたんだ美世？そんなに顔真っ赤にして
美世,いやっなんでもないから気にしないで///。そんなことよりプレゼント！
P,おうそうだったな
美世,このダンボールの中なの？開けていい？
P,いいぞ開けてみてくれ
美世,ん？なにこれ
ちひろ,車のカタログがいっぱい……。うわぁまさかこう来るとは
美世,……
ちひろ,いくら車好きな美世ちゃんでもこれはさすがにショックよね。そんなにお金無いのかしら？
P,好きな車を一台買ってやる
美世,え？
ちひろ,はい？
P,もちろんその中に無いなら別のでもいいぞ
美世,い、いやこれなんか二千万もするんだけど
P,それがいいのか？なら早速…
ちひろ,アホですかあなたは！？
P,痛っ！人ががんばってもらってきたカタログを殴るのに使わないでくださいよ！
ちひろ,まだ２０歳の女の子の誕生日に一千万以上もする車買い与えるってバブル時代の社長ですかあなたは！。頭おかしいって思うこともありましたがここまでとは思ってませんでしたよ！。だいたい安月給のくせして何見栄張っちゃってるんですか！何年ローン組む気ですか！
P,その安月給からさらに搾取するくせに
ちひろ,あーあー聞こえない聞こえないそもそも美世ちゃん引いちゃってるじゃないですか！
P,！
美世,……
P,あのー、美世？
美世,……
P,嬉しく…なかったか？
美世,……とりあえずこのプレゼントになった理由
P,お、おうえーっとだな美世になにをプレゼントしようか迷ってだな。車関係の物なら喜んでくれるかな～でも俺車詳しくないしな～なにあげようかな～となって。いっそのこと車買ってあげようそうしようとなったんだが……
美世,……
ちひろ,……
P,……。…だってしょうがないじゃん！美世の誕生日だよ！。喜んでもらいたいじゃん！笑ってもらいたいじゃん！。だから絶対喜んでもらえるものをと思って選んだのに…
ちひろ,子供みたいな口調ですね涙目になってますし
美世,Pさん
P,美世…
美世,あたしがPさんからもらったもの喜ばないわけないじゃん。値段なんて関係ないPさんがあたしのこと思って選んでくれた物ならどんなものでも宝物だよ？。あたしが一番辛いのはPさんが無理しちゃうことなんだからね。わかった？Pさん
P,うぅ…美世おおおおおおおおおおおおおおお
美世,きゃっい、いきなり抱きつかれるとあたしも照れちゃうっていうかその…///
P,ありがとうな美世…
美世,うん♪
ちひろ,それで結局プレゼントどうするんですか？
P,あっ
美世,じゃあ仕事終わったら一緒に買い物行こうよ。あたし、Pさんとお揃いのキーホルダーほしいな！
P,それでいいのか？
美世,うん！さっきも言ったでしょ値段じゃないんだって。もちろん今日はPさんの運転でばっちりエスコトートしてよね
P,わかった任せろ！。うおおおおおおお夜は美世と買い物だああああああああああひゃっほおおおおおおおおおお
ちひろ,行っちゃいましたねこれでよかったの？
美世,はい！車はまだ早いですよね
ちひろ,まだ……？
美世,いつか一緒に乗る車を二人で選ぼうねPさん♪
