エイプリルフール,AprilFools'Day
卯月,今日は素敵な日ぴょん。花が咲いてる小鳥もさえずってる。こんな日にはみんな・・。うーちゃんの嘘に騙されればいいぴょん。という訳で早速司令官に嘘つきに行くぴょん！ぷっぷくぷぅ～！
望月,元気だねー・・・
提督,今年こそ・・・花粉症なんかに負けたりなんかしない！
卯月,しれいか～ん！元気ぴょん？
提督,やぁ卯月。君は相変わらず元気だね
卯月,しれいかぁ～ん、今日は一段とホントに素敵だぴょん。世界で一番だぴょん！
提督,うん、ありがとね(棒)
卯月,・・・・なぁんて
提督卯月,うっそぴょ～ん！
古鷹,卯月さん、元気ですね
提督,何てたって今日は"エイプリルフール"だからね
卯月,嘘をついていい日、すなわち今日はうーちゃんの日ぴょん！
提督,君とのやり取りはもう慣れっこだけどね
大淀,提督、失礼いたします
提督,何か用かな？
大淀,先ほど、本営からお届け物が来ましたのでお持ちいたしました
伊58,大きさを見る限り、絵画だと思うでち！
提督,ご苦労様、ありがとね。・・・けどどうして？
大淀,本営から"あなたは素敵で賞"に指名されたそうです。それでこの絵画が贈呈されました
提督,何その今名づけた賞みたいなの・・
大淀,報告は以上です。それでは失礼します
提督,さて・・絵画でも見てみようかな
古鷹,風景画でしょうか？
卯月,本営からとなると期待できそうだぴょん！
提督,どれどれ・・・
卯月,・・・なんだか不気味な絵だぴょん
古鷹,二人の人間が掌を合わせて何かを呟いているんでしょうか・・目も怖いですし・・
提督,僕はこういうの好きだけどなぁ
卯月,司令官・・・センスないぴょん
古鷹,流石にこれを好きというのは・・
提督,好みは人それぞれって言うでしょ、これは執務室に飾っておこうか
卯月,あー！古鷹のスカートがめくれてパンツが丸見えだぴょん！
古鷹,え！？や、やだ！
卯月,なぁんてうっそぴょ～ん！
古鷹,も、もう！卯月さん！
提督,い、いや！今古鷹のスカートが海峡賞に引っかかってめくれてるんだけど！
古鷹,えぇ！？や、やだっ！
提督,いや！これはこれで・・・良い！
古鷹,も、もう！最低！
提督,・・・・無暗に嘘をつくとこうなることを覚えておいてね、卯月
卯月,ぷっぷくぷぅ～
古鷹,もう・・・
鹿島,失礼します。提督さん、演習の件についてですが・・
提督,どうかしたの？
鹿島,はい、今回の演習内容で変更点が・・
卯月,あ！鹿島せんせーの下にゴキブリが―――！
鹿島,！！
古鷹,は、速い！？
鹿島,嫌あああああああああ！ててて提督さん！助けてくださいー！
提督,鹿島！落ち着いて！ゴキブリなんていないし今日はエイプリルフールだから！
鹿島,え・・エイプリルフール・・ということは！
卯月,きゃはは～！嘘だぴょん！鹿島せんせー怖がり過ぎだぴょん！
鹿島,も、もう～！卯月さん！嘘をついたら舌を引っこ抜かれますよ！
古鷹,か・・鹿島さん！う、腕に！
鹿島,・・・・え？
トビズムカデ,やっはー！トビズムカデ様のお通りだよー！
鹿島,
古鷹,鹿島さん！しっかりしてください！
卯月,大きいムカデだぴょん！
提督,結構久しぶりに見るね
古鷹,て、提督！そのムカデを早く追い出さないと・・！
提督,分かってるよ、でもどうしようか・・
卯月,うーちゃんに任せるっぴょん！こうやって紙の上に乗せて・・・元の所にカエレ！
トビズムカデ,ぐっばいならー！
卯月,後は窓を閉めて・・・終わりだぴょん！
提督,ご苦労様。それにしても卯月の嘘が本当のことになるだなんて・・
卯月,うーちゃんの日だからだぴょん！
古鷹,あのー・・鹿島さん、どうします？
提督,気絶してるし、香取を呼んで連れて行ってもらおうか。報告はまた後でお願いって言ってもらえるかな？
古鷹,分かりました
香取,鹿島がご迷惑をおかけして申し訳ありません・・
提督,いや、急なことだから仕方ないよ
香取,それでは失礼します
古鷹,提督、そろそろ視察の時間です
提督,あっそっか、じゃあ行こうか
卯月,うーちゃんもお供するぴょん！
提督,あまり大きな嘘はつかないでね・・。うーん、いい天気だね
古鷹,春ですね、暖かくて気持ちいいです
卯月,桜も綺麗だぴょん！
古鷹,・・・？提督、あれって・・
提督,あの二人は・・
江風,あー・・腹減ったー・・
夕立,ぽいー・・
古鷹,二人とも元気ないですね
提督,どうかしたのかい？
江風,実はさ、朝食で間宮さんの特性パンケーキ食えると聞いて我慢してたんだけどさ
夕立,間宮さん風邪ひいちゃって間宮亭が閉店になったっぽいー・・
提督,それでお腹が空いて元気がないと・・
卯月,もうすぐお昼だから我慢するぴょん
江風,我慢なンてできねーよ！・・・というわけで提督ー。お菓子ちょーだい
夕立,ぽいー
提督,うーん・・
卯月,司令官、ここはうーちゃんに任せるぴょん
提督,卯月？
卯月,二人とも・・・実は今、美味しいおやつが配給されてるらしいぴょん！
江風,ホントか！どこだ！どこでだ？！
夕立,ぽい！？
