P,そんなわけで合コンという訳ですよ。
モバP,待ちに待った合コンの日という訳ですよ！！
友人A,いつになくテンション高いなお前
友人B,まあでも気持ちはわかるよ友人Cが随分期待を持たせてくれたからなあ
友人C,お待たせ。準備できたらから行こうぜ。今日の相手はなんとJDだぜ！。紹介するよ。女の子側の幹事のカワチさん
カワチ,こんばんわ、川内尋といいます。
友人C,俺と川内さんはこの後ちょっと用事があるから3対３になるけどよろしく頼むよ
川内,大丈夫です。とびきりの美女を用意しましたから。でも彼女たちまだ１９なのでお酒はなしですよ
美波,今日はお願いしますね
文香,よろしくお願いします・・・
愛梨,楽しみましょうね〜。Pさん
友人A,Aっていいます。仕事は商社の営業マンやってます
友人B,Bです。IT関係の仕事でディレクターです！今日は出会えた奇跡にマジ感謝
モバP,Pです。あの・・・よろしくｵﾈｼｬｽ・・・フヒ
友人A,三人は全員１９歳なんだよね？同じ大学？
愛梨,あっ私だけ１８でした。ごめんなさい
美波,もう愛梨ちゃん謝る必要ないよ
文香,大学が全員別ですが三人とも知り合いなんです・・・
美波,みなさんも全員ご友人なんですよね。普段からこうした事されてるんですか？随分肉食系なんですね
文香,合コンには一応恋人を見つけると言う建前はありますが、所詮恋愛はただ性欲の詩的表現をうけたものでから
愛梨,え〜そうなんですか？ダメですよそんなの！許せませんよ！Pさん！
モバP,いえ・・・あの・・・そう言う訳では
友人A,愛梨ちゃん、もしかしてPに興味津々？
友人B,ちょっと待ってよ！俺たちがいることも忘れないで！
愛梨,でも今日はPさんと楽しくお食事できるからって聞いてきたんですよ？
友人B,えっ？何二人は知り合い？
愛梨,はいーPさんとは美波愛梨ちゃん
美波,ごめんなさい。私たちお化粧直してきますね。
友人A,いいよいいよ
友人B,いってらー。それで？
友人A,説明どうぞ？
モバP,彼女とは職務上の知り合いですハイ
友人A,通らないだろそれは
友人B,愛梨ちゃんどう見てもお前に対して・・・。あームカついてきた
友人A,出会いがないとか抜かしてたくせに、あんなに可愛い娘とうまいことやってたわけだ
モバP,愛梨は遠い親戚で今人手不足の事務所を手伝ってもらってる。妹みたいなもので、向こうも俺に対して懐いているが、そう言う関係ではないです。
いつも俺をフォローしてくれる時の,任せてください
愛梨,う〜ごめんなさいPさん。私つい浮かれちゃって
モバP,全く愛梨は相変わらずドジだな。おばさんには連絡しておくから、これが終わったら送っていくぞ
文香,そうですか。なら私も送っていただきたいです。今日は叔父がいないので時間はいつでも大丈夫です
美波,そうですね。じゃあ私も文香さんとご一緒してもいいですか？部屋は余ってますよね
モバP,せっ席替えしない？せっかくなんだからさ
文香,では失礼します
美波,じゃあ私も
愛梨,二人ともずるいです。私もPさんの隣がいいのに〜。あっそうだ！いいこと思いつきました。私はここに座りま〜す。えへへー。少し狭いですけど密着感があっていいですね。はいPさん。あーん
モバP,全く愛梨は相変わらず困ったやつだな、はいあーん
友人B,おいおい楽しそうだなー。じゃあ文香ちゃんもあーんしてくれない？
文香,・・・そうですね。ではこれをどうぞ。中々美味でした
モバP,えっと・・・あの・・
文香,愛梨さんのは食べれて私のは食べれないのでしょうか・・・？。あーんです
美波,それ美味しそうですね。私も食べたいな。あーでも私からは届かない。誰か食べさせてくれないかなあ
モバP,それではどうぞ・・・
美波,えっと。私はどうすればいいんですか？教えてくれないとわかりませんよ？
モバP,・・・アーンしてください
美波,ん？なんですか？
モバP,アーン
美波,はい！アーン。・・・うん美味しい。なーんてごめんなさい兄さん。ちょっとからかい過ぎちゃいましたね
文香,申し訳ありません。私たちとの約束を破ってこういう場にいる兄に、少し仕置をしようということになりまして。兄様反省していただけましたか？
愛梨,まったくPさ・・・お兄ちゃんはメッですよ！
友人A,んー？どういうこと？
美波,愛梨ちゃんが親戚だって話は聞きましたよね。実は私と文香さんもそうなんですよ。子供の頃からの癖でつい兄さんって呼んでしまうんです
