モバＰ,以降Ｐ表記ダ！スシ食べるカ？
凛,あれ、プロデューサーまだ残ってたんだ
Ｐ,凛こそ、もうこんな時間なんだから早く帰らないと駄目だぞ？
凛,収録がちょっと長引いちゃってさ。…あのさ、今、暇？
Ｐ,見ての通りなんだが
凛,何してるの
Ｐ,何してるように見える？
凛,卵をひたすら縦に重ねてるように見えるけど
Ｐ,正解。よし、次７個目行くか
凛,うん、壮絶に暇そうだね。ちょっといい？
Ｐ,ご飯？こんな時間に？
凛,うん。夕飯ちゃんと取れなくてさ。何か無い？
Ｐ,お前ね、俺がいつでもどこでも食べ物常備してるとか思ってない？
凛,え、無いの？
Ｐ,オレオとハッピーターンとハイチュウしかねぇよ
凛,常備してるじゃん
Ｐ,…待ってなさい。さすがに年ごろの娘がオヤツを夕飯代わりにするのは捨て置けん。確か給湯室の炊飯器に……お、あったあった。結構あるわ
凛,わぁ…
Ｐ,随分可愛いお腹の虫やね
凛,う、うるさいな。お腹空いてるんだってば
Ｐ,んでもって、何かオカズになりそうなものは、っと…。…
凛,うわ、卵で埋め尽くされてる
Ｐ,そうだった、さっきドン引きするぐらい卵貰ってきたんだったわ
凛,ああ、だから変な遊びしてたんだ？
Ｐ,時々こうして仕事先から色んなもの貰えるのは有難いんだけどさ、みんな何故か量を手加減してくれないのな
凛,どうする？オムレツ？オムライス？
Ｐ,何で当たり前のように俺がお前のご飯を作る流れになってるん？
凛,え、違うの？
Ｐ,…フライパン出すの面倒だから卵かけご飯な
凛,ふーん…まあ、悪くないかな
Ｐ,調味料はしこたまあるんだけどなぁ…あ、茶碗と箸持ってってくれ
凛,うん
Ｐ,醤油と、ポン酢と…お、こんなのもあったっけ。よし、これも持っていくとして…
まゆ,お茶淹れますねぇ
Ｐ,あ、うん
凛,私コーヒーがいいなぁ
まゆ,はぁい
Ｐ,テーブル拭いといてくれー
凛,もう拭いたよ
Ｐ,よし、んじゃそっち持っていくぞー
まゆ,お茶も行きますよぉ。…。あの、そろそろ突っ込んで貰えませんか？
凛,わあ、いつのまに
まゆ,棒読み！
Ｐ,おーい蒼いのと紅いの。とりあえずコレ置かせてくれぇ。てか、まゆもこんな遅くまで残ってたのか。駄目だぞ年ごろの娘さんが
まゆ,ごめんなさい、収録がちょっと遅れてしまって晩御飯食べてなくて…。Ｐさんなら何か持っているかと思ったので
Ｐ,オヤツしか無いよ。てか凛と同じかよ
凛,さっきまで一緒の仕事だったし
Ｐ,じゃあさっきの茶番は何だよ
凛,ノリ？
まゆ,ノリですねぇ
Ｐ,お前さん達って仲良いの？悪いの？
凛,あ、私コーヒーって言ったのに
まゆ,卵かけご飯にコーピは合いませんよ？お茶で我慢してください
凛,むぅ…
Ｐ,あ、やっぱ仲悪いのか
凛,…ぬる目？
まゆ,Ｐさんでも飲めるぐらいには
凛,ありがと
まゆ,いえいえ
Ｐ,仲良しなの？
凛,ふふ、ようやくちゃんとしたご飯が食べられるよ。…ああ、いいなぁ、この艶々の白いご飯
まゆ,そこにシンプルに生卵が１つ。この無骨とも言える取り合わせが何とも言えませんよねぇ
Ｐ,丁度俺も夜食食べたかったところだしタイミング良かったな。それじゃ、早速頂こうか
凛,うん
まゆ,それじゃあ
Ｐ凛まゆ,いただきまーす
凛,あれ、まゆって混ぜないでかける派なんだ？
まゆ,凛ちゃんは混ぜるてからかけるんですねぇ
凛,普通そうでしょ。じゃないと白身がダマになったままだったりして気持ち悪いよ
まゆ,それは混ぜ方が雑なだけですよ。ご飯の上に卵を落としてからでも、こうやってちゃあんとお箸で白身を切って…
凛,面倒くさくない？それに味が均一にならないよ？
まゆ,それがいいんですよ。ずっと同じ味より混ざってる部分混ざってない部分の変化があるほうがより深く卵の味を感じられるんですよ？
凛,要するに一口一口に当たり外れがあるって事だよね、それ。ねぇ、プロデューサーは？当然先混ぜ派だよね？
まゆ,後混ぜ派ですよねぇ？
Ｐ,その日の気分派
凛,あ、見なよほら。プロデューサーも先に混ぜてる
まゆ,…よく見てください凛ちゃん
Ｐ,よし、出来た
凛,…あ、白身と黄身に分けて混ぜてる
Ｐ,こうすると白身はフワフワになって口当たりよくなるし黄身の味も濃く味わえるんよ
凛,まさかの分け混ぜ派なんてね…
まゆ,先混ぜ、後混ぜに続くまさかの第３勢力の到来ですね
Ｐ,そのワード流行らせようとしてる？。さてと、じゃあ味付けするか
凛,プロデューサー知ってる？ポン酢も結構美味しいんだよ？
まゆ,めんつゆの方が美味しいですよぉ？
Ｐ,すき焼きのタレ派なんで
凛,…卵かけご飯、奥が深いね
まゆ,凛ちゃん凛ちゃん、そっち一口頂けませんか？
凛,あ、じゃあそっちも頂戴？めんつゆ味興味あってさ
