モバP(以下P),お疲れ様……志乃。今日もよかったぞ
志乃,ありがとう、プロデューサーさん、最近はお仕事も増えてきたし……アイドルが楽しくなってきたわ
P,そうかい、それはプロデューサー冥利に尽きるな
志乃,ねぇ、お仕事も終わったのだし今は……いいでしょう？
P,あー……いや、ちょっと待て志乃
志乃,あら、恥ずかしいの？別にいいじゃない？。ねぇ……お兄ちゃん？
凛,えっ？。ちょっと待って
P,あ、いたのか……凛
凛,いたのかというか……え？お兄ちゃん？え？
志乃,あら、バレてしまったのね……どうする？お兄ちゃん？
P,いや、わかってたろお前……急にどうしたんだ
志乃,なんでかしら……なんとなく？
P,あのなぁ……なんとなくならなんで今まで隠してきたと
礼子,そうね……みんなに言うべきか悩んでたのに……
凛,礼子さん知ってたの？
礼子,志乃とは付き合い長いもの、お酒の席じゃ隠しきれないものよ？
志乃,掴まれた弱みよね……お陰で礼子の方が飲む機会多いのよ？
P,二人とも最終的に潰れるまで呑んで俺を呼ぶだろうに
礼子,あら、美女二人を両手に花よ？嬉しいんじゃないかしら？
P,まぁ否定はしませんが
凛,しないんだ(ジトー
P,待て凛、そこを本気に受け取るな
志乃,まぁ凛ちゃんにバレたなら……もう構わないと思うわ
P,まぁ仕方ない、か。……凛？
凛,いや、まだ信じられなくて……
P,というか………凛、俺の苗字知ってるよな？
凛,そこはほら、芸名とかそういうのってあるし……ヘレンさんとか
P,あの人は別次元の存在だから……ヘレンって概念だから
礼子,他の子も偶然だろうって高を括っていたみたいよ？
志乃,結婚してるんですか？なんて……聞かれたこともあったわね、ふふ
P,ふふじゃない！志乃……なんて答えたんだ？
志乃,そうね……それは今度飲みに連れて行ってくれたらその時に、ね？お兄ちゃん
礼子,あら、その時はもちろん私も連れて行ってくれるのよね？
まゆ,兄妹だったんですねぇ……
志乃,えぇ、誤解させてしまったかしら……？
夏樹,まぁ志乃さんとプロデューサー、よく二人でディナーとか行ってるとか聞いてたんで
志乃,大きなお仕事が終わると……ついお兄ちゃんにおねだりしちゃうのよね
まゆ,おねだり、ですかぁ……それならまゆも今度…
志乃,あら……いいんじゃないかしら？お兄ちゃん、女の子には甘いから
まゆ,そうなんですかぁ？
志乃,私にはそういう祝い事でもないと甘くしてくれないもの……
夏樹,後……あの、お兄ちゃんって呼ぶんですね？
志乃,ふふ、変だと……思ったでしょう？
夏樹,い、いや……まぁ少しは
志乃,幼い頃から呼んでいるとね、替え時を見失ってしまって……ほら、私お兄ちゃんっ子だから
まゆ,確かに両親の呼び方って変わらないですからねぇ、多分大人になっても
志乃,そう、お兄ちゃんが先に上京しようしたのだけど……山梨でしょう？
夏樹,あぁまぁそこそこ近いですよね……ってまさか
志乃,私がお願いしたら実家から通えるからって……ね？
夏樹,Pさんも……相当シスコンなんだな……
まゆ,ふふ、それなら志乃さんとも今まで以上に仲良くしなきゃ、ですよねぇ……
志乃,あら、まゆちゃんったら……私と仲良くなるならお酒の付き合いから始めなきゃ……なんて
夏樹,未成年ですよ。志乃さん的にはこのまま広めていいんですか？
志乃,えぇ……せっかくだし事務所に広めるくらいなら構わないかしらね……
まゆ,志乃さぁん、せっかくですし、お兄さんとしてのPさんのお話、聞いてみたいです！
志乃,そうねぇ……それは確かに話すのは面白いかも……でもまゆちゃん？
まゆ,えっと……なんでしょう？
志乃,お兄ちゃん…………年上好きよ？
まゆ,へっ？
夏樹,あー……そら志乃さんが妹でずっと一緒ならそうなるか
志乃,えっと……入部した部活の部長さんに……大学サークルのサークルリーダーさん……あと……
夏樹,総合すると組織の纏め役で頼れる人……か？
志乃,そうなるかしら……私が甘え過ぎているからかもね？
まゆ,そう……ですかぁ……あ、でもまゆユニットのリーダーとか……
夏樹,あ、ぴったりの人いるな。美城専務
志乃,あらお兄ちゃんったらちょうど会議に行ったような……
まゆ,そんなっ！？Pさん！？Pさぁん！？
志乃,……夏樹ちゃん、からかっちゃダメよ？
夏樹,すみません……まゆがわかりやすくテンパってたもんだから……
志乃,そうね……まゆちゃんにしては珍しいものが見られたわね
飛鳥,兄妹とはね……いや、少し考えてみればわかることだった
清美,Pさんの苗字、志乃さんと同じですからね。えぇ、私は気づいてましたとも！
飛鳥,清美、こういう時の虚偽は自分を陰らせるだけさ。素直に志乃さんに話を聞こう
志乃,あら、飛鳥ちゃんも何か……私に聞きたいことがあるの？
飛鳥,そう言うということは、質問攻めには慣れてしまっているんですか？
志乃,いいえ……私の周りの人達は……ほら、ね？
清美,あぁ、つまりお酒の席で存分に聞くつもりだと……
志乃,そういうこと。わざわざ結構広い居酒屋の予約まで見せられてしまって……
飛鳥,なるほど、ともすれば……ボクたちが先んじて問いかけてもいいってことだね？
志乃,お手柔らかに……ね？
清美,えっと……アイドルになったのはお兄さんに誘われたんですか？
志乃,うーん……前のお仕事を分け合って辞めてしまって実家に居ついていて……
飛鳥,その時にPに？
志乃,せっかくだし……お兄ちゃんの事務所の事務員になろうと考えたのよね
清美,志乃さんが事務員……
飛鳥,パソコンよりもお酒に向き合っている時間の方が長そうだね
志乃,そうね……お兄ちゃんにも同じことを言われてしまったわ。その時に身内だってバレたんだしってそのままなし崩し、だったわね
清美,あれ？ということは志乃さんってこの事務所だと……
飛鳥,かなりの古株、ということになるのかな。そうでなければ………
志乃,あの頃は……アイドルもそんなにはいなかったもの。急にどっさり増えて驚いたくらい……
飛鳥,なるほど、色々参考になりました。ありがとう志乃さん
志乃,どういたしまして……この後、みんなに話すのかしら？
清美,その通りです！デレぽ……はさすがにやりませんけど
飛鳥,ロケに行っているアイドル達から催促がね……ほら
志乃,ほんと……マキノちゃんからすごいメッセージ数ね？ちょっといいかしら？
飛鳥,構わないけれど……どうするんだい？
志乃,直接どうぞ……って連絡しておいたわ。飛鳥ちゃん達も……大変でしょう？
飛鳥,……まぁ秘匿を解明する楽しさがあったのは否定しないかな
清美,確かに！Pさんと志乃さんがえっと……風紀違反をしていたら超☆風紀委員としては問題でしたので！
志乃,あら……風紀違反って……どんなことなのかしら？
清美,へっ！？えっと……それは……
飛鳥,志乃さん、清美が可哀想だよ。そこは聞かないでおいてくれないかい？
志乃,そうね……でもお兄ちゃんとはいつも夜も一緒だもの……
清美,よ、夜も？
志乃,えぇ、お酒もだけど、お兄ちゃんにご褒美を貰うのがいつも……楽しみなのよね
P,で……濁したまま帰ってきたわけだ
志乃,あら……だって全て話してしまうのは……恥ずかしいもの
P,代わりに俺に切羽詰まった顔のまゆと清美が走ってきたんだけどな？
志乃,それだけ……想われているってことじゃない？羨ましいわ？
P,そうだな、志乃……グラス空になってるぞ
志乃,本当ね……お兄ちゃんとのディナーはいつも気が急いてしまって……
P,ディナーって言ってもなぁ……ただの宅飲みだろ？
志乃,私のために用意してくれた料理に選んでくれたボトル……何より今日は……お兄ちゃんと二人きりだから
P,ま、そういえば久しぶりだものな、ドラマにライブ……旅行番組
志乃,全部楽しかったけれどね……こういう安らぎも恋しくなるわ
P,なら、ゆっくり食べて……呑んでくれ。今日は志乃の好物を揃えた
志乃,この白に……合うわね、このお魚
P,そりゃ合うように作ってるからな、今日は……白の気分だろ？
志乃,ふふ、なんでも……お兄ちゃんにはお見通しね？
P,酒の好みくらい……わかるさ
志乃,なら……そろそろ私がしてほしいことくらい……わかるでしょう？。ご褒美……ちょうだい？お兄ちゃん？
P,……いい加減やめないか？
