・みこりんがTwitterにて,藍子
御子柴,よっしゃ！ついにお散歩カメラのMASをフルコンしたぜ！。これで藍子Pとしてまた一歩前進したな…！
野崎,ん？あぁ、デレステか
御子柴,おう、野崎もやるか？
野崎,いや、今はいい、ちょっと考え事をしててな…
御子柴,？
野崎,実は…
御子柴,アイドルのステージ？
野崎,ああ、芸能プロダクションとうちの月刊誌とのコラボだとかで、ステージのプロデュースの依頼が来てるんだ。といっても、こちらからはデザインを提案するだけで、あとは向こうがいいようにしてくれるみたいだけどな
御子柴,へー、漫画家ってそんなこともするんだな
野崎,……なんだけど、なかなかうまくいかなくて…
御子柴,まぁ、野崎はキャラ以外の画力がアレだからな…
野崎,というわけで、御子柴、やってくれないか？
御子柴,え…はぁ！？俺ぇ！？
野崎,小物と花と効果はお手の物だろう
御子柴,いやいや、俺より、背景担当の人とかのほうがいいんじゃねぇか？
野崎,それが、ほりせ…背景の人は、今の時期は忙しそうなんだ。それに、御子柴はデレステをやってるだろう、アイドルのステージとかには詳しいんじゃないか？
御子柴,えぇ？つっても、三次元のアイドルは専門外だしなぁ…。って、野崎は言ってたけど…。俺はただのアシスタントだぞ？さすがにちょっとなぁ…。……まっ、まぁでも、どうしてもって言うなら、仕方ないなぁ…///。とはいっても、アイドルなぁ…。そうだ、藍子をイメージしたステージにしようかな…それなら考えられそうだ。藍子のイメージ…そうだな、あったかくて、優しくて…。お花をたくさん使って…かわいい小物をさりげなくのぞかせたりして…。ふふっ、こんなことしてると、なんだかホントのプロデューサーみてーだな…！。ふぅ、けっこういい感じになったんじゃないか…？。ふわぁ…って、もうこんな時間か、寝よう…。Zzz…。わっ。なんだ…？急にどこかから落ちてきたみたいな感覚が…？。…って、ここどこだ？…廊下…？
？？,きゃっ
御子柴,あっ、す、すみません！
？？,いえ、こちらこそ、ちゃんと前を見ていなくて…
御子柴,いや、こっちこそこんなとこで座り込んでたか…ら…。……え！？
？？,はい？
御子柴,藍子…！？
藍子,え…？
御子柴,どういうことだ！？藍子が俺の目の前に…！？。ついに藍子が三次元に来てくれたのか！？それとも俺が二次元の世界に！？
藍子,あっ、もしかして、ファンの方ですか？
御子柴,！は、はいっ！。ファンっていうか、プロデューサーっていうか…！。あの、えっと、いつも、応援してます…！
藍子,ふふっ、ありがとうございますっ
御子柴,………。……うおおおおおおお！！めっちゃかわいいぃぃぃ///
ちひろ,あっ、プロデューサーさん！
御子柴,！？
ちひろ,藍子ちゃんと一緒だったんですね、ちょうどよかったです♪
御子柴,！！？？
ちひろ,ささ、こちらにどうぞ！
御子柴,？？。どういうことだ…鬼…悪魔…じゃなくて、ちひろさんまで！？。…ん？あ、そういうことか…なるほど…。これ、夢だな！？夢じゃなきゃおかしいよな！？そりゃそうだよな！？。藍子を想うあまり、こんな夢を見てしまうとは……グッジョブ、俺！
ちひろ,ふふ、そうですかねぇ♪
御子柴,！？こいつ…直接脳内に…！
ちひろ,今年はツイッターで藍子ちゃんのことも宣伝してもらえましたし、お誕生日とのことなので、特別にご褒美です♪
御子柴,……？宣伝？確かに藍子のことは呟いてたけど…？
ちひろ,まぁまぁ、細かいことは置いといて。夢かどうかは、あなた次第、ですよ♪
御子柴,……？
ちひろ,藍子ちゃん、こちらが今回のこのステージのプロデュースを手掛けた、少女漫画家の夢野先生です。夢野先生がデザインしたこのステージで、藍子ちゃんがライブするんですよ
御子柴,あ、これ、寝る前に俺が描いてたステージのデザインじゃねーか…。なるほど、プロデューサーって、そういう感じの意味か…
ちひろ,そうなんです、さすがに高校生がアイドルのプロデュース業ってのも設定しづらくて
御子柴,ナチュラルにテレパシーで会話するのやめてもらえません？
ちひろ,とにかく、ちょっと強引ですけど、御子柴さんは今、藍子ちゃんのプロデューサーですよ♪
御子柴,俺が…藍子のプロデューサー…！？。なんだよそれ…めちゃくちゃいい響きじゃねーか！
藍子,プロデューサーさん！今回は素敵なステージの企画、ありがとうございますっ
御子柴,お、おう…。くそっ…せっかく目の前に藍子が居るのに、かわいすぎて直視できねぇ…///
藍子,夢野先生…現役高校生だとは聞いてましたけど、男性の方だったんですね！恋しよっのイメージと違って、ちょっとびっくりです
御子柴,えっ、恋しよっを知ってんのか！？
藍子,はい！友達におすすめされて、貸してもらったのがきっかけで…
御子柴,マジかよ！こっちの世界にも恋しよっがあるのか！すげぇな野崎！
藍子,キュンとしちゃうようなあまずっぱいストーリーも素敵だし、それに…。背景のお花とか小物もみんなかわいくて、私、大好きですっ！
御子柴,～～～っ！！。生きてて良かった……！
藍子,それで、夢野先生は…
御子柴,あ、えーと…俺、本名は御子柴って言うんだ、そっちで呼んでもらえると助かる。そもそも俺は夢野咲子じゃねぇしな…
藍子,そうなんですね、よろしくお願いします、御子柴さん♪
御子柴,お、おう。うおおおおお///藍子に名前呼んでもらえたあああああ///
ちひろ,リハーサルまでまだ時間がありますし、しばらくお二人でお話されてはどうですか？
御子柴,あ、でも、本番前ならいろいろ大変だろうし…
藍子,大丈夫ですよっ、せっかくだから、色々お話聞きたいですし♪
御子柴,やっぱりいい子だな…///それにかわいい///。……。俺、慣れてない女子と会話するのは苦手なんだけど…
藍子,最近撮った猫ちゃんの写真がお気に入りで…
御子柴,おっかわいいな！俺も猫飼ってるんだぜ！
藍子,そうなんですか？
御子柴,ノアっていう名前で…あ、写真もあるぞ
藍子,わぁ、かわいい！
御子柴,だろ！？この他にも…。藍子となら、すげー話しやすい…！
藍子,？御子柴さん？
御子柴,あ、いや、なんでもねぇよ…。でもやっぱりかわいすぎてちゃんと顔が見れねぇ…///。それで、友達に佐倉ってヤツが居てさ…
スタッフ,あのー…高森さん、そろそろリハの時間が…
藍子,えっ、もうこんな時間！？
御子柴,え！？いつの間に！？
藍子,すみません…私ったらいつもこうで…
御子柴,これが噂の藍子のゆるふわタイム…！恐るべし…
スタッフ,高森さん、リハ入りまーす
藍子,リハーサル、よろしくお願いしますっ
御子柴,うわぁ、俺が描いてた通りのステージだ…
藍子,～♪
御子柴,藍子が俺の目の前で歌ってる…夢みてぇだ…いや夢なんだけど…
スタッフ,はい、オッケーです、次の曲を…
藍子,……あのっ、すみません、もう一度、今のとこ確認お願いできますか？
スタッフ,はーい、了解でーす
御子柴,……藍子はやっぱり、すげーなぁ…。まだ高校生で、俺と同い年くらいなのに、あんなにしっかりしてて…。俺がギャルゲーやったりガチャガチャしてる間に、藍子は仕事して、レッスンして、ファンのために努力してて…。…俺、何やってんだろ…。リハお疲れさま
藍子,あっ、御子柴さん、ありがとうございました！
御子柴,ステージもいい感じになってたじゃねぇか
藍子,そうなんです！お花も小物もいっぱいで、こんな素敵なステージにしてもらえるなんて…。御子柴さんのおかげですねっ♪
御子柴,……。あのさ……。俺……実は、夢野咲子じゃねぇんだ
藍子,えっ…？
御子柴,夢野は俺の友達で…俺はアシスタントをしてるだけの、ただの高校生で…。このステージだって、藍子にはこんなセットが似合うかなって、そう思って描いただけなんだ。俺には、藍子みたいに一生懸命になれることもないし、人に誇れるようなこともなくて。……俺さ、真剣にがんばってる藍子を見て、月並みだけど、ホントすげーなって思ったんだ。だから、俺もちゃんと、夢野咲子の名前を借りるんじゃなくて、俺自身として向き合いたいなって…こんなこと急に言われても、困るだろうけど
藍子,……。私なんて、そんなにすごくないですよ。今でも競ったりするのは苦手だし、本番前は怖くなっちゃう時もあるくらいです。それでも、私にはアイドルの仲間がいて、支えてくれる人たちが居て、御子柴さんみたいに、応援してくれる人たちが居て…。みんなを笑顔にしたいなって思うから、だからがんばれるんです
御子柴,……知ってるよ
藍子,御子柴さん…？
御子柴,藍子は誰よりも優しくて、誰よりも人の気持ちを考えてて。でも実は、誰にも負けないくらい芯が強くて。そんな藍子を知って、ずっと見てきたから、だから…。だから俺は、藍子のプロデューサーになったんだ。……ん？これ、何も知らない藍子からしたら、ストーカーみたいな発言じゃねーか！？。あ、えっと、そうじゃなくて、あの…
藍子,御子柴さん…。そんなに私のことを見てくれていたなんて…嬉しいです
御子柴,……！
藍子,それに、御子柴さんは私のことを想って、このステージを作ってくれたんですよね？。私、この素敵なステージを見たとき、すっごくがんばろうって、そう思えました。その気持ちは、やっぱり、御子柴さんのプロデュースのおかげですよ♪
御子柴,……俺…やっぱり、藍子の担当で良かった…！。…ライブ、プロデューサーとして、ファンとして、楽しみにしてるぜ！
藍子,はいっ！。今回のステージは、みこ…夢野咲子先生がプロデュースしてくださいました。夢野先生は、私と同じ高校生で…私とおんなじように悩んだりもしてて…。一緒にお話できて、私ももっと魅力的なアイドルになろうって、勇気を貰いました！。そんな素敵なプロデューサーさんからもらったこのステージで…。ファンのみんな、関わってくれるみなさんに、幸せを伝えたいです！。だからこの曲は、みなさんひとりひとりのための、あなたへ贈るプレゼント、ですっ
御子柴,……。たとえ夢でも…。俺は忘れないからな、今日のこのステージを…！
藍子,それでは聴いてくださいっ…青空リレーション！
御子柴,……。夢から覚めちゃった、か…。…藍子のステージ…最高だったな…。とりあえずデレステつけよ…。あ、今日、バレンタインか…アイドルからチョコがもらえるのか…。ふふ、また藍子からプレゼントがもらえるな…
藍子,……御子柴さん、ありがとう♪
御子柴,……！今の声は…！？。……夢、だったんだよな…？。野崎、昨日言ってたコラボステージの話だけどさ
野崎,ああ、無理なら断るし、気にしなくていいぞ？
御子柴,いや、ちょっと考えてみたんだけど…こんなのどうだ？
野崎,おお！いい感じじゃないか！やるな御子柴！
御子柴,へへ、俺だってやればできるんだよ！。その代わり、お前は恋しよっの連載の方をがんばれってくれよ！。藍子が楽しみにしてくれてたからな…！
野崎,御子柴…！
御子柴,俺に何ができるのかわかんねぇけど…。藍子にまた会えるときまでに、俺も一生懸命になれることを見つけたいな…！。とりあえず今は、藍子のプロデュースをがんばるぜ…！
