①向日葵,櫻子がバレンタインでチョコを……
向日葵,その相談があるのですが……、今お時間の方よろしいでしょうか？
綾乃,え？大丈夫だけど、どうかしたの？
向日葵,実は櫻子が……その……
綾乃,大室さんが？
向日葵,櫻子がチョコレートを作っているみたいで！
綾乃,大室さんがチョコを？
向日葵,はい、今朝撫子さんが櫻子がチョコレートを作ってるんだ。何度も失敗してさ。まったく頑張っちゃって……。一体誰の為に頑張ってるんだろうね
綾乃,へぇー。それはバレンタインが楽しみね
向日葵,……
綾乃,ん？古谷さん？どうかしたの？私の顔をジーっと……怖い顔をして……
向日葵,……ま、まさか、櫻子がチョコをプレゼントするのは杉浦先輩！？？！？
綾乃,へ？い、いやいや。どう考えても私じゃないでしょ！
向日葵,じゃあ、誰なんですの！？櫻子がチョコをプレゼントする相手なんて他に……ま、まさか吉川さんに！？そういえば単行本最新刊で二人っきりでデートに！
綾乃,はぁ……違うと思うわ。……うーん、そうね。古谷さんよく考えてみて
向日葵,え？
綾乃,大室さんだったら、失敗が続いたらすぐに古谷さんを頼ると思うの。でも、今回のチョコ作りは古谷さんに頼らずに作ってるんでしょ？それはなぜかしら？
向日葵,そ、そういわれると。撫子さんは何度も失敗してと言ってましたわ。そういう時はいつも私を頼ってくれるのに……
綾乃,うん、そうそう。そういう事…………って、古谷さん！？なんで泣いているの！？
向日葵,うっ……うぅ……櫻子に頼ってもらえないなんて……私嫌われちゃったんですのね……
綾乃,違うでしょ！古谷さんにプレゼントしたいからでしょ！
向日葵,－－－－－－へ？
綾乃,古谷さんにプレゼントしたいから、びっくりさせたいから、喜んで欲しいから古谷さんに頼れないんだと思うわ
向日葵,な、なるほど……確かに。なるほど
綾乃,ふふっ。よかったわね。楽しいバレンタインになりそうね
向日葵,櫻子は私にバレンタインチョコをプレゼントしたい……と。まったく櫻子は仕方ありませんわね。バレンタインに気合いを入れた手作りなんて、まるで特別なチョコみたいですわ
綾乃,古谷さん、すっごくうれしそう……チョコが熱で溶けたみたいに、古谷さんの表情がとろけてるわ
向日葵,まぁ、仕方ありませんから、櫻子のチョコを受け取ってあげますわ。ええ、せっかく手作りなのを受け取らないなんてできませんし
綾乃,相思相愛でよかったわね
向日葵,っ～～～～～～//
綾乃,ふふっ。りんごみたいに真っ赤になって可愛いわね
向日葵,違います！私は別に櫻子が好きとかじゃありませんから！
綾乃,えっ
向日葵,勘違いされては困ります！まったく！なぜ私が櫻子のチョコで喜んだり……
綾乃,じゃあ、いらないの？
向日葵,いるに決まってるじゃないですか！すっごく嬉しいに決まってるじゃないですか！
