土屋亜子,ふぃ～、今日のレッスンもきつかったな～！
村松さくら,きつかったねぇ……
大石泉,こら、これくらいでへばらないの
さくら,イズミン、体力あるね……！
泉,そんなわけないでしょ、ペース配分を考えてるだけよ。2人共最初から飛ばしすぎなの
亜子,そんなこと言うても……ねえ？
さくら,うんうん！気合入っちゃうよねえ！
亜子,なんてったって！念願の！
さくら,ニューウェーブ初ライブが決まったんだもんねぇ！
亜子,気合入れるなって方が無茶やでいずみ！
泉,はぁ……空回りしちゃ仕方がないでしょ？
さくら,まあまあ、ペースとかなんとかはまた明日にして！一緒にご飯食べに行こう？
亜子,お！ええな！ええな！どこ行こっか？
さくら,加蓮さんに美味しいハンバーガーのお店を教えてもらったんだけど、どうかな？
亜子,おおっ！決まりや！ね、いずみ？
泉,まったく……行くなら早く支度し……ってそうだ！さくら！宿題やったの！？
さくら,へ？……しゅくだい？
泉,ほら、明日までに提出の英語のプリント！
さくら,……そ、そんなのあったっけ？
亜子,やっとらんの！？ほら、先週の授業で出されたやつやって！
さくら,……はっ！
泉,はぁ……一週間もあるから大丈夫だよぉ！って言ってたのはどこの誰かしら……
さくら,うう……。か、帰ったらやるから！
泉,前もそう言って、帰ったら疲れて寝ちゃったって、結局私が見せたでしょ！？
さくら,そ、そうだっけ……
泉,今日は寄り道はなし！帰って宿題やりなさい！
さくら,そんなぁ～！あ、アコちゃーん！
亜子,さくら、今日は諦めよ？いずみ、けっこう怒っとるで？
さくら,はぁい……
亜子,いずみ、おはよー
泉,おはよう。あれ？さくらは？
亜子,それが、まだ来てないんよね。いつもはこの時間には教室にいるのに……
泉,まさか……寝坊？……電話した方がいいかな
亜子,うーん……あと5分待っても来なかったら……ってあ！噂をすれば！
さくら,お、おはよう！イズミン、アコちゃん！
亜子,どしたんそんな息切らしてー？寝坊？
さくら,う、うん！昨日、宿題のプリントやったまま寝ちゃって、気づいたら朝になってて、だからまだ3割くらい終わってなくって……！
泉,終わってないの！？帰ってすぐにやらないからでしょ！？
亜子,ま、まあまあいずみ、ほら、さくら、アドバイスしたげるから、残ってるとこ終わらそ？今日はそのプリントから当たるらしいから、とりあえず埋めとかなきゃ！
泉,まったく……
さくら,ごめんねぇ……
先生,――――の構文を使い、ここは―――となる。じゃあこの問題、そうだな……村松、正しい前置詞はどれになる？
泉,！
亜子,！
さくら,は、はぁい！
泉,さくら……
亜子,確かあそこは自力で解けていたはず……
さくら,……
泉,……
亜子,……
さくら,……。い、in……？
泉,……
亜子,……
先生,正解だ、よくわかったな、座っていいぞ
さくら,は、はいっ
泉,……
亜子,……。いやぁ～危なかったけどなんとか切り抜けたな！さくら！
さくら,えへへぇ～！2人のおかげだよぉ！
泉,本当は1人の力でなんとかしなきゃいけないんだけどね……
さくら,つ、次は必ず……
泉,はいはい、そのセリフも聞き飽きたわ……
亜子,さくらが当てられた時はどうなることかと思ったけど。ってあれ、メールや
泉,私にも
さくら,わたしも！
泉,ってことは事務連絡ね。亜子、読んでくれる？
亜子,ほいほーい。なになに……トレーナーさんの都合により、明日のレッスン開始時間を13時から9時に変更します。やむを得ない用事がある場合は連絡をしてくださいやって！
泉,なるほど……。私は平気だけど
亜子,アタシもええで！さくらは？
さくら,うん、用事はないよ
亜子,じゃ、大丈夫ですって送っとくな
泉,ありがと
さくら,……
泉,……？。さくら、どうかした？
さくら,え！？い、いや、なんでもないよ！ただ……
亜子,ただ？
さくら,朝、起きれるかなって……
亜子,ありゃ
泉,はぁ～……あのね、さくら、それはアイドルとかそれ以前の問題よ？
さくら,そ、そうなんだけど……
泉,今日は早く寝ること！いい？
さくら,はぁい……。はぁ……今日もイズミンとアコちゃんに迷惑かけちゃった……。いつもより早くベッドに入ったけど寝れないよぉ……。明日も迷惑かけちゃったらどうしよう……。もし2人に見捨てられちゃったら……。……。どうしよう……
トレーナー,はい！それじゃあレッスンを……ってあれ？村松さんは？
亜子,そ、それが……
泉,すみません、まだ来ていないんです。携帯にも連絡がなくて
亜子,多分、寝坊やと思うんですけど……
トレーナー,そう……じゃあ、村松さんが来るまではストレッチと基礎レッスンをしておきましょうか
亜子,は、はい
泉,すみません……
さくら,す、すみませぇん！！！
亜子,さく
泉,さくら！！！
さくら,ご、ごめんなさい！
泉,遅刻しちゃダメって言ったのに！トレーナーさんにも迷惑かけて！
トレーナー,ま、まあ、時間変更も突然でしたし、まだレッスンも初めの方ですから……
泉,でも！
さくら,ごめんなさい……ごめんなさい……
亜子,ほら、さくらも落ち着いてな？まずはストレッチから……
さくら,うん……
トレーナー,はい！1・2・3・4！そこでターン！はい！右！左！。ストップ！
さくら,……
泉,……
亜子,２人共……
トレーナー,どうにも合いませんね……キリも良いですし、今日はここまでです。次回は遅刻しないようにね？
さくら,……はい
泉,ありがとう……ございました……
亜子,あ、ありがとうございました！。い、いやぁ～、き、今日は上手くいかんかったなあ～
泉,……
さくら,……
亜子,な、なあ、今日は宿題も出てないし、何か食べ行かへん？
泉,そんなことしてる余裕があるの……？
