軽口,今日のオーディション合格者は～……。２番の君達だ！気にいっちゃったよ、オレ！
真美,oh...
真,やーりぃ！
響,やったぞー、プロデューサー！
P,よくやった！作戦通りだったな
律子,……プロデューサー殿
P,ん？
律子,ちょっと、話があります。一体何なんですか、あのアピールの仕方は？
P,え、何が？
律子,ボーカルとビジュアル担当の審査員を帰らせてしまうなんて……
P,んー……まぁ、確かに？うちのユニットが音程とアピールのタイミングを外したりしたけども。審査員に飽きられて帰らせちゃったってのは、俺達が直接的な原因じゃあないよね
律子,ぐっ……そ、それは、そうですけど
P,ボーカルとビジュアル面を相当アピールした律子達には、足を引っ張る形になって悪い事したと思ってるけどさ。俺達にとっては、これは大きなチャンスな訳だよ。ま、今回は俺達の勝ちって事で一つ
律子,ぐぬぬ……
P,……あぁ、挑戦ならまたいつでも受けて立つぞ？セ・ン・パ・イ
律子,っ～～～～～～！
P,ただいま戻りました～
小鳥,お帰りなさい、プロデューサーさん！。今日のオーディション、大成功だったようですね
P,あはは……いや、偶々ですよ、偶々。さてと、来月の流行に合わせて、取り寄せておいた衣装を確認して……。あ、あれ？……小鳥さん、そこに置いてた紙袋、知りませんか？
小鳥,あぁ、それならさっき律子さんが……
P,ご、ゴミに出したぁ！？
律子,ええ。それが何か？
P,ばっ……あ、あれは、来月用の大事なステージ衣装なんだよ！
律子,あら、そうだったんですか？幼稚園服が入ってたものですから、てっきり古着かと思って
P,あれはチャイルドスモックって衣装なの！男のロマンが詰まった衣装なんだよっ！！
律子,……まぁ、衣装なんかに頼らなくても？そのプロデューサー殿の腕なら大丈夫ですって
P,り、律子ォ……！
律子,それじゃあ私、仕事が残ってるので、これで
P,っ～～～～～～！。今日はあのにっくき竜宮小町とのフェス対決だ。気を抜くんじゃないぞ。俺はこれまで培ってきたお前たちの実力を信じている。絶対に負けるな！
真美,何か兄ちゃん、めっちゃ怒ってるっぽい……？
響,エサ抜いた時のいぬ美と同じ目をしてるぞ……
律子,いい？今日はあのプロデューサーが率いるユニットとフェス対決よ。あの卑怯者はどんな手を使ってくるか分からないわ、気をつけなさい！分かった！？
亜美,よく分かんないけど、兄ちゃんと律っちゃん……ケンカ中？
伊織,下らないわね。代理戦争でもしてるつもりなのかしら、まったく……
小鳥,おかえりなさ……
P,今日は俺達の勝ちだな、律子！
律子,いいえ違います、私達の方が圧倒的に勝っていました。アンコールも受けましたし
P,いいや、あれはうちがアンコールを受けたんだ
律子,いいえ、あれは私達が
P,………
律子,………
小鳥,(……何この空気……)
P,……それじゃあここで白黒はっきりつけようじゃないか
律子,構いませんよ、結果は変わらないと思いますけど
P,真、響、真美！今日やった奴をここでもう一回やるぞ！
真,え、えぇ？
真美,な、何それぇ～？
律子,伊織、亜美、あずささん！このバカにはっきり分からせてやって！
伊織,はぁ？
あずさ,あらあら……
小鳥,ちょ、ちょっと二人とも！落ち着いてください！
律子,この人、出がけに冷蔵庫に入れておいた私のゴージャスセレブプリン食べたんですよ！？ホント信じられない！
P,事務所に私物、それも食べ物なんかを残しておく方が悪いだろ。それよりもだ。そこに置いてあったXbox360のコード類諸々、一体どこにやったんだ
律子,ちゃんと片づけましたよ。使わないのに出しておく方が悪いじゃないですか
P,帰ったら遊ぶつもりだったんだよ！つーか勝手に人の私物に触るんじゃない！
