グラーフ,ハァ……ハァ……
グラ,そ、それは本当か、アトミラール！
提督,誠でござる
グラ,よ……よかった……。本当に……！
提督,えぇ……
グラ,……
提督,……
グラ,ま、まぁ……なんだ。この国の旅行雑誌は、とても賑やかなレイアウトなのだな
提督,うぅ～ん……そういうもんかな。むしろ、他の国が出版してる旅行雑誌のイメージがわかないな
グラ,そうか……こちらもたしかに色々あるが。大雑把に言えば、もっとおとなしい
提督,ほう
グラ,だが……これはいいな。こういった食べ物の写真や案内を見ているだけで……。現地に着く前から楽しくなる
提督,それはなによりで
グラ,日本のリョカンもたのしみだ……
提督,嬉しそうだな～
グラ,深海棲艦との戦争が終結し、３か月の時が流れた……。……厳密にはアトミラールと婚約を交わして１か月だな。戦後の慌ただしさはすっかり鳴りを潜め。私達の生活にもゆとりが生まれつつあった、そんな中……。私は婚約後すぐ、アトミラールにあるひとつのお願いをした……。な、なぁアトミラール
提督,……俺もう提督じゃないんだけどなぁ
グラ,はは……スマナイ。……あの……私たち。そろそろ……じゃないか
提督,……あぁ、そうだ
グラ,それで……その……。夫婦になる前に一度……二人でこの国を旅行してみたいんだ
提督,おぉ！？。“はねむーん”ってやつは、式の後にやるもんじゃないの？
グラ,うぅ……。それは、分かってるさ。だが……私は艦娘となってから。あなたと一度もオデカケというものをしたことがない……
提督,……コンビニとかよくいったじゃん
グラ,あれは少し違う！
提督,痛い！？
グラ,そうじゃなくて、なんというか……。この国では“セイシュン”と呼ばれるあれが……。そう、それが足りないのだ！
提督,あぁ……。なんとなく理解したかも
グラ,我ながら、本当に差し出がましいお願いだ。でも……私にだって、憧れはあるんだ。アトミラール……
提督,……。うん、いいよ！
グラ,ほ、本当か！
提督,たしかに今のうちに行く方が気も楽だし。……グラーフのしたいことに気付いてあげられなかった……。本当に、ごめん……
グラ,あ、頭を上げてくれ！。……そうだ！それで、行先なのだが……。目指すは“キョウト”。歴史と雅とブブヅケ文化の地だ。……以前にリュウジョーがそう言っていた。そして、この国の一度は訪れてみたかった場所でもある……
提督,それにしても京都かー……。小さい時に一度来たきりだなぁ。ほとんど記憶ねぇや
グラ,そうらしいな
提督,本当にプラン、決めて行かなくてよかったの？。旅館の予約しかしてないけど……
グラ,あぁ、かまわない。お互いほとんど何も知らない方が、なんだか楽しそうだ
提督,そうなんかなー……
グラ,アトミラールもこれ、食べてくれっ
提督,おぉかたじけない。じゃがりこだ
グラ,♪
提督,うまそうに食うなぁ。ジャガイモのよくとれる国の子だからかな
グラ,着いたぞ、キョウトに！
提督,おぉ……すっごく久しぶりだぁ
