久川颯,はーっ、今日のレッスンもきつかったー！
久川凪,塵も積もればなんとやら。このレッスンもいずれどこかに積み重なると思います……多分
颯,そうだね――。……あはは！お腹減っちゃった
凪,運動すればお腹が減る、お腹が減れば腹が鳴る。既定路線だな、これは
颯,ねぇねぇなー、せっかくだしこの後食堂行かない？行きたいよね！
凪,りょ。行きましょうか
颯,うんうん♪それじゃ出発進行！
凪,おー
颯,意外とすいてるなー、ってあれ？
凪,ん？
佐藤心,今日はいっぱいレッスンしたし……、いやいやでもダイエットが
颯,あ、あの人ってもしかして……
凪,しゅがーはぁと。砂糖と心
心,ん？君たちってこの前デビューした双子の……
颯,は、はい！久川颯です！
凪,凪です。ネギではありません
心,おぉピッチピチの新人……。はぁとにも若さパワーが来いって言わせんな、オイ☆
颯,うわー……！あのっ、はーシュガーハートさんのことテレビで見てたんです！
心,えっ見てくれてたの？はぁとカ・ン・ゲ・キ♪
颯,はい！あのっハートさん、アイドルのこと色々教えてくれませんか？
心,うんうん☆はぁとに何でも聞くがよい☆
颯,ありがとうございます！なーもそれで……ってあれ？なー？
凪,あの場面は重要なフラグになる予感……。邪魔になる前に凪はクールに去ります。
颯,もー、なーどこ行っちゃたんだろ……。まぁいいや。ハートさん一緒に食べましょう！
心,おう☆
颯,ハートさん、そんなに少ない量でご飯足りるんですか？
心,はぁとはダイエット中なんだぞ☆そう言う颯ちゃんはがっつり食べるんだな☆
颯,はい！はーはお腹がすいたらいっぱい食べたいんです。お肉もデザートも……
心,おおぅ……食事のカロリーを気にしないこの姿……。はぁとにもこんな時代があったかな……
颯,ハートさん？
心,ってああ！気にすんなー、気にしなくていいぞ☆
颯,あっそうだ。聞きたいことがいっぱいあるんだった！
心,そうそう☆何でもはぁとが聞いてあげるぞ☆
颯,はい！あのっハートさんってアイドルになりたての頃って覚えていますか？
心,なりたての頃か……。あの頃はかなり崖っぷちで……って今も色んな意味で崖っぷちか☆
颯,大変だったりしませんでしたか？。……そうだよね
心,颯ちゃん？
颯,はーはデビューまでほとんどなにをやるかもわからない状態でした。
心,……
颯,Pちゃんはライブ大成功したって言ってたけど、本当にはー、ちゃんとアイドルになれたのかなって……
心,颯ちゃん
颯,えっ？
心,えいっ☆
颯,いたっ！何するの！？。でも……
心,……さっきはあんな事しゃべったけど本当ははぁとも最初は不安だったんだぞ
颯,えっ？。！。ハートさん……
心,アイドルに本気なのは良いけどな☆まだピッチピチなんだから心にはゆとりを持てよ☆
颯,……はい！
心,いつでもしゅがーはぁとに聞いてもいいよ？、ってか聞けよ☆
颯,……はーもいつかハートさんと同じ舞台に立てたらなぁ
心,それじゃ、今度プロデューサーに頼んでみよっか
楓,えっ？
心,はーとはぁと結成だな☆
凪,はーとはぁと結成のフラグは達成されたでしょうか……。ところでここはどこでしょう？暗中模索
安部菜々,あれっ、どうしたんですか？見かけない顔ですけど……もしかして迷子とか？
凪,凪は今流れに身を任せています。運否天賦。久川凪です。……ん？
菜々,どうしたんですか？えーと、凪ちゃん？
凪,奈々と凪、ななとなー、ななな……これはもしや新たなフラグか？フラグのバーゲンセール
菜々,……えっ？
