松井灯舞,４１
松井,このクリームにはコラーゲンが含まれており、お肌に張りと潤いをもたらしてくれます
テロップ,松井灯舞４１
主婦,ふーーーん。そうなんですか
松井,よろしかったら、4日間の無料お試しセットをお申込みいただければ……
主婦,悪いけど、私……。あなたの会社の化粧品、買うつもりはありませんから……
松井,は、はい……。そうですか……。すみません。この家もダメだったか……。今日も化粧品が売れないな……
テロップ,お笑いコンビ豆大福桑島勝広ボケ担当
松井,1990年代のころの俺は、今と違って輝いていたなぁ……
課長,松井君。この営業成績が続くようなら、会社を辞めて貰わなければならないな
松井,か、課長……。それだけはさすがに……
課長,なあ……。あえて言うなら、君は会社員に向いてないんじゃないのか？
松井,は、はあ……。遂に、俺は会社をクビになってしまった……。このままでは、女房に合わせる顔がない……。全く、こんな日は酒でも飲まずにはいられないな……。……ちくしょう
喪黒,おや？ちくしょうとは……。何か嫌なことでもあったのですか？
松井,あ、あなたは……
喪黒,どうやら、あなたの心にもスキマがおありのようですねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
松井,ココロのスキマ、お埋めします？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
松井,か、変わったお仕事ですね……
喪黒,何なら、私があなたの相談に乗りましょうか？
BAR,魔の巣
喪黒,ほう……。あなたが元豆大福の松井灯舞さんだったとは……。1990年代のころのあなたは、テレビによく出ていましたねぇ
松井,私がお笑い芸人だったのは、かなり昔の話ですよ。今では、芸能界を引退して久しいですから……
喪黒,芸能界を引退した後の松井さんは、居酒屋を経営していたようですねぇ
松井,ええ、そうです。ですが、私はその居酒屋を潰してしまい……。その後は仕事を転々とし続けました
喪黒,松井さんの今のご職業は？
松井,今ですか？化粧品会社の営業職でしたね……。まあ、今日、その化粧品会社をクビになったんですよ……
喪黒,なるほど……。芸能界引退後のあなたは、苦労の多い人生を送っているようですねぇ
松井,これは、私が選んだ人生ですから……。でも、たまに思う時があるんですよ
喪黒,お笑い芸人だったころのあなたは、今と違って生き生きした表情をしていましたよ
松井,そ、そうですか……。あのころは、毎日が祭りみたいな感じで楽しかったですよ
喪黒,祭り……ですか。もしかすると、あなたはお祭りとかがお好きなのではないですか？
松井,はい……。小さいころの私は、地元の夏祭りが好きでしたね。1年に1度行われるあの祭りを、いつも心待ちにしていましたよ
喪黒,松井さん。今のあなたが甦るためには、心の中に祭りを取り戻す必要があると思いますよ
松井,心の中に祭りを取り戻す……
喪黒,そうです。あなたのために、もう1度、お祭りを見せてあげましょう。私に着いて来てください
松井,こ、このバス、山の中を走っていますよ！私たちはどこへ行くんですか！？
喪黒,このバスの終点を降りると、とってもいい場所があるんです
松井,それにしても、俺たちは相当な田舎に来ているようだな。喪黒さん。ここは一体どこなんですか？
喪黒,ここは、祭りの里です
松井,祭りの里？
喪黒,はい。そろそろ、夕食でも食べましょうか。お邪魔しまーーす！！
女性,こんばんは……
松井,こ、これは……
喪黒,よっこらしょ……っと
松井,えっ！？いいんですか！？
喪黒,いいんですよ。だって、今日は祭りなんですから……
松井,何だか、懐かしいですね……。私が子供のころの、田舎の実家の祭りがこんな感じでした。ああ、どうも……
男たち,ワッショイ！！ワッショイ！！ワッショイ！！ワッショイ……
松井,キリコを見たの、久しぶりですよ。それにしても、今の時代に祭りをやる農村が残っていたとは……
喪黒,ホーッホッホッホ……。この村は現代の農村ではありませんし、現実世界の空間とは違いますよ
松井,何だって！？
喪黒,この村は毎日毎晩、祭りが行われているんです
松井,毎日毎晩……。人が多いですね……
喪黒,ここにある店の品物は、みんなタダなんですよ
松井,え！？月光仮面のお面がある！それだけじゃなく、売り物のお面のキャラクターが、どれもみんな古い……。まるで、昭和30年代の田舎にいるみたいだ……。にぎやかになってきましたね……。おっと……。それにしても、盆踊りを踊ったのは久しぶりだな……
喪黒,どうです？楽しいでしょう
松井,は、はい！久しぶりに、祭りの楽しさを心から実感していますよ！おかげで、会社をクビになった苦しさも吹っ飛びました！
喪黒,松井さんを慰めることができて、実に何より……。ですが、あなたには約束していただきたいことがあります
松井,約束！？
