松尾千鶴,今日の予定に書いてあったミーティング、この部屋のはずだけど……、何この内装……。学校……？
千鶴,教卓があって、椅子と机が3つ……。"千鶴ちゃん"、"裕美ちゃん"、"ほたるちゃん"って書いてある……。……とりあえず私の席(？)に座ろう
関裕美,おはようございま……あ、千鶴ちゃんだけ？
千鶴,あ、裕美ちゃん、おはよう。うん、そうみたい
裕美,というか、この事務所、こんな部屋あったっけ……？
千鶴,あ、よかった、そう思ってたの私だけじゃなかったんだ
裕美,カフェ風会議室とか墓地風会議室とかブラジル風会議室は知ってるけど……
千鶴,ごめん、全部知らない
裕美,うえきちゃん風うえきさんは見ものだよ
千鶴,裕美ちゃんは何の話をしてるの？
岡崎泰葉,こんにちは……、会議って、ここであってるかな……？
千鶴,あ、泰葉さん、おはようございます
裕美,おはようございます
泰葉,うん、おはよう。でもこの部屋は……？
千鶴,やっぱりびっくりしますよね？
裕美,私の目つきに？
千鶴,言ってないから。リアクションに困るセリフやめよう？
泰葉,まるで撮影のセットみたいだね……？えっと、私の席はそれかな？
千鶴,いえ、そこは"ほたるちゃん"って書いてあるので……
泰葉,あれ？でも、確かにこの部屋って言われたんだけど……
野々村そら,はろー！うぇるかむとぅまいれっすん！
泰葉,そ、そらちゃん！？
千鶴,まいれっすんって……、そらちゃんが先生？
そら,いぐざくとりー！
泰葉,えっと、何を教えるの？
そら,よくぞくえすちょんしてくれた！そらちんが教えるもの……、それはー……
裕美,株式売買？
泰葉,アイドルが！？
千鶴,今日の裕美ちゃん、自由すぎない？
そら,惜しい！
千鶴,惜しいの！？
そら,ちょうど黒板があるから書いちゃうね！。そい！
泰葉,スマイル……、笑顔？
そら,いえす！がーるずびーのみんなが笑顔に悩んでるってうわさが、このそらちんずいやーに飛び込んできたからね☆
千鶴,そらちゃん……
裕美,わぁ……、人を笑顔にすることに関してはこの世に右に出る者がいないそらちゃんのとっても面白いお話が聞けるんだ……！
千鶴,ハードル
そら,じゃあさっそく……あれ？ほたるちゃんは？？？
千鶴,あ、到着が遅れてるみたい……？ちょっと連絡を……
裕美,じゃあ電話してみるね？
そら,おねがいぷりーず！
裕美,あ、ほたるちゃん、ミーティングの時間だけど……。うん、うん、そうなんだ……、それは大変だね……
泰葉,何かトラブルかな……？
裕美,うん、植木鉢が……、上から、下から、左右から……
泰葉,ほたるちゃん！？
裕美,えっ！？前からも！？
千鶴,それ誰かに投げつけられてない！？
裕美,楽しそうだね……！
泰葉,感想がおかしくないかな！？
裕美,大丈夫？避けられる？
千鶴,それ聞いてどうするの？
泰葉,電話の向こうからすごい音が聞こえるよ！？
裕美,うるさい！
千鶴,切っちゃった！！！！！
裕美,えっと、もうすぐ着くみたい
泰葉,本当に！？
白菊ほたる,すみません……、遅れてしまって……
そら,どんとうぉーりー！のーぷれのーぷれ♪
泰葉,た、大変だったね……？
ほたる,大変？えっと、なんの話でしょうか……？
千鶴,いや、ここに来るまで……
ほたる,あ、ダンプカーに轢かれたの、見られてたんですか？恥ずかしいです……
千鶴,いや、そっちは知らな……ダンプカー！？！？！？
ほたる,当たり所がよかったので……
泰葉,そのレベルだと当たり所もなにもないんじゃないかな……！？
