※注意,Ｍな人向けの内容です。過激なエロ・グロテスクな表現はありませんが金的がメインの話です。幸子がドSという訳では無いので、いじめられるのが好きな人にはむいていないかもしれません
幸子,し、失礼ですよその言い方は！
P,だってホントじゃん！！もう幸子と遊ぶの怖い！！
幸子,い、いやボクだってわざとしてるわけじゃ…
P,フンフフーン。フッフーン
幸子,何してるんですか？
P,ああ、壁あてだよ
幸子,い、いいんですか休憩室で壁あてなんかして…
P,はっはーいいのさ。プニプニのボールだから大丈夫大丈夫
幸子,えぇー…
P,うーん…じゃあキャッチボールしようぜ
幸子,えっ…
P,かるーく身体動かしたいし…ついでに幸子と遊べるし
幸子,ついでにって何ですかー！
P,よし、じゃあいくぞー…ほれ
幸子,うわっと…。もっとゆっくり投げてくださいよー
P,おっけーおっけー
幸子,キャッチボールなんて久しぶりですね
P,あー…。まあ女の子は部活にでも入ってない限りはキャッチボールなんかしないか
幸子,そうですね…。それか体育か…ですかね
P,どうだ？やってみると楽しいもんだろ？
幸子,はい！気分転換になりますしちょっと楽しいです
P,よーし。じゃあ俺がうまくとってやるから強めに投げてこいよ
幸子,えっ…。大丈夫ですか？
P,大丈夫大丈夫。ストレス発散になるぞー。あ、言っとくけど本気では投げてくるなよ…？
幸子,わ、分かってますよ！よし、じゃあ…いきますよ！
P,おうっ！
幸子,えい！！！ってあぁ力みすぎて床にっ…
P,うおっ！ショーバンっっ…ん゛っ！
幸子,あっ……(球が…Pさんの玉に…)
P,お、おぉぉ……
幸子,あ、あわわ………。だ、大丈夫ですか…
P,んんんん…
幸子,…え、えっと…とりあえず背中さすりますね
P,うぅぅ…
幸子,…ごめんなさい…
P,い…いや…いいんだ…仕方ない…。こういうことも…あるさ…
幸子,あ、あれは仕方ないじゃないですか！Pさんだって仕方ないって言ってくれたじゃないですか！
P,いや…今思えばあの時から俺の股間は狙われていたのかもしれん
幸子,狙ってませんよ！！。Pさん！テニスしましょう！テニス！
P,なんだ？幸子はテニスが得意なのか？
幸子,いえ、全く！ただこう、スポッ〇ャに来るとテニスしたくなりません？
P,分かる。普段できないスポーツに挑戦したくなるやつな
幸子,そうなんですよ…。というわけで、せっかくスポッチ〇に来てるわけですしテニスしましょう
P,よーし。俺も全くテニスは分からんが…。まあ分からないもの同士楽しもうか
幸子,はい！じゃあ…いきますよ！
P,おう！こい！
幸子,えいっ！
P,おおっと！
幸子,えーい！
P,おぉっ！
幸子,ﾌﾌｰﾝ！得点とかよく分かりませんけど、とにかくまずはボクの勝ちですね！
P,くぅー…！やはりテニス分からないもの同士だと先に打った方が有利だな…
幸子,ですね…。じゃあ次はPさんから打ってきてください！
P,お、フェアにいこうというわけか。じゃあ次は俺からいくぞ！えい！
幸子,うおっとぉ…
P,ほーれ！
幸子,うー…えいっ！
P,うおおっ真っ正面にきたっ……お゛ぅっ…
幸子,あっ…(テニスボールが…Pさんのゴールデンボールに…)
P,うっ……
幸子,え、えっと…大丈夫ですか…
P,ぐぅ…
幸子,……ごめんなさい…
P,し、仕方ないさ…。お互い…下手だし…仕方ない…
幸子,……大丈夫ですか…？
P,……大丈夫…だけど10分くらい待って…
幸子,………。大丈夫…ですか…？
P,おう…もう大丈夫だ！ちゃんと2個ある
幸子,な、何言ってるんですかもう…///
P,幸子もちゃんと2個あるか？
幸子,あ、ありませんよ！セクハラですよ！///
P,目玉の話なんだけどなぁ…
幸子,っっ……蹴りますよ…
P,すみませんっすみませんっ…
幸子,もう…じゃあ…次は何して遊びましょう？
P,そうだな…。ちょっと…この後すぐ球技にいくのは怖いからそれ以外で…
幸子,そ、そうですね…。じゃあ…あっ！ローラースケートしましょうよ！
P,おお！ローラースケートか！やろうやろう！
幸子,はいっ！Pさんはローラースケート得意ですか？
P,得意ってほどではないが…普通に遊べる程度にできるぞ！
幸子,そうなんですね！！ボク…あんまり上手くないので教えて欲しいですっ！(ここはPさんの顔を立ててあげましょう…このままだとかっこ悪くてかわいそうですし…)
P,おおっ！そうかそうか！よーし俺が教えてやろう！
幸子,お、おぉ…おぉ…
P,幸子…もしかして初めてか？
幸子,いえ……2回目です…
P,…そうか。とりあえず立っているだけで限界って感じか…
幸子,はい…
P,とりあえず手を広げてみるんだ。手でバランスをとると安定するぞ
幸子,は、はい…
P,どうだ？
幸子,あ、あー…なんとなく…安定してる気がします
P,だろう？
幸子,は、はは……う、うわっと…
P,お、おお大丈夫かっ
幸子,うわっうわわわバランスがっ
P,ちょっっ…お、俺をつかむなっ
幸子,ひ、ひっつけば転ばずにすみますっ
P,ちょ、ちょっと待て足がっ足が絡まってっっ…うおっ！
幸子,ああっすみませっ…うわっうわわっ
P,いってて…ケツが…
幸子,あぁー…っ！
P,うぉっ…お゛っ…
幸子,いったぁ……あぅ…なんだか生暖かいものが顔に…
P,おっおおっ…
幸子,…あっ…(ボクの頭が…Pさんの玉に…)
P,うぐっ……
幸子,……すみません…ゴールデンヘッドバットしちゃって…(顔に変な感触が…)
P,……わざと…なのか…
幸子,ち、違いますよ！ほ、ほんとに！
P,………
幸子,た、たまたまなんです…
P,たま…たま…
幸子,えっ……あっいやそういうのじゃっなくてっ…ば、バカ！///
P,うぉぉっ…ちょ、今背中叩くのは…やめて…振動が…
幸子,あっ…ご、ごめんなさい…
P,…ううぅ…
幸子,2個…ありますか…
P,…たぶん…。わざとだ…もう幸子がわざとやってるとしか思えん…
幸子,ほ、ほんとに違いますから！！
P,金的で興奮するんだろ！
幸子,しーまーせーん！！そういう趣味ないですから！
P,俺はされるとちょっと興奮する！
幸子,……(じゃあいいじゃないですか)。バッティングセンター行きましょう！
P,えっ…う、うん。いいよ
幸子,実は今度体育でソフトボールがあるんです。その時に空振り三振はカッコ悪くて嫌なので！
P,なるほどな。それで俺に教えて欲しいと
幸子,はいっ！
P,よし！いいだろう！さっそく行こう！。よーし！じゃあさっそく打ってみるんだ。俺は横で見ていよう
幸子,ありがとうございます！
P,1球目くるぞー
幸子,……えいっ！
P,おお…見事なストライク…
幸子,ううっ…
P,2球目くるぞー
幸子,……おりゃ！
P,…ストライク…
幸子,はぇ……
P,幸子…。バットをふる時に目を瞑ってるな。とりあえず最後まで目を開けて球の動きを見るんだ
幸子,は、はいっ！
P,よし、次がくるぞ！よく見るんだぞ！
幸子,……えいっ
P,おおっ！当たったじゃないか！
幸子,は、はい！やりました！さすがボク！
P,俺のおかげだろっ！まあ、その調子でドンドン打ってみるんだ！
幸子,はいっ！。…えいっ！。…うりゃぁ！。…ﾌﾌｰﾝ！
P,上手くなってきたな！
幸子,はい！この調子でホームラン狙っちゃいますよ！
P,はっはっ。ホームランは程遠いがヒットくらいは狙えるかもな
幸子,むっ…。見ててくださいよ…次のやつホームランさせて見せますから！
P,はいはい
幸子,……うりゃぁ！
P,…う゛お゛
幸子,あれ……球はどこに…？あれ…Pさん…？
P,お、おおお…
幸子,あれ…もしかして……(たまたま球がPさんの玉にホームランしてしまったやつでは…)
P,はぁぁ…ああぁ…
幸子,えっと…あの…大丈夫ですか…
P,うぐぅぅ…。…………
幸子,ほ、ほんとに大丈夫ですか…。ごめんなさい…。申し訳ないんですけど…ボクには背中を撫でることしか…
P,だ…だい…じょうぶ……
幸子,ご、ごめんなさい…ごめんなさい…
P,あやうく片タマになるところだったわよ！んもう！
幸子,心がなりかけてませんか…
P,もう幸子とは遊ばない！！こんなんじゃ身が持たんわ！！
幸子,えぇー！！そんな…確かにボクが原因なところありますけど…わざとやってるわけじゃないんですよ！！
P,……だとしてもよぅ…
幸子,…呪いですよ…。きっと…
P,金的の呪いってなんだよ…
幸子,…そう言えば前から気になってたんですけど、Pさんそんな指輪してましたっけ？
P,ん？ああ。これか。これは金運が上がる指輪らしくてな。3500円くらいで買った
幸子,………
P,はっはっは。おいおい幸子、金運が上がるの金に反応しすぎなんだよ。こいつのせいで金的が多くなったと思ってるんだろ？そんなわけないない
幸子,で、でも事実…
P,金運は金運。金的とは別だよ
幸子,む、むぅ…(金的金的って…女の子の前であんまり言わないでくださいよ…///)
P,ほれ、ここにも書いてあるぞ。この指輪を付けることによっておかね的なものが沢山手に入ります！
幸子,な、なんですかおかね的なものって…ふわっとしてますね…
P,おかね的なもの…まあつまり金目のものってことだろう。ちなみに俺はこの指輪をつけてからというもの、道端で100円を拾うことが多くなった
幸子,効果が地味ですね…
P,地味でもいいの！100円貯金めっちゃ貯まるし！
幸子,まあPさんがそれでいいなら……んん…？おかね的なもの…？
P,なんだ…？。………
幸子,Pさん…
P,…みなまで言うな。俺も今………気づいたから…
幸子,捨てましょう
P,うん
