・モバマスはアニメ時空,22話より後
ミザエル,………。………
カイト,ミザエル、入るぞ
ミザエル,ああ
カイト,まだ作業を続けていたのか……コーヒー、飲むか
ミザエル,衣食住をお前の父親にまかなってもらっている身分だからな……すまない、いただく。それに、アストラル世界をはじめとする異世界に関する研究には、私自身興味がある
カイト,そうか。だが、少しは他のことに目を向けてみたらどうだ。学校に通っている間以外はほとんどそうしているだろう
ミザエル,問題はなかろう。心配せずとも、デュエルなら学校で行っているから腕は落ちていない
カイト,誰がデュエルの実力の話をしている。俺はただ、休養をとったほうがいいと忠告しているだけだ
ミザエル,休養だと？そんなもの私には必要。うおっ……と
カイト,軽く押しただけでこれだ。精神が疲れずとも、同じ作業を続けていれば身体に疲労が蓄積していく。バリアンは知らんが、人間の身体とはそういうものだ
ミザエル,むぅ……不便だな、人間は
カイト,そうだな。だが慣れろ。明日は日曜だ。学校もないし、たまには外に出てゆっくりしてこい
ミザエル,外……外で何をすればいい
カイト,適当に羽を伸ばせと言っているんだ
ミザエル,適当、ではわからん。私は人間社会のなんたるかをまったく理解していない。ましてや、休日の羽の伸ばし方など
カイト,……わかった。付き添いを用意する
ミザエル,付き添い？
ハルト,じゃあ、いこうか。ミザエルさん
ミザエル,ああ……行先はお前に任せる
カイト,頼んだぞ、ハルト。俺は少し片付けなければならない仕事が残っている
ハルト,かしこまり、兄さん！。とりあえず、街をいろいろ案内するよ
ミザエル,頼む。……ハルトは、羽の伸ばし方、に詳しいのか？
ハルト,そんなにあれこれ知ってるわけじゃないけど……まあ、兄さんや父さんよりは詳しいかな。二人とも、基本的には仕事人間だし。僕は学校通わせてもらってるから、友達と一緒に遊んだりとか、そういうので
ミザエル,前々から思っていたのだが、カイトは学校には行かないのか？
ハルト,父さんやクリスさんは行かせたがってるんだけど、兄さんは今さら行く理由もあるまいってさ
ミザエル,……うまいな。カイトの真似
ハルト,すごいでしょ。僕の特技のひとつなんだ。でも、実は父さんも諦めてなくて。大学で講義する仕事とかが来ると、兄さんにまわして行かせているんだ。そこで学校の空気に触れて、行きたくならないかなって算段
ミザエル,ずいぶんと遠回りな作戦だな。効果は薄いのではないか？
ハルト,あはは、多分ね。とりあえず、駅から近いところというと……
ミザエル,ハルト。そこにカードショップがあるぞ
ハルト,うーん……あそこのデパートかな
ミザエル,ハルト。そこにカードショップがあるぞ
ハルト,ダメです
ミザエル,なぜだ！
ハルト,今日はデュエル関連以外を頼むって、兄さんに言われてるんだ。じゃないとミザエルさん、カードショップだけで時間つぶしそうだからって
ミザエル,それの何が問題だというのだ
ハルト,研究とデュエル以外の楽しみを見つけろってことだと思う。見聞を広めてほしいんだよ
ミザエル,そういうあいつ自身は研究とデュエル以外何かやっているのか
ハルト,兄さんは一応、機械いじりが趣味だから。今でもたまにオービタル達の改造してるでしょ？。たまに変な機能つけようとして、本人が嫌がったりするんだけどね
ミザエル,時折オービタルの悲鳴が聞こえてくるやつか。以前いきなり私の部屋に来て、かくまってくれと言い出した時は何事かと思ったぞ
ハルト,あはは。というわけで、兄さんはミザエルさんに、もっとこの世界についてたくさん知ってほしいんだよ
ミザエル,なるほど……奴はおせっかいだな
ハルト,不器用だけど、優しい僕の兄さんだから
ミザエル,……優しいのは、お前相手だけではないのか？
ハルト,そんなことないよ。きっとね
ミザエル,……よくわからん。難しいな、人間というのは
ハルト,今はミザエルさんも、その人間でしょ？
ミザエル,……ふっ、そうだな。さらに言えば、はるか昔の私も……
ハルト,うーん。本屋もあんまり興味が湧かなかったみたいだね
ミザエル,ああ。身を惹かれるような書物は見当たらなかった。他の客は、女の写真が表紙のものに群がっていたりもしたが
ハルト,アイドルの写真集とかだね。ギラグさんは、ああいうのよく読むって言ってたよ
ミザエル,そういえば、アイドルがいいとかモエとか言っていたな。話の一割も理解できなかったが
ハルト,僕は結構アイドルに詳しいから、そのあたりは話が合うんだ
ミザエル,ほう。お前とギラグにそんな縁があったとは
ハルト,うん。でも、ミザエルさんには合わなかったみたいだし……あ
ミザエル,どうした
ハルト,近くにもうひとつ本屋さんがあるんだ。そっちは、さっきのところよりも専門的な本をたくさん置いていて……もしかしたら、ミザエルさんが気に入るものがあるかも
ミザエル,本屋とは本を売っているだけで、すべて同じではないのか
ハルト,お店ごとに特徴があるんだよ。トラップカードだって、カードのカテゴリーは同じでも、効果は一枚一枚違うでしょ？
ミザエル,なるほどそういうことか。よくわかった
ハルト,カードでたとえると理解が速いね。あった。ここだよ
ミザエル,確かに、外装からして地味だな。客も少ない
ハルト,そ、そういうことは口に出しちゃだめだよ
ミザエル,そういうものか
ハルト,そういうものだよ
ミザエル,……先ほどの店と比べて、厚い本が多いな。それに見たところ古そうだ
