前川みく,にゃ？急にどうしたんだにゃPチャン？
P,ん……いや、何となく言っておきたくなったんだ。急にごめんな
みく,別に謝ることはないけど、ちょっとビックリしたの
P,……新たに5人のCDデビューも決まったし、ウチの事務所も段々と活気づいてきたよな
みく,CD以外にも皆いろんなお仕事を頑張ってるのにゃ！Pチャンやちひろさんの頑張りあってこそだね！このこの～♪
P,皆が支えてくれたからこそ俺達は頑張れたから。またひとつ節目を迎える今、改めて気持ちを表したかったんだ。本当にありがとう
みく,それにしても、なんで最初にみくに声をかけたの？
P,それはみくがありがとうって言葉が一番似合うアイドルだと思うから
みく,みくが一番似合う？なんでなのにゃ？
P,みくだけにサンキュー、なんてな。ふふっ
みく,Pチャン、オヤジにゃあ……加齢臭にゃあ……
P,なっ、まだそこまでの歳じゃないぞ俺は！
みく,でも、そんなオヤジのPチャンでもみく達の大切なプロデューサーだからねっ！。これからもよろしくしてやるにゃあ！
P,はいはい、こっちこそよろしくされるよ
みく,にゃふふ
P,ははは
みく,Pチャン、これからどうするの？
P,そうだな。あてもなくふらついて皆に会いに行こうかと思う。何となく今日はそんな気分なんだ
みく,じゃあみくも一緒についていくのにゃ
P,せっかく時間があるのに他の事をしなくてもいいのか？
みく,いいの！猫チャンの行動は気まぐれなのにゃ
P,そっか。じゃあ一緒に行こう、みく
日野茜,プロデューサー！！！おっはようございまーーす！！！
P,おふぅ！？
みく,Pチャンふっとんだー！！
茜,……はっ！つい勢いがつきすぎてしまって……すみませんプロデューサー！！
P,ナ、ナイストライ……
西園寺琴歌,だ、大丈夫ですかプロデューサー様……？
仙崎恵磨,プロデューサーだから無事だったけど通路は走っちゃ危ないっしょー
茜,ううう、ごめんなさい……
P,いや……今日も元気そうで何よりだよ。おはよう、茜、琴歌、恵磨
みく,三人はなにをしていたのにゃ？
恵磨,特に用事がったわけじゃないけどねー。うりうり～みく～
みく,恵磨ニャンくすぐったいにゃあ
琴歌,プロデューサー様はみくちゃんと一緒にお仕事でしょうか？
P,いや、俺達も用もなくうろついていただけだよ
茜,そんな休息中にトライを決めてしまって本当にすみませんプロデューサー……
琴歌,本当に、お体は大丈夫ですか？
P,そんなに気にするな茜。むしろいつも通り元気な茜を見れて嬉しいくらいだよ。茜の元気に、それに琴歌の優しさにもいつも癒やされてるよ。ありがとな
琴歌,……プロデューサー様の手は、とても暖かいですね
茜,まるでお日様に包まれているみたいです！！
P,そう言われるとちょっと照れるな……だったら今度みちるにパンでも作ってあげるか
みく,あっ、みくを放っておくなんてひどいにゃ！みくもなでて？
P,わかったわかった
琴歌,もう少しだけお願いします。ふふっ、これじゃあ私がプロデューサー様の手を取ってしまっていますね
茜,プロデューサー！！もっとお願いします！！炎が出るまでいきましょう！！
P,それは危ない
みく,Pチャン遅いよ！
P,こう代わる代わるだと……
恵磨,プロデューサーすげー！高速スクラッチみたいに頭撫でてる！
P,さすがに疲れた……
恵磨,プロデューサーおつかれ！若い子たちは元気だねーっ！！
P,恵磨だって十分若いし元気じゃないか
恵磨,20代の元気と10代の元気はちがうっしょー？
P,さすが大人のおんな。ことばの重みがちがうな
恵磨,うおおっ、なんかバカにされてる気がする！？
P,すまんすまん冗談だ。でも、恵磨にはその調子でずっと元気で居てもらいたいよ。いつか母親になって、そしてお婆ちゃんになっても
恵磨,だいじょーぶプロデューサー！なんてったってアタシは常に！！
P,！。テンション！！
恵磨,決まったーっ！！テンション超MAX拳合わせ！
P,ネーミングセンスはキマってないけどな！
恵磨,それは言いっこなし！
P,ま、これからもこんな感じで元気によろしくな、恵磨！
恵磨,へへへっ、よろしく！
P,さて気合入れもしたことだし、特に用事がないなら皆で飯でも食べに行くか？
恵磨,おごりっすかプロデューサー！！っざーっす！！
P,いや待て奢りとは言ってな
恵磨,みんなー！！プロデューサーに続けー！！
みく,みくはハンバーグがいいにゃあ
琴歌,ふふっ、皆で楽しくお食事なんて楽しみですわ
茜,今日も情熱全開で生きるために、栄養補給は大切ですね！！！
P,……ま、いっか
丹羽仁美,ぐわあぁぁぁ！
脇山珠美,仁美さん……せめて安らかに眠ってください
仁美,…………。…………ふっふっふ
珠美,！？
仁美,アタシの服の下に仕込まれた伝説の鎧、射覇流の鎧は全ての攻撃を無効化する……。つまり、今までの闘いはほんの戯れだったのだ！！
珠美,そ、そんな……珠美の渾身の一撃が……
仁美,知らなかったのか？傾奇者からは逃げられない
珠美,仁美さんずっこい！そんな装備聞いとらんし！
仁美,ずっこくないです～用意周到です～
珠美,だったら珠美も……忍猫・みく！みくはなんやかんやで伝説の鎧の効力すら捻じ曲げることができます！
みく,にゃにゃにゃー！！
仁美,珠美ちゃんこそずっこい！そんな後出し設定と助っ人なんて認められないよ！
珠美,ずっこくない！口寄せの術を大器晩成の末にたった今習得したんです！
仁美,それあやめちゃんの！
P,仁美も珠美も元気ですねぇ……あ、お饅頭取りますよ麻理菜さん
沢田麻理菜,あら、ありがとプロデューサーくん。……それにしても急に呼ばれた割にすぐノレてすごいわねみくちゃん
P,みくの良い所は、ああやって誰にでもどこにでもぶつかっていく行動力ですからね
麻理菜,行動力、か。お姉さんもアイドル界という大きな荒波を乗りきれるように頑張らないといけないわね
P,さながら俺はサーフボードですね。麻理菜さんを落とさないよう、足の下でずっと支え続けますよ
麻理菜,おっと、これは情熱的な口説き文句だなぁ～！。でもなんだかその言い方だと踏まれるのが生きがいの人みたいよ。お姉さんが踏んであげようかな？
P,ありがとうございます！！
麻理菜,ふふっ、プロデューサーくんも大概ノリがいいね♪
P,おかげ様で。個性豊かな皆と共にいますから
仁美,いやー今日の本格的一騎打ちも満足であった☆
珠美,ううぅ……負けてしまいました。剣士の道とはかくも険しい……
P,あの応酬でどうやって決着ついたんだろうか……
みく,もっと大きくならないと競り負けちゃうにゃあ
珠美,た、珠美はちっこくありません！
