皆さんが,もうやめてくれ！！
(Ｔ),…。だる…。ハァーアー…
加賀,頭に来ました
瑞鶴,なんですって！？
加賀,これだから五航戦の子は…
瑞鶴,んぐににににぃ！！
加賀,わかりました。そこまで言うなら
瑞鶴,ええ！！ケリを着けようじゃない！！
加賀,乳首相撲で
瑞鶴,勝負よ！！
(Ｔ),知るｋ…えっ、今なんて？。乳首…えっ？
加賀,何？邪魔をしないで貰いたいのだけど
瑞鶴,口出ししないでよ！！これは私達の誇りの問題なんだから！！
(Ｔ),国辱超人みたいなこと言ってんじゃねえよ。ちょっと一回俺に説明して？
加賀,ヒュー・ジャックマンの方が男性的魅力に優れていると、乳首相撲でこの子にわからせるのよ
瑞鶴,ハァ！？ロバート・ダウニーJr.の方がかっこいいし！！
(Ｔ),とりあえずお前ら、両氏に謝れ。な？
瑞鶴,さあ！！これを挟みなさい！！
(Ｔ),おいお前その洗濯ばさみとゴム紐どっから取り出した
加賀,言われずとも
(Ｔ),待ておい直か？直にか？落ち着こう？一回落ち着こう？
加賀,ここは譲れません
(Ｔ),いいのか？いいのかお前？艦娘としての尊厳とか誇りとか消し飛ぶけどいいのか？
瑞鶴,アウトレンジで、キメたいわね！！
(Ｔ),アウトレンジで何キメる気だよお前も。キマってんのはお前らの頭だよ。ほら脱ぐなっｔ…おっぱいを出すな！！。青葉ーーーーーーーーーー！！！！！誰か青葉呼んッ…
(;Ｔ),休みじゃねーーーーーーーーーーーーーかーーーーーーーーーーーー！！！！！！。だ、誰かーーーーーーーーー！！！！！！誰でもいい！！この状況を止めてくれーーーーーーーー！！！！！。そ、その声は！！
加賀,ぐえっ！！
瑞鶴,くかっ！！
(;Ｔ),モンゴルマンを思わせる見事なレッグラリアート…お前は！！
あきつ丸,いかにも！！！！あきつ丸、カ号も大発も、準備万端であります！！！！！
(Ｔ),あきつ丸ーーーーーーーーーーーーーー！！！！！！
あきつ丸,提督殿に借りていた合法都市を返しに来たら、面白い事になっていたであります
(Ｔ),助かったぜ…こいつらの乳首がどうなろうと知ったこっちゃねえが、彼らの尊厳が乳首相撲で崩れるのだけは避けたかったからな…
あきつ丸,相変わらず提督殿は艦娘に厳しいでありますなぁ
(Ｔ),やれやれ、仕事の手が止まっちまったか…まぁいい、休憩すっか。あきつお茶飲む？
あきつ丸,戴くであります…と、言いたいところですが、そうゆっくりもしてられないようであります
(Ｔ),なんで？
あきつ丸,どうやらこの二人から、妖気を感じるであります
(Ｔ),ハハハ何言ってんだお前中二病が加速したか？ぬ～べ～NEOの読みすぎ？
