プロデューサー,以下P
菜々,…ああPさん、おはようございます！
P,あれ？少し元気無いですね？どうかしました？
菜々,…そう見えますか？
P,ええ、笑顔に若干陰りが見えます、それに普段はピンとしているリボンも心なしかしなっとしてます
菜々,…やっぱりPさんにはわかっちゃいますか
P,菜々さん、何か悩みがあるなら…
菜々,Pさん
P,はい
菜々,総選挙…結果が発表されましたよね
P,…ええ
菜々,菜々の順位…ご存じですよね？
P,総合12位、属性では4位です、いつも上位をキープしている菜々さんはさすがですね
菜々,…ええ、それだけの方が応援して下さっていることは素直に嬉しいです
P,…
菜々,でも…トップって遠いんですね…
P,菜々さん…
菜々,ナナだってどんどん新しいことに挑戦したりしてきたのに、目指すトップはどんどん離れていくようで…。ナナは、ウサミンは、このままでいいのかなって
P,菜々さん…それはこちらの力不足もあって
菜々,そんなことないです！。Pさんはあの時あの場所で、終わりかけてたウサミン星を救ってくれたんです！。Pさんが力不足だったらナナはもうこの道を諦めています！ですからそんなことは言わないでください！
P,…ありがとうございます
菜々,…いえ、ナナこそつい熱くなってしまって…すみません
P,…一緒に考えていきましょう、今後の方針を
菜々,はいっ！
P,では…今後の菜々さんの方向をどうするか考えることとして、何か菜々さんの意向はありますか？
菜々,それなんですけど、今年はシンデレラを積極的に獲りに行こうと思ってます！
P,ふむ
菜々,あ、これまでが別に手を抜いていたわけではないですけど、一層気合いを入れてって意味ですよ？
P,ええわかっています、菜々さんがいつも全力なのは担当Pである私がよく知っています
菜々,え…あの…はい。そ、それでですね！？ここは一度歴代のシンデレラガールを分析して、その良い所をナナも取り入れてみようと思うんですよ！
P,…すみません、イメージがよくわからないです
菜々,そうですか？じゃあちょっと一つやってみますね！
P,お願いします
菜々,じゃあまずは初代の愛梨ちゃんですね。ふぅ～…このお部屋暑いですねぇ…その…脱いでも、良いですか？
P,菜々さん
菜々,はい
P,やめましょう
菜々,…はい
P,こんなことされたら辛抱貯まりません、すぐに襲い掛かってしまいます
菜々,お、襲…！？
P,ですからダメです
菜々,そうですよね…ダメですよね…まだ
P,？
菜々,じゃ、じゃあ次に行きますね！
P,お願いします
菜々,次は2代目の蘭子ちゃんです！。ナナはウサミン星のプリンセス！今日も皆をハートウェーブで萌え萌えきゅんきゅん☆させちゃいますよ～！キャハッ！
P,菜々さん
菜々,はい
P,普段と何が違うんですか？
菜々,…はっ！？
P,普段通りの死ぬ程可愛い菜々さんを見せられて萌え死ぬかと思いました
菜々,萌えっ…でも、死んじゃダメですね
P,ええ、ダメですね
菜々,じゃあ次です！三代目の凛ちゃん！。…学校？今日は休みですよ？
P,そもそも行く年齢じゃないですよね？
菜々,そうですけど！
P,というかなんでわざわざそこを選んだんですか、もっとわかりやすい所があったのでは？
菜々,だってナナにクールは難しいですよぉ…
P,まぁ確かに、菜々さんはクールの美人！って感じじゃなくてただひたすらにクッソ可愛いだけですからね
菜々,そこまで言われると…照れちゃいますよぉ///
P,やだこの異星人お持ち帰りしたい可愛い
菜々,あの…本音と建て前が…
P,あ～…つ、次！次行きましょう！
菜々,は、はい！次は4代目の周子ちゃんですね！。お腹すいた～ん♪Pさん、ご飯奢って下さい！
P,菜々さん
菜々,はい
P,…良いです
菜々,やった！
P,男を手玉に取る小悪魔な感じ！こういう菜々さんも良いかも知れません！
菜々,そ、そうですか？でも…
P,でも？
菜々,奢って貰ってばかりというのも悪いですし、たまにはナナのお弁当も食べて欲しいかなって…へへへ
P,天使かよ…天使かよ…
菜々,表裏一体！？
P,菜々さんのお弁当とか最大のご褒美ですよ、嬉しいな～！
菜々,そんなに喜んでくれるとナナも嬉しいです…えへへ
P,菜々さん…
菜々,じゃ、じゃあ次に行きますね！5代目の卯月ちゃん！。あの、ナナは本当は普通の女の子ですけど…好きでいてくれますか…？
P,そんな子がずっと努力している姿に皆魅かれるんです！好きに決まっているじゃないですか！
菜々,…はい！
P,でも歌って踊れる声優アイドルウサミンとしては素を見せるのはNGですね…
菜々,そうですね…じゃあ普通の女の子なナナはPさん専用です！
P,それにしても…
菜々,なんですか？
P,やっぱり菜々さんは変にキャラを弄るよりも、これまで温めてきたもので勝負した方が良いと思います。皆今の菜々さんが大好きなんですから
菜々,…そうですね、そうします！。よ～っし！それじゃあこれから、第７代目シンデレラ目指して安部菜々、頑張っちゃいますよ～！
P,最後にダジャレも絡めてお後が良いですね！その意気です、じゃあそろそろ今日のレッスン行きましょうか！
菜々,はい！
P,では、菜々さんを送ってきますね～
菜々,安部菜々、レッスン行ってきます～！キャハッ！
早苗,ねぇ、なんでMAXコーヒーなんていれてきたのよ…
瑞樹,早苗ちゃん、それブラックよ
早苗,じゃあなんでこんな甘ったるいのよ…
瑞樹,わからな…わかりたくないわ…
早苗,はぁ…
瑞樹,はぁ…
早苗・瑞樹,末永く爆発しろぉ！
