モバマスより佐久間まゆと小日向美穂,たぬき
アイドルを始める動機は様々だが、のっけから,俺の為
莉嘉,ぴっこーん！！
美嘉,わ、何どしたのアンタいきなり
莉嘉,なんかキた！ラブでコメ的なマヂヤバのなんかがあるよおねーちゃん！！？
美嘉,えぇ～？まーた莉嘉はよくわかんないこと言って……。って、何だろ。あっちの方からやたら濃い気配が……？
智絵里,……！！
楓,………………
美穂,？
周子,……ん～～～……
紗枝,周子はん？どないしはりました～？
周子,あーうん、ちょっと考えごと。そんな大したことじゃ……
紗枝,まゆはんのことどすか？
周子,……ま、ね
紗枝,せやねぇ、そない深刻なもんやあらへんのやないかなぁとはうちも思います
周子,あぁ、紗枝ちゃんも言うってことはやっぱそうなんや。まあね、仲良くできてるしさ。いい子だし。本人が何も言わなけりゃ、あたしはそれでいいと思うよー
紗枝,……の割には、えらい考え込んではりましたな？
周子,…………あ～、まあ、うん。いや、色々見てきたけどさ。それでもね――。あたしわからんのよ。今まで見たことないもん
全部メモしてるけど、,頼りにしてる
心の器に,好き
芳乃,かの者について、知りたいのでしてー？
まゆ,そうなんですよぉ。だってまゆ、あの人とは出会ったばかりだから……
芳乃,ふむー。まゆさんが知らぬことを、みなみなから聞き出したいとー
まゆ,協力してくれますかぁ……？
芳乃,お安い御用でしてー。なれど、敢えて語り草になるほど特殊な方でもなくー
まゆ,なんでもいいんですよぉ。ご趣味とか、好きな食べ物とか……
芳乃,強いて申すならー、奇縁と女難の相が強くありましてー
まゆ,まぁ、女難！悪い女の人に引っかかっちゃうのかしら。まゆが守らなきゃっ
みく,ハンバーグはオニオンソース派にゃ
まゆ,オニオンソース派……
みく,あとねー、ネコチャンにはあんまり懐かれないみたい。こないだ猫カフェ言った時、手をがぶぅされてたの。超がぶぅって
まゆ,そんな……まゆならその手をぺろぺろしてあげるのに……
みく,……まゆチャンもナチュラルに変なこと言うよね？
まゆ,そうですかぁ？ともかく、プロデューサーさんは動物さんには嫌われるんでしょうか？
みく,うーん……動物全般に嫌われてるってわけじゃないと思うにゃ。たぬきとか、きつねとか……
まゆ,？？？
みく,それにネコチャンアイドルのみくだって、Ｐチャンのこと大好きだし♪なーんて――
まゆ,…………それは男性としてという意味ですかぁ？
みく,らっライク！ライクの方の意味にゃ！！いきなり怖っ！！
こずえ,あったかふわふわー……
まゆ,あら……
こずえ,つるつるスベスベー……
まゆ,まあ……
こずえ,ぴゅーぴゅーぽこぽこー……
まゆ,へえ……
こずえ,そんなかんじー……
まゆ,よくわかりませんけど、大体わかりましたぁ
イヴ,恩人も恩人、大恩人ですよぅ！ね、ブリッツェン！
ブリッツェン,ブモッフ！
まゆ,裸のところを保護されて……そういうことってあるんですねぇ
イヴ,彼と出会わなければ、私とブリッツェンは大都会の羅生門で多襄丸でしたよぉ
ブリッツェン,ブモモゥ！
まゆ,ところでその……ブリッツェンちゃん？は、トナカイさんなんですかぁ？
イヴ,そうですよ～。私が子供の頃からの相棒なんですぅ！
ブリッツェン,ブモー！
まゆ,わ、浮いた
加蓮,過保護
まゆ,過保護
加蓮,っていうか、心配しいっていうか、気が回りすぎるっていうか……
まゆ,だけど、心配されるって嬉しいことじゃありませんかぁ？
加蓮,まあ、ありがたいとは思うよ？色々と恩があるし、会った時は――。って、やめやめこの話。不幸自慢みたいになっちゃってヤだし
まゆ,ふふっ。とっても優しい人だというのは、よーくわかりました♪
加蓮,……ところで、あのさ。まゆってまさか
まゆ,……そのまさか、と言ったらどうします？
加蓮,…………ううん、今ここで四の五の言うつもりは無いけど。ただ、たぶん茨の道だよ
まゆ,うふふっ♪望むところですよぉ。――誰にも、邪魔はさせませんから
楓,そうですねぇ……私としては、もうちょっとお酒にお強くなってくれれば嬉しいんですけど
