市原仁奈,おはようごぜーます！
Ｐ,？。おお、仁奈か。おはよう
仁奈,はい！
Ｐ,…あれ、今日はきぐるみじゃないんだな。珍しい
仁奈,…。…
Ｐ,？
仁奈,…。…に、仁奈だって…好きできぐるみじゃないわけじゃねーですよ…
Ｐ,…お、おう
仁奈,あ、暑くて……仕方ねーんです！
Ｐ,そうだな
仁奈,…ふ、ふふ…。仁奈はキグルミアイドル失格でごぜーますねー…どうかお好きに罵ってくだせー…
Ｐ,落ち着け
仁奈,…。それにしても、事務所は涼しーですねー…
Ｐ,うん、冷房が効いてるから…。体が冷えて来たらきぐるみを着るとちょうどいいんじゃないかな
仁奈,そうでごぜーますね！
Ｐ,話聞けよ。せめて汗を拭いてからにしなさい
仁奈,もふ。…なんだか、Ｐは仁奈のパパみてーですねー
Ｐ,そうか？
仁奈,はい！えへ、パパが二人もいるなんてお得でごぜーますね！
Ｐ,ずいぶん現実的な表現だな…
仁奈,パパが二人いる娘の気持ちになるですよ！
Ｐ,やめなさい
喜多見柚,おはようございまーす！
Ｐ,おはよう
柚,あ、Ｐサン！うん、おはよー。そだ。ねえねえ
Ｐ,？
柚,行くよっ！ほっ
Ｐ,おっと
柚,へへ。それあげるよー。アタシの飲みかけでごめんね
Ｐ,おう、ありがと
柚,あんましおいしくなかったんだー
Ｐ,おい
柚,てへ。今日もいい天気だねー。暑いねー
Ｐ,そうだな
柚,そのぶん事務所が涼しく感じるよ
Ｐ,そっか
柚,でもエアコンの涼しいのってなんだか気持ち悪いよねっ
Ｐ,気だるくなったりするよな
柚,ね！
Ｐ,仕事があるから、バドミントンはまた今度な
柚,あれっ
Ｐ,残念でした
柚,むー。ちぇー。ぶすー
Ｐ,油断も隙もないな
柚,ふんだ！Ｐサンなんてもう知らないよーっ
Ｐ,はいはい
柚,あ、そだ。ねえねえっさっきのジュースどうだった？
Ｐ,俺はけっこう好きな味だな
柚,えっうそっＰサン舌おかしいよ？
Ｐ,おかしくねえよ
柚,うえー…もうＰサンとは分かり合えないカモ…
Ｐ,みたいだな
柚,…
Ｐ,…
柚,…ぷ。あはははっ
Ｐ,はは
仁奈,二人は仲良しでやがりますねー
高垣楓,おはようございます
Ｐ,楓さん。おはようございます
楓,はい。今日もいいお天気ですね
Ｐ,そうですね
楓,ね。ふふ、だから今日は、お布団を干して来たんです
Ｐ,そうですか
楓,はい。干してすぐのお布団って、お日様の香りがするから、好きなんです
Ｐ,たしかに
楓,ふふっ…。うちに帰るのが楽しみだなー
Ｐ,来て早々そんなこと言わないでください
楓,あ、お仕事はちゃんと頑張りますから。心配しないでください
Ｐ,了解です
楓,…。…ん
Ｐ,？
楓,…あ…えっと。コーヒー、淹れようかなって。プロデューサーさんもどうですか？
Ｐ,すいません。頂きます
楓,えっと、濃さはどうしましょう
Ｐ,…
楓,……、ふぐ
Ｐ,…。じゃあ…えっと、濃いーので
楓,ぷふっ…わ、分かりました…
Ｐ,…。やっぱり、コーヒーは濃ーいーのですよね
楓,ふぐぅ
Ｐ,……なんだこれ
楓,どうぞ
Ｐ,どうも
楓,…。…はふ。暖まりますねー
Ｐ,…ですね。ちょっと涼しくしすぎましたね。温度上げましょうか
楓,あ、…は、はい。そうですね……ありがとうございます
Ｐ,いえ
楓,…♪
柚,なんだかいい感じカモ！
仁奈,楓おねーさん、可愛いですよ！
荒木比奈,おはようございまース
Ｐ,おう。もう昼だけどな
比奈,てへ
Ｐ,てへじゃねえよ
比奈,可愛かったッスか！？
Ｐ,うん
比奈,あ、はい
Ｐ,うん
比奈,そ、そうでスか
Ｐ,照れるなら言うなよ
比奈,ごめんなさい
Ｐ,可愛い
比奈,照れるから言わないで欲しいッス…。暑いでスねぇ
Ｐ,夏だしな。お茶なら冷蔵庫に入ってるぞ
比奈,頂くッス
Ｐ,昼飯は食べたのか？
比奈,まだでスねー。一旦事務所に来てから、どこかへ買いに行こうかと…
Ｐ,なるほど
比奈,でも外暑いから今日はいいかなって思うんでスけど、どう思いまス？
Ｐ,だめだと思う
比奈,いやー。今度外に出ちゃうといよいよ溶けちゃいまス…
Ｐ,ぐだってるな
比奈,エアコンって最強ッスよね
Ｐ,小学生か
比奈,プロデューサー、代わりになんか買って来てくれてもいいっスよ！
Ｐ,お前は俺のなんだ
比奈,私はあなたのアイドルでス
Ｐ,お、おう
比奈,ふふ。照れるなら言うもんじゃないッスよー
Ｐ,い、いや…いまのはお前の返しが素敵なのが悪いだろ
比奈,そ、そうでスか？
Ｐ,そうだよ
比奈,…そ、そうでスか
Ｐ,お、おう
比奈,…
Ｐ,…
柚,なにあれきゅんきゅんする
仁奈,仁奈はモフモフですよ！
楓,そうねー
比奈,満場一致でス
Ｐ,なにが？
比奈,出前でも取りましょう
Ｐ,一人の意見は満場も一致もないだろ
柚,はーい♪
仁奈,はい！
楓,はい
比奈,ご覧の通りでス
Ｐ,う、裏切ったな！
比奈,意外とノリノリでスね、プロデューサー
柚,ごめんねＰサン。アタシも暑いのは苦手なんだー
Ｐ,お前はちょっと前の自分の発言を思い出せ
仁奈,仁奈はお外だときぐるみが着れねーのが辛いですよ…
Ｐ,そ、そうだな。それはしょうがない。考慮しないと
楓,…あの、私は、お外に出ちゃうと、お布団が楽しみでそのままお家に帰ってしまいそうで…
Ｐ,我慢してください
比奈,ご覧の通りでス
Ｐ,意見ばらばらじゃねえか。…。まあ、いいよ。べつに出前でも。たしかに暑いし、その方がいいかもな
柚,わーい♪
仁奈,わーいですよ！
Ｐ,その代わり、そのぶん今日の収録はバッチリ頼むぞ
比奈,もちろんでス！というか仕事と言うと
柚,むしろＰサンがさっきからアタシらの相手ばかりしてて、働いてないカモ！
仁奈,しっかり働いてくだせー
楓,怠け者さんは、めっですよ
Ｐ,……
比奈,満場一致でスね！
Ｐ,うるせえ
