薄い本,やあ
拓海,おい
モバP(以下P),ちゃうねん
拓海,何がどう違うのかはっきり説明してくれよ
文香,…小さな子もいる事務所に、こういったいかがわしい書を持ち込むことも許されざることですが、それ以上に私たちは怒っていますよ……？
美優,信じてたのに…プロデューサーさんは信じてくださらないんですね…
P,ちゃうねん
拓海,ちゃうねん以外の言葉を話せ
P,痛い痛い！拓海食い込んでる指食い込んでる！
拓海,食い込ませてんだよ！なんだこの本！。どれもこれも…こ、これ！！///
文香,……はぁ
美優,……うぅ
P,そんな目で見ないでくれ文香ぁ…美優さん…
拓海,ア、アタシらが！ひどい目に遭う本ばっかりじゃねえか！
文香,…こういった性癖が存在することは理解しています。マゾヒズムの一形態で、有名なところでは谷崎潤一郎の鍵でしょうか
美優,そ、そうなんですか…てっきり私が本当は愛されていないのかと…
拓海,そこんところどうなんだ！
P,愛してる！愛してます！マジ！これマジの話！いったん話聞いてえええええ！！
拓海,ふんっ！
P,ぐえっ
拓海,ふんっ！！！
P,ほげっ
美優,た、拓海ちゃんそのへんで…
P,いや、現実でこんなことが起こるのを望んでるわけじゃないんだ。本当本当
拓海,信用できねえな。一冊二冊だったらまあそういう気の迷いもあるだろうとは思うが、これ…
文香,……今数え終わりました。計346冊あります
拓海,多いんだよ！
P,ちゃうねん
拓海,次ちゃうねんっつったら片方潰すぞ！
P,ひいいっ！
美優,ああ…
P,えっと、た、例えばさ…拓海が大切にしてる単車があるよな？
拓海,あ？……まあ、愛車のカワサキのニンジャ250が
P,それを、拓海が大っ嫌いなヤツが盗んで、めっちゃ楽しそうに乗り回してる。本当に楽しそうに。だ。それを見たとしたら、拓海はどう思う？
拓海,バットで殴る
P,オーケー話を変えよう。文香、大切にしてる本を
文香,本のカドで強めに叩きます……
P,…うん、じゃあ美優さ
美優,え、ええと…普通に許せないかと…
P,うん。そ、その許せないのがいいっていうかさ
美優,？
P,自分はなんて無力なんだろう！あのときこうしていれば、ああしていれば！みたいな。そういう感情が心の中で渦巻いて、魂が突き動かされるというか、な？
拓海,んで、アタシらにそれを望んでるってことだろ？
P,違うんだ
拓海,なにが
P,現実と薄い本は違うんだ！さっきも言ったけど、絶対に起こり得ないと信じてるからこその性癖なんだよ！
文香,……確かに、私もこの書の私ほど奥手というか馬鹿ではないです…
美優,……こんなにふしだらな女じゃありません
拓海,そもそも、目の前に本物がいるのになんでこんな作り物で発散してるんだ？あ？
P,高級料理ばかり食べてたら、たまにはジャンクフードが食べたくなるみたいな
拓海,アタシは食い物と同じか
P,ごめんなさい
文香,…お手本のような針のむしろですね
美優,拓海ちゃんが恐いです…
P,……わかりました、正直に言います。だから許してください
拓海,おう
P,アイドルとして厳しいレッスンに耐え、恋愛禁止という枷を背負ってまでファンに笑顔を届ける現代の天使。しかし突如襲い来る理不尽な暴力！逃れられない巨大な権力にはどうしても抗うことができない！。アイドルとして、女として最大の屈辱を味わわされている！どうしようもない悪党の願望に善良に生きていた人生全てを否定される！！。悔しい！あまりにも悔しい！！！しかし、地獄の中に一つの黒い光が見えたのである！！！。蹂躙される体の奥、湧きあがるこの感覚はなんだ！？認めたくない。認めたくない！でも本能には逆らえない！これは……そう！快楽だ！。反応してしまう体に引きずられ、ゆっくりとゆっくりと心が蝕まれていき、いつしか、決定的にアイドルとして終わってしまった一人の不幸な少女がそこにいた……fin
拓海,…
文香,…
美優,…
P,……要するに心が折れて快楽の奴隷になったエロい女の子が好きなので集めてました……
拓海,…で、アタシにもそうなってほしいってことだろ？
P,違うんだああああああ！
拓海,違わないだろ！？そんだけ力説しておいて何が現実と本は違う！だよ。本でそう望むんだったら現実でも望んでるんだろ？いいよ。アンタのためなら一肌脱いでやるよ
P,泣かないでくれ拓海ぃ！二つの意味で一肌脱ぐのはやめろ！
拓海,触るな！アンタの望み通りその辺のバカ男引っかけてやるってんだよ！離せ！
文香,……最低ですね
美優,……変態
P,おふっ
拓海,う、うあああああん…Pなんて大嫌い…
P,ああ、もう…拓海！
拓海,えっ、んんっ
文香,あっ
美優,えっ
P,ははひほひいへふえ！(話を聞いてくれ！)
拓海,んんン％＃；＝？２＠！！～///
P,ぷはっ！
拓海,あうぅ…
P,いいか？拓海。現実と、エロ本は、違うんだ
拓海,え…？
P,江戸川乱歩は猟奇殺人鬼か？違う！ハリー・ポッターの読者は魔法使いか？違う！それと同じだ！！！
文香,……論点がズレているのでは
