白菊ほたる,では、時間になりましたので、会議を始めさせていただきます
緒方智絵里,よろしくお願いしますっ
ほたる,お願いします。まず初めに点呼を取りましょう。番号。１
智絵里,２
橘ありす,……
ほたる,……
智絵里,……
ありす,……
ほたる,……
智絵里,……
ありす,……さん
ほたる,始めましょう
智絵里,はいっ
ありす,なぜ私！！！！！
ほたる,？
智絵里,？
ありす,とぼけないでください！なぜ！私が呼ばれてるんですか！！！朋さんいないし！！！
智絵里,寝不足かな？
ありす,私はいたって正常です！！！
ほたる,開幕からそんなに大きな声を出すと、最後までもたないかもしれませんよ……？
ありす,開幕でなくても大声を出さずに済むのが理想なんですが！！！
智絵里,確かに、趣旨を話さないまま誘っちゃったのはごめんなさいっ
ほたる,半分拉致に近い形で連れてきてしまったのもごめんなさい
ありす,自覚があるならもはやホラーですよ
ほたる,でも、今回の議題を聞けば、きっとありすちゃんもわかってくれると思うんです
智絵里,うんうんっ
ありす,はあ……拒否権はなさそうですし、早く趣旨をお願いします……
智絵里,フレデリカさんにもきっとこんな感じで言いくるめられてるんだろうねっ
ありす,なんでこのタイミングで煽るんですか？
ほたる,今回は、もうすぐに迫った朋さんの誕生日についての話し合いなんです
ありす,ああ……なるほど……
智絵里,本来なら国を挙げてパレードをするべきなんだけど、それは無理みたい……
ありす,北の将軍ですか？
ほたる,本来なら国民の祝日にするべきですが、それも無理のようです
ありす,朋さんはこの国の象徴か何かなんですか？。とはいえまあ、納得はしました。朋さんの誕生日の話し合いに朋さんを呼ぶわけにはいきませんからね
智絵里,美穂ちゃんの誕生日の話し合いに美穂ちゃんを呼んだことはあるけど……
ありす,……どうかしましたか？
智絵里,Noproblem
ありす,急なネイティブ。ですが、朋さんの誕生日はもう来週ですよね？今から何かを考えるのは少し遅い気が……
ほたる,いいえ、そういう話し合いではないんです
ありす,へ？
智絵里,去年は3人でご飯を食べてカラオケに行ったので、今年は事務所でパーティーをしますっ
ありす,そ、そうなんですか。では、プレゼントの相談ですか？
ほたる,いいえ、プレゼントも決まっています
ありす,はい？？？
智絵里,もう全部、ちゃんと決まってるんだよっ
ありす,ええと……ではこの会議は……？
智絵里,もうっ。せっかちさん♪
ありす,帰りたい
ほたる,その前に、私たちの選んだプレゼントを教えますね
ありす,は、はあ……
智絵里,もう現物は包んであるから、サイトの写真を会議室のスクリーンに……あった！はいっ
ありす,これは……お酒……？
ほたる,よく見てください
ありす,えっと……大吟醸朋？……あっ、なるほど！
智絵里,そういうことっ
ありす,で、ですが、おふたりは未成年ですよね？どうやって購入したんですか？
智絵里,盗ん
ほたる,代わりに茄子さんに買っていただいたんです
ありす,いや今そっちの人盗んだって
智絵里,今回は正規ルートです
ありす,今回は？
ほたる,ちなみに茄子さんに頼む前に若葉さんとすれ違いましたが、頼みませんでした
ありす,その情報いります？
智絵里,とにかくっ！誕生日で20歳を迎える朋さんに、同じ名前のお酒をプレゼントすることにしたのっ
ありす,まあ、その考えは素敵だと思いますが……
ほたる,大丈夫です。翌日には何事もなかったかのように19歳として進みますから
ありす,あああ言ってはいけないことを！
智絵里,そもそも去年も20歳を祝ったよね？
ほたる,サザエさん時空は便利ですね
智絵里,年齢に合わせて誕生日が前倒しになるから、今や事務所のほとんどが平成生まれだもんねっ
ほたる,初期の菜々さんと今の菜々さんの間ですらジェネレーションギャップが起きそうなのは面白いですね
ありす,好き放題ですね！？。というか、そこまで決まっているならますますこの会議の目的がわからないのですが！？
ほたる,ありすちゃんは、朋さんがお酒を飲んでいる姿、見たことありますか？
ありす,はい？あるわけないじゃないですか。朋さんはまだ未成年なんですから
智絵里,うんうんっ。ということは、朋さんがお酒を飲むとどうなるのか、わからないよね？
ありす,それも当然です
智絵里,というわけでっ
ほたる,はい、今回の議題はこちら
ありす,え？
ほたる,わー
智絵里,わー
ありす,お疲れ様でした
ほたる智絵里,フェアプレーポイント！！！
ありす,その引き留め方なんなんですか！？
ほたる,スポーツニュースを見ておいて助かりました……
ありす,悪意にまみれたタックルでしたけど？
智絵里,ではさっそく、朋さんがお酒を飲んだらどうなるか、妄想しましょうっ
ありす,先に本題に突入して逃げるタイミングを奪う作戦やめてください
ほたる,準備はいいですか？
ありす,一応言っておきますが、よくないです
智絵里,では、スタート！
ありす,本当に話を聞いてくれないんですね
～その①：泣き上戸,智絵里プレゼン
智絵里,まず、この日の朋さんはお仕事を失敗してしまいました
ありす,シチュエーションの説明から入るんですか……
智絵里,電話をかけてきた朋さんがとても酔っている様子だったので、私はお店まで迎えに行くことにしたんです
ありす,夢女子の妄想みたいですね
ほたる,タイムです。何故抱きつくんですか？
智絵里,プレゼン途中の質疑は認めません。黙って聞いていてください
ありす,盤外乱闘をしない
智絵里,こうして2人は永遠の愛を誓い、末永く幸せに……
ほたる,た、タイム！そ、それはおかしいです……！
智絵里,プレゼン途中の質疑は認めません
ありす,私は何を聞かされているんですか？？？
智絵里,というわけで、どうでしたか？
ほたる,ところどころ納得はしかねますが、最高でした……
智絵里,ありがとうっ
ありす,いいんだ……
智絵里,ありすちゃんはどうだった？
ありす,こんなに感想に困るミーティングは初めてですね
智絵里,ありがとっ
ありす,どこに褒め言葉を見出しました？
ほたる,では次は私ですね……
智絵里,待ってましたっ
ありす,私は解放されるのを待ってますが
ほたる,ありがとうございます
ありす,どこに褒め言葉を見出しました？
～その②：笑い上戸,ほたるプレゼン
ほたる,私はこの日、事務所で学校の宿題をやっていたんです
ありす,まるで本当にあった出来事のように話すの、わりとサイコですね
ほたる,なかなか進まなくて困ってる私の元に、心なしかテンションの高い朋さんがやってくるんです
ありす,本人に聞かせたらどうなるんでしょうかこのやり取り
智絵里,タイムです。撫でられるのはおかしいのでは？
ほたる,プレゼン途中の質疑は認めません。口を開かないでください
ありす,この流れはやらなきゃいけないんですか？
ほたる,こうして2人は末永く笑顔で、幸せに暮らし……
