※このSSは公式アンケート、オリジナルユニットの項目にあった,いちにのさん(志希・飛鳥・紗南)
飛鳥,さぁ、始めよう。次元を超えて数理に行きついたセカイ、見せてあげよう
紗南,ゲームにケミカル、ペシミスト！三位一体の協力パワー！見せてあげる！
志希,勝利の法則は決まった！さぁ……実験を始めるよー！
Ｐ,何やってんの？
3人,カッコいいセリフ選手権
Ｐ,まず飛鳥
飛鳥,なんだい？
Ｐ,Dimension-3じゃねーから、いちにのさんだから
飛鳥,だからこそ数理に行きついたんだろう？進化というやつさ
Ｐ,どっちかと言えば算数だろ
飛鳥,そ、そうかもしれないが、新たなる境地という解釈で先に進むと意味合いがあって
Ｐ,なんかシンクロしそうだな
紗南,次の攻撃のダメージが倍だね！となると強い攻撃……志希さん！
志希,いいよー必殺ケミカルボムをお見舞いしてあげるのだー！
Ｐ,やめろ！それっぽい試験管を持ち出すな！。次に紗南
紗南,なんかダメだった？悪くないよね？
Ｐ,発想は悪くない。でもあれだよ、ペシミストって意味わかってるか？
紗南,飛鳥ちゃんが双翼の独奏歌コミュで言ってたよ？
Ｐ,うん、さらっと次元超えるのやめような。飛鳥、喜ぶな
志希,ちなみにペシミストは悲観主義って意味だよー
Ｐ,な？いい意味じゃねぇし、やめとけ。別のにしろ
紗南,……例えば？
Ｐ,中二病
飛鳥,リアリスト！リアリストでいこう！
P,最後
志希,はいはーい！
Ｐ,パクりはよくないと思うんだ
志希,えー？しきちゃんわかんなーい
紗南,光ちゃんがこの前見てたね
飛鳥,あのストーリーは中々に興味があるね、記憶、真実、政府と組織……か
志希,でもでもー、しきちゃんっぽいのは間違いない気がしない？リスペクト？
Ｐ,否定はしないが……でもお前詳しく知らないだろ？
志希,まーねー、Ｐさんは知ってるの？
Ｐ,そりゃ光と話してるしな。会話合わせてやらねぇと
志希,えー！？それなら私のケミカルなとこも覚えてよー！ほらほらーラボに呼ぶからさ？
Ｐ,お前をいつも起こしに行ってるの俺だろうが！。あれだな、近いうちに紗南にも体験させないとな
飛鳥,そうだね、今後のボク達の活動に必要な通過点さ
